AIDS Orphans,AIDS-Related Deaths.Adults,AIDS-Related Deaths.All Ages,AIDS-Related Deaths.Children,AIDS-Related Deaths.Female Adults,AIDS-Related Deaths.Male Adults,Country,HIV Prevalence.Adults,Incidence Rate Among Adults,New HIV Infections.Adults,New HIV Infections.All Ages,New HIV Infections.Children,New HIV Infections.Female Adults,New HIV Infections.Male Adults,People Living with HIV.Adults,People Living with HIV.Children,People Living with HIV.Female Adults,People Living with HIV.Male Adults,Total,Year,Young Men,Young Women
44,8,10,1,2,7,Afghanistan,0.0061,0.0017,91,94,4,22.0,69,354,7,82,273,361,1990,0.003,0.0019
219,24,26,2,4,19,Algeria,0.0051,0.0009,108,113,5,32.0,76,640,13,163,477,653,1990,0.0047,0.0026
5914,849,1128,279,399,450,Angola,0.4671,0.1017,5365,6198,833,3081.0,2285,26109,1804,14142,11966,27913,1990,0.1802,0.3094
632,391,446,55,109,283,Argentina,0.1574,0.0345,5426,5548,122,1596.0,3830,25720,206,7631,18089,25927,1990,0.1832,0.1142
2393,838,843,5,42,796,Australia,0.1411,0.011,1021,1028,7,75.0,946,13931,19,846,13085,13950,1990,0.1291,0.0145
3,1,1,0,0,1,Azerbaijan,0.0016,0.0004,16,16,0,4.0,12,61,1,15,46,62,1990,0.0009,0.0005
198,58,61,4,13,44,Bahamas,1.55,0.3288,457,463,6,127.0,330,2252,11,598,1654,2263,1990,1.71,0.9076
0,0,0,0,0,0,Bangladesh,0.0,0.0,6,6,0,1.0,5,17,0,3,14,18,1990,0.0,0.0
0,0,0,0,0,0,Belarus,0.0004,0.0003,15,15,0,4.0,10,24,0,7,18,25,1990,0.0003,0.0002
3,1,1,0,0,0,Belize,0.0423,0.015,12,13,1,6.0,6,36,1,13,24,37,1990,0.042,0.037
125,46,69,25,14,32,Benin,0.202521,0.090133,2112,2224,112,919.0,1193,4948,145,1960,2989,5093,1990,0.143337,0.12868
405,109,128,19,24,86,Bolivia (Plurinational State of),0.1656,0.0412,1311,1370,59,348.0,963,5477,115,1382,4095,5592,1990,0.1928,0.0944
1629,484,725,240,232,252,Botswana,5.97,2.36,14847,15465,618,8145.0,6702,40868,948,21930,18938,41816,1990,3.02,7.6
27994,7988,8660,672,1602,6386,Brazil,0.3564,0.0464,35823,37329,1506,12008.0,23815,288614,3457,77568,211046,292071,1990,0.3694,0.2115
19400,4260,5759,1499,2198,2062,Burkina Faso,3.38,0.5944,22649,26928,4279,13075.0,9574,139811,9774,77560,62251,149584,1990,1.28,2.18
2059,407,573,167,130,277,Burundi,0.87,0.281,7100,7792,692,3351.0,3749,22806,1127,9544,13263,23933,1990,0.5003,0.5314
17956,5610,6882,1274,2534,3074,C?te d'Ivoire,3.0024,0.665325,40840,44488,3649,21742.0,19099,200369,7370,101722,98645,207740,1990,1.16857,2.07043
9583,2401,3368,966,1152,1250,Cameroon,2.01,0.5627,30357,33268,2911,16821.0,13536,115442,5417,61391,54052,120860,1990,0.9063,1.5
166,29,40,11,16,13,Cape Verde,0.7635,0.1568,219,246,26,126.0,94,1126,66,649,477,1193,1990,0.521,0.8119
4488,1371,1852,481,744,627,Central African Republic,3.99,1.02,13863,15365,1502,8010.0,5853,58573,2976,33455,25118,61549,1990,1.62,3.04
4026,899,1243,344,441,458,Chad,1.15,0.2516,6640,7685,1045,3759.0,2881,32223,2160,17446,14777,34383,1990,0.4433,0.7802
2421,471,560,89,172,299,Colombia,0.1001,0.0225,3983,4227,244,2030.0,1953,18415,518,9268,9148,18934,1990,0.0699,0.1128
361,58,63,5,15,43,Costa Rica,0.0809,0.0123,195,205,10,56.0,139,1351,31,380,971,1383,1990,0.0717,0.0428
74,22,23,0,3,19,Cuba,0.0085,0.0017,106,108,2,29.0,77,561,5,98,463,566,1990,0.0034,0.0018
127624,16500,19751,3251,7206,9295,Democratic Republic of the Congo,1.65,0.1916,30701,38131,7430,17351.0,13350,287914,23087,144873,143041,311001,1990,0.4356,0.7587
7,3,5,2,1,2,Djibouti,0.1669,0.0915,264,277,13,106.0,158,500,16,188,312,515,1990,0.125,0.1099
369,194,300,106,113,82,Dominican Republic,0.5511,0.2076,7182,7499,316,4248.0,2935,19714,469,11896,7818,20183,1990,0.3865,0.7958
1753,284,316,32,71,212,Ecuador,0.1714,0.0379,1900,1976,75,552.0,1349,9070,205,2593,6477,9274,1990,0.1652,0.0962
17,5,6,1,1,4,Egypt,0.0009,0.0002,52,54,2,13.0,39,234,4,54,180,238,1990,0.001,0.0005
696,104,115,11,23,81,El Salvador,0.1327,0.028,678,707,29,190.0,488,3362,73,878,2483,3435,1990,0.145,0.0687
170,52,67,15,26,26,Equatorial Guinea,0.678,0.0899,186,228,42,102.0,84,1468,115,781,687,1583,1990,0.2235,0.4244
182,60,99,39,37,24,Eritrea,0.4669,0.1556,1334,1483,149,878.0,455,3937,247,2547,1390,4184,1990,0.173,0.4435
458,120,156,36,74,46,Gabon,0.9096,0.2654,1305,1399,94,897.0,407,4755,187,3180,1575,4941,1990,0.2808,0.8445
154,30,39,9,14,16,Gambia,0.208,0.0405,175,200,25,97.0,78,947,55,498,450,1003,1990,0.0784,0.1333
116,22,23,0,1,22,Georgia,0.0173,0.0035,101,102,1,49.0,52,535,1,99,436,537,1990,0.0066,0.0055
21920,3510,4354,843,1404,2106,Ghana,1.47,0.3176,22243,24697,2453,12499.0,9744,109995,5235,57059,52936,115230,1990,0.5482,1.02
1139,332,337,5,58,274,Greece,0.12,0.0146,735,742,7,130.0,605,6517,23,1191,5326,6540,1990,0.1203,0.0411
