Artist,Classification,Continent,Country,Credit Line,Dated,Department,Dimension,Inscription,Medium,Nationality,Provenance,Rights Type,Room,Short Description,Signed,Style,Text,Title,Years Living
Artist: Frederick G. Smith; Artist: Formerly attributed to Dante Gabriel Rossetti; Artist: Formerly attributed to Frederic James Shields, Drawings,Europe,England,"Gift of Mrs. C. J. Martin, in memory of Charles Jairus Martin",c.1888-89,Prints and Drawings,68-5/8 x 25-1/8 in. (174.3 x 63.8 cm),Signature (spurious),"Pen and ink, brush and wash over graphite",English,"[Art dealer, London, acquired from ""an old house in Chelsea;"" sold to Brooks]; [Edmund D. Brooks Book Rooms, Minneapolis, 1910; sold to Martin]; Ella S. (Mrs. Charles Jarius) Martin, Minneapolis (1910; given to Mia).",Public Domain,Not on View,"Design for a stained glass window; once thought to be by Dante Gabriel Rosetti
from a series of The Elements",Inscribed: D.G.R.,19th century,"The attribution of this impressive stained glass design, along with its three companion drawings in Mia's collection (10.2-10.4), has been a century-old puzzle. The large-scale cartoons, representing the four elements, were acquired in 1910 as the work of the famous British Pre-Raphaelite painter Dante Gabriel Rossetti (1828-1882). This attribution was based on the spurious monogram ""D.G.R"" inscribed at the lower edge of each of the drawings. Over the years, other artists' names have been proposed--Frederic James Shields (1833-1911), Henry Holiday (1839-1927)--but no consensus among experts was found. 

Finally, in December 2015, exactly 105 years (almost to the day) after the drawings were given to the museum, the identity of the artist has been recovered. They are the work of the British artist Frederick G. Smith. It was Peter Cormack, the noted scholar of British and American stained glass, who tracked down the artist and also identified the project for which they were produced, the grand staircase at Avery Hill, in southeast London. Smith was a partner of the London firm Campbell, Smith, & Co., and he likely executed these cartoons between 1888 or 1889 when the house was being reconstructed by Colonel John T. North. The stained glass was completed by 1890, but  Avery Hill was badly damaged during the Blitz of World War II. In 1982 the museum acquired a stained glass panel directly related to the series, representing the allegory of Water (81.92). The provenance is not known, but the glass is roughly half the size of the drawing. It may have come from Avery Hill, or perhaps Campbell, Smith & Co. executed multiple versions of Smith's designs.","Air, from the series The Four Elements","English, 1833 - 1911"
Artist: Frederick G. Smith; Artist: Formerly attributed to Dante Gabriel Rossetti; Artist: Formerly attributed to Frederic James Shields, Drawings,Europe,England,"Gift of Mrs. C. J. Martin, in memory of Charles Jairus Martin",c. 1888-89,Prints and Drawings,70 5/8 x 24 7/8 in. (179.39 x 63.18 cm) (image),Signature (spurious),"Pen and ink, brush and wash over graphite",English,"[Art dealer, London, acquired from ""an old house in Chelsea;"" sold to Brooks]; [Edmund D. Brooks Book Rooms, Minneapolis, 1910; sold to Martin]; Ella S. (Mrs. Charles Jarius) Martin, Minneapolis (1910; given to Mia).",Public Domain,Not on View,"Design for a stained glass window; once thought to be by Dante Gabriel Rosetti
from a series of The Elements",Inscribed: [D.G.R.],19th century,"The attribution of this impressive stained glass design, along with its three companion drawings in Mia's collection (10.1-10.3-10.4), has been a century-old puzzle. The large-scale cartoons, representing the four elements, were acquired in 1910 as the work of the famous British Pre-Raphaelite painter Dante Gabriel Rossetti (1828-1882). This attribution was based on the spurious monogram ""D.G.R"" inscribed at the lower edge of each of the drawings. Over the years, other artists' names have been proposed--Frederic James Shields (1833-1911), Henry Holiday (1839-1927)--but no consensus among experts was found. 

Finally, in December 2015, exactly 105 years (almost to the day) after the drawings were given to the museum, the identity of the artist has been recovered. They are the work of the British artist Frederick G. Smith. It was Peter Cormack, the noted scholar of British and American stained glass, who tracked down the artist and also identified the project for which they were produced, the grand staircase at Avery Hill, in southeast London. Smith was a partner of the London firm Campbell, Smith, & Co., and he likely executed these cartoons between 1888 or 1889, when the house was being reconstructed by Colonel John T. North. The stained glass was completed by 1890, but  Avery Hill was badly damaged during the Blitz of World War II. In 1982 the museum acquired a stained glass panel directly related to the series, representing the allegory of Water (81.92). The provenance is not known, but the glass is roughly half the size of the drawing. It may have come from Avery Hill, or perhaps Campbell, Smith & Co. executed multiple versions of Smith's designs.","Earth, from the series The Four Elements","English, 1833 - 1911"
N/A, Sculpture,Africa,Egypt,The William Hood Dunwoody Fund,22nd-18th century BCE,Art of Africa and the Americas,27 x 37 1/2 x 6 in. (68.58 x 95.25 x 15.24 cm),N/A,Polychromed wood,N/A,N/A,Public Domain,Not on View,Model boat containing 18 figures,N/A,22nd-18th century BCE,"This boat, manned by eighteen oarsmen and equipped with a mast and a mount for the steering oar, is of the type commonly placed in the tomb of a deceased noble or government official. It faithfully represents the vessels used in daily life for fishing and for transportation on the Nile. A model boat enabled the deceased to make a pilgrimage by magical proxy to the city of Abydos, the cult center of the god Osiris. Sometimes two boats were provided, one with a mast for sailing south (against the current) and one with only oarsmen for sailing north (with the current.)

<P>Grave-goods found in Middle Kingdom tombs have also included wooden figures of offering-bearers and other servants performing tasks intended to provide essential services and commodities to the deceased in the next world.",Model Boat and Figures,N/A
N/A, Sculpture,Africa,Egypt,The William Hood Dunwoody Fund,1320-656 BCE,Art of Africa and the Americas,3 3/8 x 1 5/16 in. (8.57 x 3.33 cm),N/A,Glazed faience,N/A,N/A,Public Domain,Not on View,"Janiform figure which bears the lioness head of Sekhmet at the front and the falcon head of her father Ra on the back
in seated attitude, blue faience

in seated attitude; blue faience",N/A,14th-7th century BCE,N/A,Goddess Sekhmet,N/A
N/A, Sculpture,Africa,Egypt,The William Hood Dunwoody Fund,c. 664 BCE - 30 CE,Art of Africa and the Americas,5 1/4 x 1 in. (13.34 x 2.54 cm),N/A,Bronze,N/A,N/A,Public Domain,Not on View,"Goddess Mut; green; in standing attitude, wearing double crown of Upper and Lower Egypt

in standing attitude and wearing the double crown of upper and lower Egypt",N/A,8th century BCE - 1st century CE,N/A,Goddess Mut,N/A
N/A, Sculpture,Africa,Egypt,The William Hood Dunwoody Fund,c. 664 BCE - 30 CE,Art of Africa and the Americas,1 7/8 x 1/2 in. (4.76 x 1.27 cm),N/A,Bronze,N/A,N/A,Public Domain,Not on View,sacred bull Apis; black; solid casting,N/A,8th century BCE - 1st century CE,N/A,Apis Bull,N/A
N/A, Sculpture,Africa,Egypt,The William Hood Dunwoody Fund,1320-656 BCE,Art of Africa and the Americas,3 5/8 x 13/16 in. (9.21 x 2.06 cm),N/A,Glazed faience,N/A,N/A,Public Domain,Not on View,"in walking attitude and wearing the Atef crown, blue faience",N/A,14th-7th century BCE,N/A,God Horus Amulet,N/A
N/A, Sculpture,Africa,Egypt,The William Hood Dunwoody Fund,664-525 BCE,Art of Africa and the Americas,3-5/8 x 15/16 in. (9.2 x 2.4 cm),N/A,Faience,N/A,N/A,Public Domain,Not on View,"Thoth, grey glazed faience, Egyptian

grey, glazed faience",N/A,7th-6th century BCE,N/A,God Thoth,N/A
N/A, Paintings; Funerary Goods,Africa,Egypt,The William Hood Dunwoody Fund,1070-712 BCE,Art of Africa and the Americas,9 5/8 x 39 3/16 in. (24.4 x 99.5 cm),N/A,Papyrus,N/A,N/A,Public Domain,G250,"Third Intermediate Period. Fragment of the funerary papyrus of the Priest of Amon, Jekhonsefonkh: There are two scenes, both perhaps incomplete. The accompanying text is lost. A: At the right of the fragment is the god Osiris, a mummiform figure, enthroned, wearing the white crown of Upper Egypt and carrying his usual attributes, a scepter in the form of the shepherd's crook and the whip. Above is a legend of three vertical lines reading in order from right to left: ""May Osiris, Lord of Eternity, First of the Westerners (i.e. the beatified dead) grant a nysut dy hotep (funerary offerings; literally ""an offering which the king gives""). Before the god are numerous offerings, among which one may distinguish loaves of bread, a bunch of onions, a cut of meat, grapes and lotus flowers. Standing before the god and holding a jar of milk (to judge by the form of the jar--that regularly used to contain milk and used as a hieroglyph--""milk"") is the deceased, the person for whose benefit the papyrus was inscribed and decorated and in whose tomb it was preserved to modern times. His head is shorn as befitted a priest and he wears an elaborate costume of thin, white linen. Above in the legend, read from left to right: ""the wab-priest-in-front-of-Amon, Jekhonsefonkh, beatified.""
B: At the right of the left-hand scene, Jekhonsefonkh is seen again; one hand is held by a lioness-headed goddess, who turns to look into his face, his other hand is raised in the ritualistic gesture expressing adoration. The identifying legend above the priest's figure is the same as in A. The goddess is not named and may be any one of a number of lioness-headed divinities of whom the most important is Sekhmet. Apparently the goddess is presenting the deceased to an assembly of the weird beings who people the Netherworld. Unfortunately, for the most part, their names are not recorded; instead, in every available space, Osiris, Lord of Eternity, etc. (various epithets) is called on ""to grant funerary offerings.""",N/A,11th-8th century BCE,"Funerary papyri like this one, containing potent magical images, were placed in tombs to enable the deceased to be reborn in the afterlife as a god. On the right side of the divided papyrus, the priest Djedkhonsuiufankh (pronounced ?jed-CON-su-yu-eff-ONK? and meaning ?the god Khonsu says he shall live?) raises his hands in adoration and offers burning incense to the god Osiris. Because he is a priest, his head is shaved and he wears immaculate white linen garments. Osiris appears in the form of a mummy; his black skin color refers to the fertile black Nile river mud with its promise of new life. Between them is a table heaped high with funerary offerings: loaves of bread, onions, a bunch of grapes, and three lotus flowers.
 
On the left, a lioness-headed goddess ushers Djedkhonsuiufankh into a shadowy world of gods and demons. The imagery depicts the sun god?s passage through the underworld at night, where he unites with the god Osiris to emerge again at dawn. By identifying with the sun god, the deceased for whom this papyrus was painted hoped to participate in the solar cycle of rebirth and achieve victory over death.",Funerary papyrus,N/A
Designer: Florence Willets; Manufacturer: Minneapolis Handicraft Guild, Ceramics,North America,United States,Gift of Florence E. Willets,c. 1915,"Decorative Arts, Textiles and Sculpture",3 5/8 x 1 3/8 x 1/2 in. (9.21 x 3.49 x 1.27 cm),N/A,Glazed ceramic,American,N/A,Orphaned Work,G320,"Grey-blue, dull finish, incised conventional design",N/A,20th century,N/A,Tobacco jar,"American, active 1905?1956"
