attributes_bats,attributes_height,attributes_throws,attributes_weight,batting,birth_city,birth_country,birth_day,birth_month,birth_state,birth_year,fielding,name,pitching,salaries
R,70,R,185,"[{'runs': 3, 'hits': 5, 'at bats': 17, 'year': 1961}, {'runs': 96, 'hits': 186, 'at bats': 624, 'year': 1962}, {'runs': 75, 'hits': 163, 'at bats': 531, 'year': 1963}, {'runs': 87, 'hits': 161, 'at bats': 596, 'year': 1964}, {'runs': 59, 'hits': 117, 'at bats': 469, 'year': 1965}, {'runs': 30, 'hits': 66, 'at bats': 269, 'year': 1966}, {'runs': 31, 'hits': 83, 'at bats': 339, 'year': 1967}, {'runs': 14, 'hits': 49, 'at bats': 203, 'year': 1968}, {'runs': 15, 'hits': 42, 'at bats': 187, 'year': 1969}, {'runs': 9, 'hits': 15, 'at bats': 68, 'year': 1970}]",Mount Pleasant,USA,16,4,PA,1938,"[{'assists': 10, 'year': 1961, 'errors': 0, 'putouts': 5}, {'assists': 324, 'year': 1962, 'errors': 28, 'putouts': 137}, {'assists': 255, 'year': 1963, 'errors': 26, 'putouts': 122}, {'assists': 297, 'year': 1964, 'errors': 24, 'putouts': 134}, {'assists': 264, 'year': 1965, 'errors': 20, 'putouts': 144}, {'assists': 110, 'year': 1966, 'errors': 8, 'putouts': 58}, {'assists': 153, 'year': 1967, 'errors': 9, 'putouts': 83}, {'assists': 93, 'year': 1968, 'errors': 9, 'putouts': 28}, {'assists': 104, 'year': 1969, 'errors': 8, 'putouts': 42}, {'assists': 15, 'year': 1970, 'errors': 2, 'putouts': 3}]",Richard John Rollins,[],[]
R,69,R,175,"[{'runs': 8, 'hits': 12, 'at bats': 51, 'year': 1929}, {'runs': 50, 'hits': 112, 'at bats': 396, 'year': 1932}]",Donaldson,USA,5,12,AR,1901,"[{'assists': 29, 'year': 1929, 'errors': 1, 'putouts': 23}, {'assists': 215, 'year': 1932, 'errors': 28, 'putouts': 128}]",Carey Isom Selph,[],[]
L,74,L,180,"[{'runs': 0, 'hits': 0, 'at bats': 1, 'year': 1978}, {'runs': 1, 'hits': 1, 'at bats': 24, 'year': 1979}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1980}]",Bridgeport,USA,8,3,CT,1955,"[{'assists': 0, 'year': 1978, 'errors': 0, 'putouts': 1}, {'assists': 14, 'year': 1979, 'errors': 1, 'putouts': 6}, {'assists': 2, 'year': 1980, 'errors': 0, 'putouts': 1}]",Philip Nastu,"[{'wins': 0, 'hits': 8, 'losses': 1, 'games': 3, 'year': 1978}, {'wins': 3, 'hits': 105, 'losses': 4, 'games': 25, 'year': 1979}, {'wins': 0, 'hits': 10, 'losses': 0, 'games': 6, 'year': 1980}]",[]
L,76,R,200,"[{'runs': 5, 'hits': 16, 'at bats': 67, 'year': 1981}, {'runs': 82, 'hits': 160, 'at bats': 532, 'year': 1982}, {'runs': 75, 'hits': 153, 'at bats': 515, 'year': 1983}, {'runs': 80, 'hits': 174, 'at bats': 559, 'year': 1984}, {'runs': 78, 'hits': 165, 'at bats': 593, 'year': 1985}, {'runs': 85, 'hits': 147, 'at bats': 550, 'year': 1986}, {'runs': 85, 'hits': 136, 'at bats': 477, 'year': 1987}, {'runs': 75, 'hits': 159, 'at bats': 510, 'year': 1988}, {'runs': 59, 'hits': 102, 'at bats': 375, 'year': 1989}, {'runs': 61, 'hits': 141, 'at bats': 492, 'year': 1990}, {'runs': 72, 'hits': 131, 'at bats': 462, 'year': 1991}, {'runs': 52, 'hits': 96, 'at bats': 394, 'year': 1992}, {'runs': 60, 'hits': 95, 'at bats': 392, 'year': 1993}, {'runs': 34, 'hits': 74, 'at bats': 274, 'year': 1994}]",Minneapolis,USA,21,5,MN,1960,"[{'assists': 4, 'year': 1981, 'errors': 0, 'putouts': 124}, {'assists': 88, 'year': 1982, 'errors': 9, 'putouts': 1174}, {'assists': 89, 'year': 1983, 'errors': 13, 'putouts': 1151}, {'assists': 99, 'year': 1984, 'errors': 14, 'putouts': 1320}, {'assists': 114, 'year': 1985, 'errors': 8, 'putouts': 1339}, {'assists': 104, 'year': 1986, 'errors': 10, 'putouts': 1218}, {'assists': 68, 'year': 1987, 'errors': 5, 'putouts': 1179}, {'assists': 57, 'year': 1988, 'errors': 3, 'putouts': 842}, {'assists': 60, 'year': 1989, 'errors': 4, 'putouts': 723}, {'assists': 83, 'year': 1990, 'errors': 3, 'putouts': 1057}, {'assists': 95, 'year': 1991, 'errors': 8, 'putouts': 1138}, {'assists': 68, 'year': 1992, 'errors': 3, 'putouts': 954}, {'assists': 81, 'year': 1993, 'errors': 5, 'putouts': 940}, {'assists': 41, 'year': 1994, 'errors': 2, 'putouts': 566}]",Kent Allen Hrbek,[],"[{'salary': 19900000, 'year': 1985}]"
R,74,R,215,"[{'runs': 0, 'hits': 0, 'at bats': 2, 'year': 1992}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1993}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1994}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1995}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1996}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1997}, {'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1998}]",Chicago,USA,29,5,IL,1967,"[{'assists': 1, 'year': 1992, 'errors': 0, 'putouts': 0}, {'assists': 0, 'year': 1993, 'errors': 0, 'putouts': 1}, {'assists': 2, 'year': 1994, 'errors': 1, 'putouts': 5}, {'assists': 3, 'year': 1995, 'errors': 0, 'putouts': 2}, {'assists': 3, 'year': 1996, 'errors': 0, 'putouts': 1}, {'assists': 0, 'year': 1997, 'errors': 0, 'putouts': 0}, {'assists': 3, 'year': 1998, 'errors': 0, 'putouts': 2}]",William Charles Risley,"[{'wins': 1, 'hits': 4, 'losses': 0, 'games': 1, 'year': 1992}, {'wins': 0, 'hits': 2, 'losses': 0, 'games': 2, 'year': 1993}, {'wins': 9, 'hits': 31, 'losses': 6, 'games': 37, 'year': 1994}, {'wins': 2, 'hits': 55, 'losses': 1, 'games': 45, 'year': 1995}, {'wins': 0, 'hits': 33, 'losses': 1, 'games': 25, 'year': 1996}, {'wins': 0, 'hits': 3, 'losses': 1, 'games': 3, 'year': 1997}, {'wins': 3, 'hits': 52, 'losses': 4, 'games': 44, 'year': 1998}]","[{'salary': 1949500, 'year': 1993}]"
,0,,0,"[{'runs': 0, 'hits': 0, 'at bats': 5, 'year': 1874}]",,,0,0,,0,"[{'assists': 0, 'year': 1874, 'errors': 1, 'putouts': 0}]", Wood,[],[]
R,74,R,200,"[{'runs': 0, 'hits': 0, 'at bats': 0, 'year': 1998}]",Seattle,USA,30,12,WA,1969,"[{'assists': 0, 'year': 1998, 'errors': 0, 'putouts': 0}]",Stephen Robert Gajkowski,"[{'wins': 0, 'hits': 14, 'losses': 0, 'games': 9, 'year': 1998}]",[]
R,72,R,170,"[{'runs': 12, 'hits': 8, 'at bats': 29, 'year': 1984}, {'runs': 54, 'hits': 105, 'at bats': 416, 'year': 1985}, {'runs': 32, 'hits': 57, 'at bats': 208, 'year': 1986}, {'runs': 24, 'hits': 46, 'at bats': 196, 'year': 1987}, {'runs': 22, 'hits': 69, 'at bats': 270, 'year': 1988}, {'runs': 25, 'hits': 57, 'at bats': 266, 'year': 1989}, {'runs': 19, 'hits': 42, 'at bats': 157, 'year': 1990}, {'runs': 1, 'hits': 2, 'at bats': 22, 'year': 1991}, {'runs': 0, 'hits': 0, 'at bats': 4, 'year': 1996}]",Philadelphia,USA,26,1,PA,1962,"[{'assists': 13, 'year': 1984, 'errors': 1, 'putouts': 7}, {'assists': 191, 'year': 1985, 'errors': 20, 'putouts': 86}, {'assists': 94, 'year': 1986, 'errors': 13, 'putouts': 42}, {'assists': 71, 'year': 1987, 'errors': 10, 'putouts': 193}, {'assists': 110, 'year': 1988, 'errors': 11, 'putouts': 94}, {'assists': 126, 'year': 1989, 'errors': 12, 'putouts': 59}, {'assists': 81, 'year': 1990, 'errors': 11, 'putouts': 104}, {'assists': 1, 'year': 1991, 'errors': 1, 'putouts': 15}, {'assists': 2, 'year': 1996, 'errors': 1, 'putouts': 0}]",Richard Spencer Schu,[],"[{'salary': 590000, 'year': 1986}]"
R,76,R,195,"[{'runs': 0, 'hits': 0, 'at bats': 0, 'year': 2000}]",Syracuse,USA,22,12,NY,1971,"[{'assists': 0, 'year': 2000, 'errors': 0, 'putouts': 0}]",Jon Charles Ratliff,"[{'wins': 0, 'hits': 0, 'losses': 0, 'games': 1, 'year': 2000}]",[]
R,75,R,200,"[{'runs': 1, 'hits': 4, 'at bats': 7, 'year': 2014}]",Barquisimeto,Venezuela,20,5,Lara,1988,"[{'assists': 4, 'year': 2014, 'errors': 1, 'putouts': 1}]",Carlos Luis Rivero,[],[]
