Births,DHS Denominator,Deaths,Entered,Entered Rate,Establishment Exit,Exited,Exited Rate,Firm Exits.Count,Job Creation.Continuers,Job Creation.Count,Job Creation.Rate,Job Destruction,Job Destruction.Continuers,Job Destruction.Count,Job Destruction.Rate,Net Job Creation,Net Job Creation Rate,Number of Firms,Physical Locations,Rate/Births,Rate/Deaths,Reallocation Rate,State,Year
89869,933909,58891,10634,17.2,5641,8057,13.1,5623,101653,191522,20.5,36602,85855,144746,15.5,46776,5.0,52371,62852,9.6,6.3,31.0,Alabama,1977
19259,108134,13504,2028,27.0,1039,1564,20.8,1035,18286,37545,34.7,6757,25981,39485,36.5,-1940,-1.8,6480,7725,17.8,12.5,69.4,Alaska,1977
70645,589552,45366,9379,22.0,4357,6230,14.6,4332,76781,147426,25.0,29116,72063,117429,19.9,29997,5.1,36477,44113,12.0,7.7,39.8,Arizona,1977
44527,529709,32531,7291,18.3,3994,5455,13.7,3970,75201,119728,22.6,19678,44394,76925,14.5,42803,8.1,35499,40702,8.4,6.1,29.0,Arkansas,1977
779164,6484959,488562,88187,20.7,39932,60589,14.2,39693,960214,1739378,26.8,276475,594123,1082685,16.7,656693,10.1,362887,438766,12.0,7.5,33.4,California,1977
93270,786550,62313,12874,22.2,5694,8248,14.2,5673,104973,198243,25.2,37131,80745,143058,18.2,55185,7.0,51642,60187,11.9,7.9,36.4,Colorado,1977
69857,1059999,47273,9153,15.2,4263,6634,11.0,4248,144993,214850,20.3,24208,79955,127228,12.0,87622,8.3,53879,61410,6.6,4.5,24.0,Connecticut,1977
14260,220859,9058,1954,17.6,810,1250,11.2,807,20557,34817,15.8,5417,21206,30264,13.7,4553,2.1,9919,11465,6.5,4.1,27.4,Delaware,1977
27830,296031,20610,2262,15.2,1135,1855,12.5,1131,31594,59424,20.1,9899,37119,57729,19.5,1695,0.6,13027,15041,9.4,7.0,39.0,District of Columbia,1977
319998,2316656,191982,36816,20.7,19236,27045,15.2,19132,302876,622874,26.9,120706,226401,418383,18.1,204491,8.8,151970,182091,13.8,8.3,36.2,Florida,1977
146754,1452463,97339,17573,18.7,8911,13166,14.0,8877,173172,319926,22.0,56643,141751,239090,16.5,80836,5.5,78451,95914,10.1,6.7,33.0,Geogia,1977
27592,253382,19811,3306,19.0,1438,2150,12.4,1422,27993,55585,21.9,10556,20323,40134,15.8,15451,6.1,14785,17914,10.9,7.8,31.6,Hawaii,1977
24359,231419,15378,3729,20.5,1749,2500,13.7,1738,67757,92116,39.8,9788,21331,36709,15.9,55407,23.9,16105,18790,10.5,6.6,31.8,Idaho,1977
293000,3811704,202049,30780,15.2,16871,25527,12.6,16751,452823,745823,19.6,107141,328929,530978,13.9,214845,5.7,175560,204938,7.7,5.3,27.8,Illinois,1977
122035,1669441,81202,14426,15.4,7499,11454,12.2,7438,176792,298827,17.9,50182,139505,220707,13.2,78120,4.7,79024,95182,7.3,4.9,26.4,Indiana,1977
68130,809119,50775,10154,16.1,5295,7961,12.6,5274,100982,169112,20.9,31820,61101,111876,13.8,57236,7.1,54755,64042,8.4,6.3,27.6,Iowa,1977
86853,655567,44771,8534,16.7,4729,6944,13.6,4706,73081,159934,24.4,26825,58613,103384,15.8,56550,8.6,44466,51782,13.2,6.8,31.6,Kansas,1977
73635,885353,52001,9711,16.8,5226,7697,13.3,5214,119856,193491,21.9,31052,78707,130708,14.8,62783,7.1,50186,58576,8.3,5.9,29.6,Kentucky,1977
96403,992319,61750,11802,17.3,5852,8216,12.0,5819,126917,223320,22.5,37703,102161,163911,16.5,59409,6.0,58952,70029,9.7,6.2,33.0,Louisiana,1977
27020,283875,16956,3441,16.2,1762,2749,12.9,1756,32860,59880,21.1,9457,25579,42535,15.0,17345,6.1,18929,21673,9.5,6.0,30.0,Maine,1977
87380,1112672,65776,11007,16.4,5223,8105,12.0,5202,135360,222740,20.0,33840,129470,195246,17.5,27494,2.5,57557,68669,7.9,5.9,35.0,Maryland,1977
156633,1881581,104349,14690,13.7,7849,12039,11.2,7820,232821,389454,20.7,55353,147392,251741,13.4,137713,7.3,93706,108715,8.3,5.5,26.8,Massachusetts,1977
198770,2620761,129324,23171,16.0,11516,18173,12.6,11444,333924,532694,20.3,71034,208472,337796,12.9,194898,7.4,122826,147031,7.6,4.9,25.8,Michigan,1977
108577,1230894,73208,12235,16.2,5833,8977,11.9,5779,173802,282379,22.9,43594,105537,178745,14.5,103634,8.4,65489,76960,8.8,5.9,29.0,Minnesota,1977
48125,560084,34706,6881,17.2,3754,5252,13.1,3728,74685,122810,21.9,22449,46325,81031,14.5,41779,7.4,34771,40703,8.6,6.2,29.0,Mississippi,1977
113532,1469236,89617,15093,16.1,8321,12456,13.3,8281,183319,296851,20.2,47534,127491,217108,14.8,79743,5.4,79865,94772,7.7,6.1,29.6,Missouri,1977
23009,178501,13323,3670,20.0,1675,2397,13.1,1670,30799,53808,30.1,9899,15544,28867,16.2,24941,13.9,16633,18922,12.9,7.5,32.4,Montana,1977
38510,451602,29267,5742,16.2,2982,4374,12.3,2971,77529,116039,25.7,19346,43038,72305,16.0,43734,9.7,31391,36091,8.5,6.5,32.0,Nebraska,1977
24771,224173,15357,3258,23.1,1469,2044,14.5,1465,32400,57171,25.5,9485,19576,34933,15.6,22238,9.9,12872,14682,11.0,6.9,31.2,Nevada,1977
20146,253772,14599,3204,17.9,1407,2063,11.5,1400,31051,51197,20.2,8623,19898,34497,13.6,16700,6.6,16553,18449,7.9,5.8,27.2,New Hampshire,1977
178309,2258998,131558,20677,14.8,11057,17341,12.4,11014,249792,428101,19.0,63980,215066,346624,15.3,81477,3.7,124638,141637,7.9,5.8,30.6,New Jersey,1977
33274,266415,22137,4889,20.8,2429,3459,14.7,2421,33829,67103,25.2,13603,29360,51497,19.3,15606,5.9,20904,24176,12.5,8.3,38.6,New Mexico,1977
402075,5434966,323854,48067,13.7,31402,44902,12.8,31294,642565,1044640,19.2,181801,517757,841611,15.5,203029,3.7,312227,353279,7.4,6.0,31.0,New York,1977
132489,1719698,88097,16734,16.7,8412,12387,12.3,8384,174100,306589,17.8,51648,155901,243998,14.2,62591,3.6,84511,102521,7.7,5.1,28.4,North Carolina,1977
14237,146646,10832,2435,16.6,1175,1871,12.8,1170,15316,29553,20.2,7566,13588,24420,16.7,5133,3.5,13177,14917,9.7,7.4,33.4,North Dakota,1977
255150,3436627,171098,27571,14.8,13812,21859,11.7,13726,406990,662140,19.3,90134,280524,451622,13.1,210518,6.2,152029,189077,7.4,5.0,26.2,Ohio,1977
78333,721654,50346,10526,18.4,5652,7817,13.7,5626,86690,165023,22.9,32495,64986,115332,16.0,49691,6.9,50336,58471,10.9,7.0,32.0,Oklahoma,1977
71803,672087,50465,10970,20.9,4997,7492,14.3,4972,83830,155633,23.2,30325,57800,108265,16.1,47368,7.1,46565,54000,10.7,7.5,32.2,Oregon,1977
274187,3747564,183802,28483,13.8,14526,22690,11.0,14433,435878,710065,18.9,94367,320780,504582,13.5,205483,5.4,174493,208707,7.3,4.9,27.0,Pennsylvania,1977
18286,324421,14848,2770,14.4,1462,2227,11.6,1452,88028,106314,32.8,7106,24246,39094,12.1,67220,20.7,17573,19459,5.6,4.6,24.2,Rhode Island,1977
59698,827937,41938,8438,17.2,4229,6094,12.4,4204,77247,136945,16.5,23887,71989,113927,13.8,23018,2.7,42348,50173,7.2,5.1,27.6,South Carolina,1977
25862,171956,10499,2501,16.2,1255,2013,13.1,1255,45923,71785,41.7,6637,14577,25076,14.6,46709,27.1,13882,15605,15.0,6.1,29.2,South Dakota,1977
121560,1273560,74336,13760,17.9,6971,10117,13.2,6941,146050,267610,21.0,44016,114150,188486,14.8,79124,6.2,65615,78338,9.5,5.8,29.6,Tennessee,1977
434064,3845503,264045,49803,19.4,23750,34101,13.3,23575,506539,940603,24.5,157804,387859,651904,17.0,288699,7.5,214505,263754,11.3,6.9,34.0,Texas,1977
38733,339655,26057,5073,21.4,2167,3305,14.0,2147,53961,92694,27.3,15813,33276,59333,17.5,33361,9.8,21269,24554,11.4,7.7,35.0,Utah,1977
13726,139006,8799,1914,16.9,912,1347,11.9,909,17583,31309,22.5,4669,10387,19186,13.8,12123,8.7,10485,11609,9.9,6.3,27.6,Vermont,1977
127378,1360683,79434,14413,16.7,7027,10720,12.4,6985,155515,282893,20.8,42951,141854,221288,16.3,61605,4.5,72552,88154,9.4,5.8,32.6,Virginia,1977
