Age Adjusted CI Lower,Age Adjusted CI Upper,Age Adjusted Rate,Area,Count,Crude CI Lower,Crude CI Upper,Crude Rate,Event Type,Population,Race,Sex,Year
160.6,170.5,165.5,Alabama,4366,184.8,196.1,190.4,Mortality,2293259,All Races,Female,1999
361.1,376.1,368.6,Alabama,9452,402.2,418.8,410.5,Incidence,2302835,All Races,Female,2000
160.8,170.6,165.7,Alabama,4425,186.5,197.9,192.2,Mortality,2302835,All Races,Female,2000
376.4,391.6,384.0,Alabama,9938,421.9,438.9,430.3,Incidence,2309496,All Races,Female,2001
164.7,174.7,169.7,Alabama,4550,191.3,202.8,197.0,Mortality,2309496,All Races,Female,2001
381.5,396.8,389.1,Alabama,10133,429.3,446.4,437.8,Incidence,2314370,All Races,Female,2002
158.3,168.0,163.1,Alabama,4407,184.8,196.1,190.4,Mortality,2314370,All Races,Female,2002
357.4,372.1,364.7,Alabama,9592,404.5,421.1,412.7,Incidence,2324069,All Races,Female,2003
158.9,168.6,163.7,Alabama,4472,186.8,198.1,192.4,Mortality,2324069,All Races,Female,2003
376.8,391.9,384.3,Alabama,10221,428.8,445.8,437.2,Incidence,2337857,All Races,Female,2004
158.9,168.5,163.6,Alabama,4498,186.8,198.1,192.4,Mortality,2337857,All Races,Female,2004
381.1,396.2,388.6,Alabama,10489,437.0,454.1,445.5,Incidence,2354514,All Races,Female,2005
160.2,169.8,165.0,Alabama,4599,189.7,201.1,195.3,Mortality,2354514,All Races,Female,2005
377.1,392.0,384.5,Alabama,10545,433.7,450.6,442.0,Incidence,2385480,All Races,Female,2006
153.9,163.3,158.6,Alabama,4490,182.8,193.8,188.2,Mortality,2385480,All Races,Female,2006
386.7,401.7,394.2,Alabama,10957,446.7,463.8,455.2,Incidence,2407275,All Races,Female,2007
151.8,161.1,156.4,Alabama,4492,181.2,192.1,186.6,Mortality,2407275,All Races,Female,2007
393.2,399.8,396.5,Alabama,57019,462.7,470.4,466.5,Incidence,12222298,All Races,Female,2009
154.4,158.5,156.4,Alabama,22892,186.2,191.1,188.7,Mortality,12134084,All Races,Female,2009
399.8,414.8,407.2,Alabama,11583,468.0,485.4,476.6,Incidence,2430257,All Races,Female,2008
152.3,161.4,156.8,Alabama,4618,184.6,195.6,190.0,Mortality,2430257,All Races,Female,2008
393.8,408.7,401.2,Alabama,11530,462.4,479.6,471.0,Incidence,2448159,All Races,Female,2009
152.7,161.9,157.3,Alabama,4668,185.2,196.2,190.7,Mortality,2448159,All Races,Female,2009
387.6,402.3,394.9,Alabama,11549,460.4,477.6,469.0,Incidence,2462708,All Races,Female,2010
148.8,157.7,153.2,Alabama,4624,182.4,193.2,187.7,Mortality,2462913,All Races,Female,2010
377.9,392.4,385.1,Alabama,11400,452.4,469.3,460.8,Incidence,2473899,All Races,Female,2011
148.8,157.7,153.2,Alabama,4624,182.4,193.2,187.7,Mortality,2462913,All Races,Female,2011
275.0,290.9,282.9,Alabama,5140,234.0,247.2,240.5,Mortality,2136882,All Races,Male,1999
521.4,542.3,531.7,Alabama,10371,473.3,491.9,482.5,Incidence,2149338,All Races,Male,2000
283.9,300.0,291.8,Alabama,5382,243.8,257.2,250.4,Mortality,2149338,All Races,Male,2000
549.5,570.8,560.1,Alabama,11112,505.4,524.6,514.9,Incidence,2158138,All Races,Male,2001
275.0,290.8,282.8,Alabama,5251,236.8,250.0,243.3,Mortality,2158138,All Races,Male,2001
545.1,566.2,555.6,Alabama,11250,509.9,529.1,519.5,Incidence,2165719,All Races,Male,2002
272.6,288.2,280.3,Alabama,5291,237.8,251.0,244.3,Mortality,2165719,All Races,Male,2002
536.2,557.0,546.5,Alabama,11196,504.2,523.3,513.7,Incidence,2179422,All Races,Male,2003
268.9,284.2,276.5,Alabama,5340,238.5,251.7,245.0,Mortality,2179422,All Races,Male,2003
561.7,582.8,572.2,Alabama,12000,537.5,557.1,547.2,Incidence,2192872,All Races,Male,2004
261.3,276.4,268.8,Alabama,5258,233.3,246.3,239.8,Mortality,2192872,All Races,Male,2004
556.0,576.7,566.3,Alabama,12154,539.9,559.5,549.6,Incidence,2211403,All Races,Male,2005
258.6,273.4,265.9,Alabama,5314,233.9,246.8,240.3,Mortality,2211403,All Races,Male,2005
564.3,584.8,574.4,Alabama,12765,559.1,578.9,569.0,Incidence,2243501,All Races,Male,2006
255.5,270.0,262.7,Alabama,5409,234.7,247.6,241.1,Mortality,2243501,All Races,Male,2006
570.9,591.3,581.1,Alabama,13199,572.7,592.6,582.6,Incidence,2265565,All Races,Male,2007
254.8,269.1,261.8,Alabama,5533,237.8,250.7,244.2,Mortality,2265565,All Races,Male,2007
564.4,573.2,568.8,Alabama,67396,580.9,589.7,585.3,Incidence,11515137,All Races,Male,2009
252.3,258.5,255.4,Alabama,27699,239.5,245.2,242.4,Mortality,11429282,All Races,Male,2009
579.9,600.3,590.1,Alabama,13671,587.5,607.6,597.5,Incidence,2287949,All Races,Male,2008
248.6,262.5,255.5,Alabama,5564,236.8,249.7,243.2,Mortality,2287949,All Races,Male,2008
568.2,588.2,578.1,Alabama,13659,581.5,601.4,591.4,Incidence,2309779,All Races,Male,2009
246.3,260.0,253.1,Alabama,5621,237.0,249.8,243.4,Mortality,2309779,All Races,Male,2009
545.5,564.8,555.1,Alabama,13499,571.6,591.2,581.3,Incidence,2322054,All Races,Male,2010
238.3,251.6,244.9,Alabama,5572,233.7,246.3,239.9,Mortality,2322488,All Races,Male,2010
532.3,551.3,541.7,Alabama,13368,564.1,583.6,573.8,Incidence,2329790,All Races,Male,2011
238.3,251.6,244.9,Alabama,5572,233.7,246.3,239.9,Mortality,2322488,All Races,Male,2011
206.5,215.1,210.8,Alabama,9506,210.3,218.9,214.6,Mortality,4430141,All Races,Male and Female,1999
426.2,438.3,432.2,Alabama,19823,439.1,451.5,445.2,Incidence,4452173,All Races,Male and Female,2000
210.4,219.0,214.7,Alabama,9807,215.9,224.7,220.3,Mortality,4452173,All Races,Male and Female,2000
447.7,460.0,453.9,Alabama,21050,464.8,477.6,471.2,Incidence,4467634,All Races,Male and Female,2001
208.6,217.0,212.8,Alabama,9801,215.1,223.8,219.4,Mortality,4467634,All Races,Male and Female,2001
449.3,461.6,455.4,Alabama,21383,470.9,483.7,477.3,Incidence,4480089,All Races,Male and Female,2002
204.3,212.6,208.4,Alabama,9698,212.2,220.8,216.5,Mortality,4480089,All Races,Male and Female,2002
431.0,443.0,437.0,Alabama,20788,455.3,467.9,461.6,Incidence,4503491,All Races,Male and Female,2003
