Acceleration,Base Curb Weight,Classification,Driveline,Engine,Engine Type,Height,Horsepower,Hybrid,Length,Make,Model Year,Number Of Forward Gears,Size,Top Speed,Torque,Transmission,Width,city_mpg,fuel,highway_mpg,id,year
0.0,0,Manual transmission,,Pontiac 5.7L 8 Cylinder,8 Cylinder,0,0,,0,Pontiac,2004 Pontiac GTO Coupe,6,5.7,0.0,0,6 Speed Manual,0,16,,26,2004 Pontiac GTO Coupe Pontiac 5.7L 8 Cylinder 6 Speed Manual,2004
0.0,0,Automatic transmission,,Pontiac 5.7L 8 Cylinder,8 Cylinder,0,0,,0,Pontiac,2004 Pontiac GTO Coupe,4,5.7,0.0,0,4 Speed Automatic,0,15,,20,2004 Pontiac GTO Coupe Pontiac 5.7L 8 Cylinder 4 Speed Automatic,2004
0.0,0,Automatic transmission,,Pontiac 6.0L 8 Cylinder,8 Cylinder,0,0,,0,Pontiac,2005 Pontiac GTO Coupe,4,6.0,0.0,0,4 Speed Automatic,0,14,,19,2005 Pontiac GTO Coupe Pontiac 6.0L 8 Cylinder 4 Speed Automatic,2005
0.0,0,Manual transmission,,Pontiac 6.0L 8 Cylinder,8 Cylinder,0,0,,0,Pontiac,2005 Pontiac GTO Coupe,6,6.0,0.0,0,6 Speed Manual,0,15,,23,2005 Pontiac GTO Coupe Pontiac 6.0L 8 Cylinder 6 Speed Manual,2005
0.0,0,Manual transmission,,Pontiac 6.0L 8 Cylinder,8 Cylinder,0,0,,0,Pontiac,2006 Pontiac GTO Coupe,6,6.0,0.0,0,6 Speed Manual,0,15,,23,2006 Pontiac GTO Coupe Pontiac 6.0L 8 Cylinder 6 Speed Manual,2006
0.0,0,Automatic transmission,,Pontiac 6.0L 8 Cylinder,8 Cylinder,0,0,,0,Pontiac,2006 Pontiac GTO Coupe,4,6.0,0.0,0,4 Speed Automatic,0,14,,19,2006 Pontiac GTO Coupe Pontiac 6.0L 8 Cylinder 4 Speed Automatic,2006
0.0,0,Automatic transmission,,Mercedes-Benz 2.8L 6 Cylinder Premium,6 Cylinder,0,0,,0,Mercedes-Benz,2000 Mercedes-Benz C-Class C280 Sedan,5,2.8,0.0,0,5 Speed Automatic,0,19,,25,2000 Mercedes-Benz C-Class C280 Sedan Mercedes-Benz 2.8L 6 Cylinder Premium 5 Speed Automatic,2000
0.0,0,Automatic transmission,,Mercedes-Benz 4.3L 8 Cylinder Premium,8 Cylinder,0,0,,0,Mercedes-Benz,2000 Mercedes-Benz C-Class C43 AMG Sedan,5,4.3,0.0,0,5 Speed Automatic,0,16,,21,2000 Mercedes-Benz C-Class C43 AMG Sedan Mercedes-Benz 4.3L 8 Cylinder Premium 5 Speed Automatic,2000
0.0,0,Automatic transmission,,Honda 3.5L 6 cylinder VTEC 240hp 242 torque,V6 engine,0,240,,0,Honda,2003 Honda Pilot LX SUV,5,3.5,0.0,244,5 Speed Automatic,0,17,,22,2003 Honda Pilot LX SUV Honda 3.5L 6 cylinder VTEC 240hp 242 torque 5 Speed Automatic,2003
0.0,0,Automatic transmission,,V6 engine,,0,0,,0,Honda,2006 Honda Pilot 2WD EX,5,0.0,0.0,0,5 Speed Automatic,0,18,,24,2006 Honda Pilot 2WD EX V6 engine 5 Speed Automatic,2006
0.0,0,Automatic transmission,,V6 engine,,0,0,,0,Honda,2006 Honda Pilot 4WD EX SUV,5,0.0,0.0,0,5 Speed Automatic,0,17,,22,2006 Honda Pilot 4WD EX SUV V6 engine 5 Speed Automatic,2006
0.0,0,Automatic transmission,,V6 engine,,0,0,,0,Honda,2006 Honda Pilot 2WD LX SUV,5,0.0,0.0,0,5 Speed Automatic,0,18,,24,2006 Honda Pilot 2WD LX SUV V6 engine 5 Speed Automatic,2006
0.0,0,Automatic transmission,,V6 engine,,0,0,,0,Honda,2006 Honda Pilot 4WD LX SUV,5,0.0,0.0,0,5 Speed Automatic,0,17,,22,2006 Honda Pilot 4WD LX SUV V6 engine 5 Speed Automatic,2006
0.0,0,Automatic transmission,Front-wheel drive,Pontiac 3.9L 6 Cylinder 227 hp 235 ft-lbs,6 Cylinder,0,227,FALSE,0,Pontiac,2007 Pontiac G6 Convertible,4,3.9,0.0,235,4 Speed Automatic Select Shift,0,15,Gasoline,22,2007 Pontiac G6 GT 3.9L Convertible,2007
0.0,0,Automatic transmission,Front-wheel drive,Pontiac 3.5L 6 Cylinder 217 hp 217 ft-lbs,,0,217,FALSE,0,Pontiac,2007 Pontiac G6 Convertible,4,3.5,0.0,217,4 Speed Automatic Select Shift,0,18,Gasoline,26,2007 Pontiac G6 GT Convertible,2007
0.0,0,Automatic transmission,Front-wheel drive,Pontiac 3.6L 6 Cylinder 252 hp 251 ft-lbs,6 Cylinder,0,252,FALSE,0,Pontiac,2007 Pontiac G6 Coupe,6,3.6,0.0,251,6 Speed Automatic Select Shift,0,17,Gasoline,26,2007 Pontiac G6 GTP Coupe,2007
0.0,0,Automatic transmission,Front-wheel drive,Pontiac 3.5L 6 Cylinder 224 hp 220 ft-lbs,,0,224,FALSE,0,Pontiac,2007 Pontiac G6 Coupe,4,3.5,0.0,220,4 Speed Automatic,0,18,Gasoline,28,2007 Pontiac G6 GT Coupe,2007
0.0,0,Manual transmission,,Straight-4,,0,240,,0,Honda,2006 Honda Civic Coupe,5,0.0,0.0,153,5 Speed Manual,0,30,,38,2006 Honda Civic Coupe DX,2006
0.0,0,Automatic transmission,,Straight-4,,0,240,,0,Honda,2006 Honda Civic Coupe,5,0.0,0.0,153,5 Speed Automatic,0,30,,40,2006 Honda Civic Coupe DX AT,2006
0.0,0,Automatic transmission,,Straight-4,,0,240,,0,Honda,2006 Honda Civic GX,5,0.0,0.0,153,5 Speed Automatic,0,28,,39,2006 Honda Civic GX Straight-4 5 Speed Automatic,2006
0.0,0,Automatic transmission,,Straight-4,,0,240,,0,Honda,2006 Honda Civic Coupe,5,0.0,0.0,153,5 Speed Automatic,0,30,,40,2006 Honda Civic Coupe LX AT,2006
