Name,Number of Permits.1 unit,Number of Permits.2 units,Number of Permits.3-4 units,Number of Permits.5+ units,Valuations.1 unit,Valuations.2 units,Valuations.3-4 units,Valuations.5+ units,full,month,month name,year
Mississippi,789,0,4,82,83156,0,146,3169,2003/06,6,June,2003
Oklahoma,1056,42,4,19,145263,2608,173,894,2003/06,6,June,2003
Minnesota,3245,74,77,450,497828,7798,4968,43408,2003/06,6,June,2003
Illinois,4543,116,244,1673,736772,11112,20690,164494,2003/06,6,June,2003
Georgia,6529,42,98,840,769867,6117,2943,48246,2003/06,6,June,2003
Arkansas,888,22,27,133,122022,1227,1530,7201,2003/06,6,June,2003
New Mexico,1117,2,19,92,154961,112,826,3778,2003/06,6,June,2003
Indiana,3138,150,56,1148,472526,13498,4457,57347,2003/06,6,June,2003
Maryland,3239,6,15,288,427061,338,1043,17459,2003/06,6,June,2003
Texas,12235,276,352,3924,1577494,17304,23069,235035,2003/06,6,June,2003
Wyoming,181,4,3,5,28774,250,833,223,2003/06,6,June,2003
Tennessee,3075,50,15,307,374895,2361,695,21345,2003/06,6,June,2003
Iowa,1368,34,31,153,194479,2846,1505,10240,2003/06,6,June,2003
Wisconsin,2814,200,105,1075,432109,21972,7846,53296,2003/06,6,June,2003
Arizona,6077,48,85,1157,862408,3607,7117,81987,2003/06,6,June,2003
Louisiana,1547,254,193,279,179913,16533,9389,15198,2003/06,6,June,2003
Michigan,4539,62,44,543,645233,6159,3892,37186,2003/06,6,June,2003
Kansas,1087,58,3,0,153167,5234,298,0,2003/06,6,June,2003
Utah,1651,40,94,85,227446,4539,7843,6843,2003/06,6,June,2003
Virginia,4468,38,60,1565,604277,1862,4214,75144,2003/06,6,June,2003
Oregon,1682,62,74,286,304130,6146,5558,20858,2003/06,6,June,2003
Connecticut,823,14,4,296,160480,1326,290,14758,2003/06,6,June,2003
District of Columbia,10,0,0,259,1304,0,0,15841,2003/06,6,June,2003
New Hampshire,613,20,13,194,98945,2235,1467,14459,2003/06,6,June,2003
Massachusetts,1158,110,69,378,218307,10463,5943,24374,2003/06,6,June,2003
West Virginia,393,48,4,5,50235,3623,237,226,2003/06,6,June,2003
South Carolina,2877,58,41,332,381970,3443,2677,20167,2003/06,6,June,2003
Vermont,267,12,0,10,39504,1115,0,625,2003/06,6,June,2003
Delaware,535,0,0,5,59957,0,0,80,2003/06,6,June,2003
North Dakota,251,0,8,161,36344,0,787,10967,2003/06,6,June,2003
California,13038,206,322,2537,2473946,24538,32924,227210,2003/06,6,June,2003
Pennsylvania,3277,36,106,311,456293,2338,7077,27778,2003/06,6,June,2003
Florida,13526,268,490,3581,1971557,20012,59632,253804,2003/06,6,June,2003
Kentucky,1397,24,17,119,165455,1337,839,5346,2003/06,6,June,2003
Rhode Island,168,4,14,26,26270,238,556,423,2003/06,6,June,2003
Nebraska,832,4,0,60,112149,285,0,2756,2003/06,6,June,2003
Missouri,1933,136,112,531,261907,9423,7118,23938,2003/06,6,June,2003
Ohio,4000,96,92,957,653652,8963,7263,43863,2003/06,6,June,2003
Alabama,1864,16,15,398,235346,943,917,55141,2003/06,6,June,2003
South Dakota,386,4,4,36,34187,426,38,4616,2003/06,6,June,2003
Alaska,146,58,38,204,27410,7290,3117,25102,2003/06,6,June,2003
Colorado,3135,46,33,517,527161,11412,2742,37718,2003/06,6,June,2003
Idaho,1050,10,91,199,159587,798,5472,8036,2003/06,6,June,2003
New Jersey,1939,162,42,303,256790,14689,3517,16647,2003/06,6,June,2003
Washington,2955,100,112,821,466758,9862,9379,57993,2003/06,6,June,2003
North Carolina,6457,106,62,717,881154,6838,2608,45421,2003/06,6,June,2003
Maine,673,10,10,12,89697,572,989,743,2003/06,6,June,2003
New York,2564,558,363,1130,412296,53415,29458,74534,2003/06,6,June,2003
Montana,213,32,21,17,30393,2010,1598,962,2003/06,6,June,2003
Nevada,3346,6,161,528,425232,866,14775,27703,2003/06,6,June,2003
Hawaii,427,2,11,213,82618,198,928,18205,2003/06,6,June,2003
Mississippi,938,0,3,240,106281,0,181,15279,2003/07,7,July,2003
Oklahoma,1345,64,0,86,162658,5010,0,5492,2003/07,7,July,2003
Minnesota,3191,70,80,623,521454,8996,5839,50681,2003/07,7,July,2003
Illinois,4372,118,223,1005,733480,11265,26692,95382,2003/07,7,July,2003
Georgia,6975,62,57,1595,832898,7624,2329,92539,2003/07,7,July,2003
Arkansas,793,50,55,442,112371,2840,1321,15063,2003/07,7,July,2003
New Mexico,1048,0,11,100,136277,0,549,4140,2003/07,7,July,2003
Indiana,3230,168,49,264,490142,14051,3873,13634,2003/07,7,July,2003
Maryland,1954,4,4,218,259223,317,315,12184,2003/07,7,July,2003
Texas,12699,142,160,1503,1624607,8751,8019,76284,2003/07,7,July,2003
Wyoming,196,20,3,5,34481,1762,833,223,2003/07,7,July,2003
Tennessee,3001,36,13,236,370470,2830,741,13416,2003/07,7,July,2003
Iowa,1399,8,35,317,187046,1145,2544,24777,2003/07,7,July,2003
Wisconsin,2717,190,120,537,415103,18310,7973,32335,2003/07,7,July,2003
Arizona,5848,78,36,379,866271,4612,2013,23898,2003/07,7,July,2003
Louisiana,1435,10,0,421,177877,428,0,26301,2003/07,7,July,2003
Michigan,4531,40,60,379,657867,3533,4551,20827,2003/07,7,July,2003
Kansas,1064,84,83,5,153023,7201,5138,298,2003/07,7,July,2003
Utah,1557,36,69,172,220568,3581,5904,14104,2003/07,7,July,2003
Virginia,4196,50,13,337,568292,2750,1090,18338,2003/07,7,July,2003
Oregon,1745,62,92,275,311886,6356,7675,19045,2003/07,7,July,2003
Connecticut,832,18,15,80,161652,1373,901,3961,2003/07,7,July,2003
District of Columbia,9,0,0,69,1173,0,0,4220,2003/07,7,July,2003
New Hampshire,617,38,25,100,103044,3183,2251,6730,2003/07,7,July,2003
Massachusetts,1260,64,51,541,243323,5407,4582,39381,2003/07,7,July,2003
West Virginia,439,6,3,13,56993,219,200,693,2003/07,7,July,2003
South Carolina,2875,12,66,998,400062,811,4264,54189,2003/07,7,July,2003
Vermont,232,18,7,19,32560,1199,607,699,2003/07,7,July,2003
Delaware,621,0,0,47,72810,0,0,2322,2003/07,7,July,2003
North Dakota,259,2,4,131,34661,150,240,7569,2003/07,7,July,2003
California,12207,182,273,3405,2330421,19396,24194,279697,2003/07,7,July,2003
Pennsylvania,3609,58,134,334,511891,5318,11632,24025,2003/07,7,July,2003
Florida,13788,244,348,2826,1982962,21916,39303,256341,2003/07,7,July,2003
Kentucky,1586,36,40,183,203632,1629,1439,9965,2003/07,7,July,2003
Rhode Island,172,10,0,32,26191,588,0,432,2003/07,7,July,2003
Nebraska,933,14,0,85,118330,958,0,4063,2003/07,7,July,2003
Missouri,2193,110,124,507,303277,9015,6662,29005,2003/07,7,July,2003
Ohio,4148,132,148,726,663783,12371,12148,42238,2003/07,7,July,2003
Alabama,1943,6,0,173,240587,296,0,8543,2003/07,7,July,2003
South Dakota,454,2,15,179,51553,166,941,12644,2003/07,7,July,2003
Alaska,170,34,9,36,31054,5068,664,5480,2003/07,7,July,2003
Colorado,3276,66,53,404,570867,8216,4696,36962,2003/07,7,July,2003
Idaho,1286,30,59,22,195868,2719,3014,639,2003/07,7,July,2003
New Jersey,1833,204,76,454,252044,17881,9364,25749,2003/07,7,July,2003
Washington,3148,88,30,822,495144,8216,2698,61492,2003/07,7,July,2003
North Carolina,5824,92,60,790,823279,5885,3918,42878,2003/07,7,July,2003
Maine,688,14,22,17,85100,1034,1633,1153,2003/07,7,July,2003
New York,2401,564,312,1012,393911,54177,25631,66617,2003/07,7,July,2003
Montana,214,16,39,13,32566,1566,3033,802,2003/07,7,July,2003
Nevada,3210,0,40,1072,402371,0,2874,57581,2003/07,7,July,2003
Hawaii,477,2,12,10,97073,198,1728,973,2003/07,7,July,2003
Mississippi,948,0,75,276,118093,0,4139,12579,2003/08,8,August,2003
Oklahoma,1072,10,204,274,148021,603,12000,13367,2003/08,8,August,2003
Minnesota,2920,60,106,690,479277,7422,10505,68155,2003/08,8,August,2003
Illinois,4211,140,359,1226,703121,14086,35182,118439,2003/08,8,August,2003
Georgia,6874,36,89,1644,833492,5633,3111,86368,2003/08,8,August,2003
Arkansas,1096,114,7,137,150371,8729,360,6601,2003/08,8,August,2003
New Mexico,974,0,12,151,143769,0,549,5737,2003/08,8,August,2003
Indiana,3098,154,130,717,473184,14277,10561,80294,2003/08,8,August,2003
Maryland,1770,4,44,341,246398,317,1045,19389,2003/08,8,August,2003
Texas,12087,208,146,2436,1591027,12877,5245,138559,2003/08,8,August,2003
Wyoming,191,2,11,0,31791,130,1083,0,2003/08,8,August,2003
Tennessee,3074,28,15,380,405481,2751,1046,18725,2003/08,8,August,2003
