annual.combined.amusement and recreation,annual.combined.commercial,annual.combined.communication,annual.combined.conservation and development,annual.combined.educational,annual.combined.health care,annual.combined.highway and street,annual.combined.lodging,annual.combined.manufacturing,annual.combined.nonresidential,annual.combined.office,annual.combined.power,annual.combined.public safety,annual.combined.religious,annual.combined.residential,annual.combined.sewage and waste disposal,annual.combined.total construction,annual.combined.transportation,annual.combined.water supply,annual.private.amusement and recreation,annual.private.commercial,annual.private.communication,annual.private.conservation and development,annual.private.educational,annual.private.health care,annual.private.highway and street,annual.private.lodging,annual.private.manufacturing,annual.private.nonresidential,annual.private.office,annual.private.power,annual.private.public safety,annual.private.religious,annual.private.residential,annual.private.sewage and waste disposal,annual.private.total construction,annual.private.transportation,annual.private.water supply,annual.public.amusement and recreation,annual.public.commercial,annual.public.communication,annual.public.conservation and development,annual.public.educational,annual.public.health care,annual.public.highway and street,annual.public.lodging,annual.public.manufacturing,annual.public.nonresidential,annual.public.office,annual.public.power,annual.public.public safety,annual.public.religious,annual.public.residential,annual.public.sewage and waste disposal,annual.public.total construction,annual.public.transportation,annual.public.water supply,current.combined.amusement and recreation,current.combined.commercial,current.combined.communication,current.combined.conservation and development,current.combined.educational,current.combined.health care,current.combined.highway and street,current.combined.lodging,current.combined.manufacturing,current.combined.nonresidential,current.combined.office,current.combined.power,current.combined.public safety,current.combined.religious,current.combined.residential,current.combined.sewage and waste disposal,current.combined.total construction,current.combined.transportation,current.combined.water supply,current.private.amusement and recreation,current.private.commercial,current.private.communication,current.private.conservation and development,current.private.educational,current.private.health care,current.private.highway and street,current.private.lodging,current.private.manufacturing,current.private.nonresidential,current.private.office,current.private.power,current.private.public safety,current.private.religious,current.private.residential,current.private.sewage and waste disposal,current.private.total construction,current.private.transportation,current.private.water supply,current.public.amusement and recreation,current.public.commercial,current.public.communication,current.public.conservation and development,current.public.educational,current.public.health care,current.public.highway and street,current.public.lodging,current.public.manufacturing,current.public.nonresidential,current.public.office,current.public.power,current.public.public safety,current.public.religious,current.public.residential,current.public.sewage and waste disposal,current.public.total construction,current.public.transportation,current.public.water supply,index,month,month name,period,year
17866,68254,18873,3603,72357,25746,62723,11862,28318,475704,49140,46050,8468,8745,382979,16392,858654,25547,11760,7822,63972,18843,0,13616,20888,0,11669,28116,263731,40176,42407,0,8742,377631,0,641333,6512,0,10044,4282,0,3578,58742,4859,62553,0,0,211973,8964,3643,8356,0,5348,16077,217321,19035,11412,1328,4887,1416,271,5125,2013,3180,989,2134,33545,3763,3402,647,667,25972,1150,59516,1729,846,609,4588,1414,0,1000,1629,0,972,2117,19701,3066,3129,0,667,25572,0,45273,444,0,719,299,0,268,4126,384,3168,0,0,13844,697,273,637,0,400,1127,14243,1285,826,1,1,Jan,Jan2002,2002
18317,65840,19943,3712,74336,25438,61801,11058,25977,470946,47728,44674,8818,8520,391434,17059,862338,25662,12063,7925,62196,19831,0,13588,20859,0,10861,25816,256668,38891,40693,0,8517,385745,0,642371,6437,0,10392,3644,0,3704,60748,4579,61664,0,0,214277,8837,3981,8667,0,5689,16645,219966,19226,11717,1386,4825,1430,278,5134,1983,2979,922,1972,32868,3595,3324,652,637,25721,1149,58588,1729,873,631,4557,1421,0,977,1629,0,905,1959,19177,2934,3040,0,637,25298,0,44475,412,0,755,268,0,277,4157,353,2969,0,0,13691,661,284,640,0,423,1119,14113,1318,851,2,2,Feb,Feb2002,2002
17988,66722,19092,3332,72247,25639,53009,11036,24998,453504,46215,41738,8035,8472,390942,16286,844551,26742,11954,7472,63256,19053,0,13724,20986,0,10810,24835,252252,37058,38707,0,8469,385406,0,637762,6907,0,10516,3467,0,3328,58523,4652,52889,0,0,201253,9158,3031,7933,0,5536,15960,206789,19835,11530,1430,5102,1437,257,5256,2087,2966,920,1994,33956,3730,3433,634,656,29826,1208,63782,1950,897,614,4854,1434,0,1051,1716,0,901,1981,19989,3002,3211,0,656,29407,0,49396,497,0,816,248,0,257,4205,371,2959,0,0,13967,728,222,626,0,420,1182,14386,1452,865,3,3,Mar,Mar2002,2002
17264,64879,19150,3076,74553,26117,53053,12104,24482,453776,46709,41380,8025,8795,404255,16366,858240,25609,12213,7636,61548,18895,0,13922,21570,0,11833,24301,250341,37198,36754,0,8793,398990,0,649539,6893,0,9628,3331,0,3066,60631,4547,52965,0,0,203435,9511,4626,7846,0,5266,16035,208700,18717,11823,1478,5267,1589,245,5838,2211,3772,1009,1971,36496,3930,3479,652,710,33008,1296,69504,2049,999,654,4976,1568,0,1141,1825,0,986,1956,20705,3132,3110,0,710,32578,0,53283,570,0,824,291,0,244,4697,387,3766,0,0,15791,798,369,638,0,430,1272,16221,1479,967,4,4,Apr,Apr2002,2002
16988,62741,18735,3199,75577,26459,56278,11838,23862,451789,45636,37871,8023,8510,399164,16237,850935,26452,13384,7551,59318,18544,0,13663,22054,0,11581,23650,241636,35652,33307,0,8506,394223,0,635840,6900,0,9437,3423,0,3199,61914,4406,56191,0,0,210154,9984,4565,7816,0,4941,15979,215094,19551,13026,1490,5220,1574,256,6288,2258,4991,987,1976,38325,3954,3141,672,697,35059,1436,73384,2278,1109,658,4931,1558,0,1194,1889,0,965,1958,20388,3090,2753,0,697,34621,0,55009,626,0,832,289,0,256,5095,370,4985,0,0,17937,864,388,654,0,438,1417,18375,1652,1082,5,5,May,May2002,2002
17199,60982,19256,3340,71907,27686,55427,10991,23200,439777,44076,33839,8509,8025,407305,16058,846777,26725,12556,7734,57773,19234,0,12772,23092,0,10633,22981,235344,35208,29911,0,8021,401920,0,636959,7000,0,9465,3209,0,3314,59135,4594,55273,0,0,204433,8869,3929,8283,0,5385,15838,209818,19726,12197,1488,5361,1587,263,6686,2387,5597,916,2027,39273,3711,2946,704,688,37908,1443,77182,2376,1094,662,5087,1585,0,1164,1997,0,886,2008,20361,2940,2623,0,687,37440,0,57801,637,0,826,274,0,260,5522,391,5582,0,0,18913,772,323,685,0,468,1425,19381,1740,1063,6,6,Jun,Jun2002,2002
16824,58971,18730,3604,72832,27602,58337,10496,22090,437034,43832,33928,7551,8085,410171,16322,847129,25854,11976,7456,55599,18707,0,12540,22832,0,10135,21868,229426,34703,29958,0,8081,404632,0,633982,6653,0,9367,3372,0,3582,60292,4770,58189,0,0,207608,9129,3971,7332,0,5539,16138,213148,19201,11655,1431,5261,1657,308,7168,2299,6180,875,1906,39983,3756,3010,627,698,38880,1455,78863,2322,1031,626,4975,1655,0,1164,1899,0,845,1888,20082,2995,2651,0,698,38412,0,58494,609,0,805,287,0,306,6003,401,6166,0,0,19901,761,360,608,0,468,1438,20369,1714,1003,7,7,Jul,Jul2002,2002
17078,61223,17956,3689,73643,27763,57418,10112,20837,434698,43168,31051,7577,8267,404055,16278,839008,26450,12189,7508,57623,17931,0,12425,23096,0,9613,20733,227442,34243,27585,0,8263,398875,0,626571,7154,0,9570,3600,0,3466,61219,4667,57267,0,0,207256,8925,3466,7356,0,5181,16052,212437,19296,11741,1492,5605,1541,335,7551,2301,6621,843,1780,41101,3703,2781,661,754,38359,1545,79460,2477,1113,636,5272,1539,0,1190,1919,0,801,1772,20047,2924,2448,0,754,37906,0,57953,668,0,856,333,0,316,6361,382,6607,0,0,21055,779,333,643,0,453,1522,21507,1809,1063,8,8,Aug,Aug2002,2002
17854,61997,16992,3749,74364,27951,56791,10398,20168,432040,42076,29553,7469,8022,400059,16121,832134,25818,12718,7205,58489,16938,0,12557,22955,0,9865,20028,224568,33767,26442,0,8016,394820,0,619424,6936,0,10649,3508,0,3504,61808,4996,56598,0,0,207471,8309,3111,7119,0,5240,15926,212711,18882,12329,1580,5711,1383,423,6914,2405,6549,867,1747,40460,3713,2630,702,708,36082,1509,76542,2441,1180,611,5344,1378,0,1066,1931,0,822,1735,19594,2924,2329,0,708,35563,0,55157,620,0,969,368,0,402,5848,474,6528,0,0,20866,789,301,673,0,519,1492,21385,1821,1140,9,9,Sep,Sep2002,2002
17340,61772,17830,4041,75457,28392,57693,10624,20908,437702,41621,33202,7146,8030,402091,15734,839690,24911,12999,7580,58129,17784,0,13036,23659,0,10008,20691,228572,32887,28820,0,8026,397077,0,625547,6721,0,9760,3644,0,3800,62421,4733,57615,0,0,209130,8734,4382,6812,0,5014,15522,214144,18190,12634,1520,5597,1678,310,6524,2452,5917,885,1837,39484,3636,2815,632,727,36226,1473,75710,2283,1200,659,5288,1674,0,1116,2067,0,834,1819,20214,2911,2409,0,726,35809,0,56023,602,0,861,309,0,290,5407,385,5910,0,0,19270,725,406,605,0,417,1453,19687,1680,1165,10,10,Oct,Oct2002,2002
