Department,Population,Rates.Property.All,Rates.Property.Burglary,Rates.Property.Larceny,Rates.Property.Motor,Rates.Violent.All,Rates.Violent.Assault,Rates.Violent.Murder,Rates.Violent.Rape,Rates.Violent.Robbery,State,Totals.Property.All,Totals.Property.Burglary,Totals.Property.Larceny,Totals.Property.Motor,Totals.Violent.All,Totals.Violent.Assault,Totals.Violent.Murder,Totals.Violent.Rape,Totals.Violent.Robbery,Year
Alabaster Police Dept,7690,897.3,234.1,572.2,91.0,234.1,182.1,13.0,13.0,26.0,Alabama,69,18,44,7.0,18,14,1,1,2,1984
Alabaster Police Dept,7749,980.8,154.9,606.5,219.4,322.6,309.7,0.0,0.0,12.9,Alabama,76,12,47,17.0,25,24,0,0,1,1985
Alabaster Police Dept,11379,1010.6,298.8,659.1,52.7,413.0,404.3,0.0,0.0,8.8,Alabama,115,34,75,6.0,47,46,0,0,1,1986
Alabaster Police Dept,12988,1178.0,184.8,916.2,77.0,377.3,346.5,7.7,0.0,23.1,Alabama,153,24,119,10.0,49,45,1,0,3,1987
Alabaster Police Dept,13371,1174.2,261.8,852.6,59.8,261.8,209.4,7.5,7.5,37.4,Alabama,157,35,114,8.0,35,28,1,1,5,1988
Alabaster Police Dept,13203,1189.1,340.8,795.3,53.0,272.7,227.2,0.0,7.6,37.9,Alabama,157,45,105,7.0,36,30,0,1,5,1989
Alabaster Police Dept,14732,841.7,237.6,543.0,61.1,210.4,142.5,13.6,6.8,47.5,Alabama,124,35,80,9.0,31,21,2,1,7,1990
Alabaster Police Dept,14908,804.9,234.8,496.4,73.8,221.4,187.8,13.4,0.0,20.1,Alabama,120,35,74,11.0,33,28,2,0,3,1991
Alabaster Police Dept,15079,0,0,0,0,0,0,0,0,0,Alabama,0,0,0,0.0,0,0,0,0,0,1992
Alabaster Police Dept,16256,522.9,135.3,344.5,43.1,147.6,110.7,6.2,18.5,12.3,Alabama,85,22,56,7.0,24,18,1,3,2,1993
Alabaster Police Dept,16380,592.2,109.9,439.6,42.7,140.4,91.6,0.0,6.1,42.7,Alabama,97,18,72,7.0,23,15,0,1,7,1994
Alabaster Police Dept,17399,626.5,69.0,505.8,51.7,172.4,114.9,5.7,11.5,40.2,Alabama,109,12,88,9.0,30,20,1,2,7,1995
Alabaster Police Dept,17480,228.8,22.9,188.8,17.2,22.9,17.2,0.0,0.0,5.7,Alabama,40,4,33,3.0,4,3,0,0,1,1996
Alabaster Police Dept,17668,158.5,34.0,96.2,28.3,62.3,56.6,0.0,0.0,5.7,Alabama,28,6,17,5.0,11,10,0,0,1,1997
Alabaster Police Dept,21223,372.2,108.4,221.5,42.4,80.1,70.7,0.0,0.0,9.4,Alabama,79,23,47,9.0,17,15,0,0,2,1998
Alabaster Police Dept,23858,251.5,37.7,180.2,33.5,104.8,96.4,4.2,4.2,0.0,Alabama,60,9,43,8.0,25,23,1,1,0,1999
