2010 Population,2014 Population,Accommodation and Food Services Sales,American Indian and Alaska Native Alone,American Indian-Owned,Asian Alone,Asian-Owned,Bachelor's Degree or Higher,Black Alone,Black-Owned,Building Permits,County,Foreign Born,High School or Higher,Hispanic or Latino,Hispanic-Owned,Homeownership Rate,Households,Housing Units,Land Area,Language Other than English at Home,Living in Same House +1 Years,Manufacturers Shipments,Mean Travel Time to Work,Median Houseold Income,Median Value of Owner-Occupied Units,Merchant Wholesaler Sales,Native Hawaiian and Other Pacific Islander Alone,Native Hawaiian and Other Pacific Islander-Owned,Nonemployer Establishments,Per Capita Income,Percent 65 and Older,Percent Female,Percent Under 18 Years,Percent Under 5 Years,Persons Below Poverty Level,Persons per Household,Population Percent Change,Population per Square Mile,Private Non-farm Employment,Private Non-farm Employment Percent Change,Private Non-farm Establishments,Retail Sales,Retail Sales per Capita,State,Total,Two or More Races,Units in Multi-Unit Structures,Veterans,White Alone,"White Alone, not Hispanic or Latino",Women-Owned
54571,55395,881,0.5,0.0,1.1,1.3,20.9,18.7,15.2,131,Autauga County,1.6,85.6,2.7,0.7,76.8,20071,22751,594.44,3.5,85.0,0,26.2,53682,136200,0,0.1,0.0,2947,24571,13.8,51.4,25.2,6.0,12.1,2.71,1.5,91.8,10120,2.1,817,5981,12003,AL,4067,1.8,8.3,5922,77.9,75.6,31.7
182265,200111,4369,0.7,0.4,0.9,1.0,27.7,9.6,2.7,1384,Baldwin County,3.6,89.1,4.6,1.3,72.6,73283,107374,1589.78,5.5,82.1,14102,25.9,50221,168600,0,0.1,0.0,16508,26766,18.7,51.2,22.2,5.6,13.9,2.52,9.8,114.6,54988,3.7,4871,29664,17166,AL,19035,1.6,24.4,19346,87.1,83.0,27.3
27457,26887,0,0.6,0.0,0.5,0.0,13.4,47.6,0.0,8,Barbour County,2.9,73.7,4.5,0.0,67.7,9200,11799,884.88,5.0,84.8,0,24.6,32911,89200,0,0.2,0.0,1546,16829,16.5,46.6,21.2,5.7,26.7,2.66,-2.1,31.0,6611,-5.6,464,1883,6334,AL,1667,0.9,10.6,2120,50.2,46.6,27.0
22915,22506,107,0.4,0.0,0.2,0.0,12.1,22.1,14.9,19,Bibb County,1.2,77.5,2.1,0.0,79.0,7091,8978,622.58,2.1,86.6,0,27.6,36447,90500,0,0.1,0.0,1126,17427,14.8,45.9,21.0,5.3,18.1,3.03,-1.8,36.8,3145,7.5,275,1247,5804,AL,1385,0.9,7.3,1327,76.3,74.5,0.0
57322,57719,209,0.6,0.0,0.3,0.0,12.1,1.8,0.0,3,Blount County,4.3,77.0,8.7,0.0,81.0,21108,23826,644.78,7.3,88.7,3415,33.9,44145,117100,0,0.1,0.0,3563,20730,17.0,50.5,23.6,6.1,15.8,2.7,0.7,88.9,6798,3.4,660,3197,5622,AL,4458,1.2,4.5,4540,96.0,87.8,23.2
10914,10764,36,0.8,0.0,0.3,0.0,12.5,70.1,0.0,1,Bullock County,5.4,67.8,7.5,0.0,74.3,3741,4461,622.81,5.2,84.7,0,26.9,32033,70600,0,0.7,0.0,470,18628,14.9,45.3,21.4,6.3,21.6,2.73,-1.4,17.5,0,0.0,112,438,3995,AL,417,1.1,8.7,636,26.9,22.1,38.8
20947,20296,284,0.4,0.0,0.9,3.3,14.0,44.0,0.0,2,Butler County,0.8,76.3,1.2,0.0,70.3,8235,9916,776.83,1.7,94.6,3991,24.0,29918,74700,567,0.0,0.0,1095,17403,18.0,53.6,23.6,6.1,28.4,2.47,-3.1,27.0,5711,2.7,393,2292,11326,AL,1769,0.8,13.3,1497,53.9,53.1,0.0
118572,115916,1865,0.5,0.0,0.9,1.6,16.1,21.1,7.2,114,Calhoun County,2.4,78.6,3.5,0.5,68.7,45196,53289,605.87,4.5,83.6,26799,22.5,39962,100600,0,0.1,0.0,6352,20828,16.0,51.8,22.2,5.7,21.9,2.54,-2.3,195.7,34871,0.6,2311,15429,13678,AL,8713,1.7,13.8,11385,75.8,72.9,24.7
34215,34076,232,0.3,0.0,0.8,0.0,11.8,39.5,0.0,8,Chambers County,1.1,75.1,2.0,0.0,67.9,13722,16894,596.53,1.3,85.8,6672,24.6,32402,81200,0,0.1,0.0,2354,19291,18.3,52.3,21.4,5.9,24.1,2.46,-0.3,57.4,6431,-0.2,515,2646,7620,AL,1981,1.1,11.1,2691,58.3,56.8,29.3
25989,26037,139,0.5,0.0,0.3,0.0,12.8,4.6,0.0,2,Cherokee County,0.7,78.3,1.5,0.0,76.1,11656,16241,553.7,1.1,90.6,3074,26.9,34907,99400,622,0.0,0.0,1560,22030,20.9,50.2,20.4,4.8,21.2,2.2,0.2,46.9,3864,5.5,379,1863,7613,AL,2180,1.6,4.6,2174,93.0,91.6,14.5
43643,43931,340,0.5,0.0,0.4,0.0,12.9,10.6,0.0,78,Chilton County,5.2,76.0,7.7,0.0,74.5,16232,19221,692.85,7.4,88.8,0,31.8,41250,102600,1551,0.2,0.0,2719,20701,15.2,50.8,24.2,6.4,19.5,2.67,0.7,63.0,7396,8.8,703,3599,8496,AL,0,1.2,4.1,3308,87.1,80.3,0.0
13859,13323,113,0.2,0.0,0.3,0.0,11.8,42.4,26.2,0,Choctaw County,0.3,75.2,0.8,0.0,83.7,5518,7231,913.5,1.3,91.4,0,33.4,33941,58200,529,0.0,0.0,809,20323,20.8,52.5,20.6,4.9,21.5,2.45,-3.9,15.2,2900,1.4,255,846,5969,AL,1102,0.5,4.0,938,56.6,56.1,44.1
25833,24945,235,0.4,0.0,0.5,0.0,11.2,44.2,0.0,11,Clarke County,0.3,78.3,1.3,0.0,72.9,9631,12583,1238.47,1.3,92.5,5714,25.5,29357,85600,858,0.0,0.0,1640,18979,18.0,52.8,22.6,5.6,29.3,2.63,-3.5,20.9,6648,3.7,586,3443,13034,AL,2374,0.8,6.8,1583,54.0,53.1,28.6
13932,13552,43,0.6,0.0,0.3,0.0,9.2,14.5,0.0,0,Clay County,2.2,76.5,3.4,0.0,75.0,5649,6736,603.96,3.3,88.3,3308,30.7,34002,79900,0,0.0,0.0,792,18694,19.4,50.6,21.6,5.3,19.0,2.38,-2.7,23.1,2993,4.6,190,705,5123,AL,1005,1.8,10.0,1076,82.8,79.7,0.0
14972,15080,41,0.4,0.0,0.2,0.0,9.0,3.6,0.0,1,Cleburne County,1.5,76.0,2.5,0.0,77.6,5601,6690,560.1,2.3,89.1,0,31.4,38019,100800,58,0.1,0.0,930,19108,18.4,50.4,23.3,5.7,18.4,2.64,0.7,26.7,1548,-4.8,152,1334,9080,AL,1280,1.2,6.3,989,94.5,92.3,17.7
49948,50909,500,1.4,0.0,1.6,1.3,22.5,17.7,6.0,58,Coffee County,5.1,82.4,6.4,0.7,69.9,18820,22852,678.97,7.5,83.3,6137,21.3,43768,131000,1315,0.4,0.0,2602,23380,15.9,50.5,23.7,6.1,18.6,2.65,1.9,73.6,12762,0.3,954,6396,13665,AL,4032,2.5,13.5,6066,76.4,71.3,29.3
54428,54543,619,0.6,0.0,0.5,0.0,17.7,16.3,0.0,143,Colbert County,2.0,83.5,2.6,0.0,72.1,22260,26192,592.62,2.6,87.2,20831,22.7,39077,99300,3513,0.1,0.0,3630,21572,18.5,51.8,21.7,5.7,17.9,2.42,0.2,91.8,19820,6.2,1226,8212,15040,AL,4757,1.7,12.3,4376,80.8,78.8,22.8
13228,12670,86,0.4,0.0,0.1,0.0,8.8,46.2,0.0,3,Conecuh County,0.6,77.3,1.8,0.0,79.1,4994,7055,850.16,2.2,96.9,1835,27.2,24658,69600,767,0.0,0.0,756,15605,20.4,51.9,21.4,5.5,32.7,2.61,-4.2,15.6,2197,-1.5,194,712,5430,AL,980,1.2,7.2,1101,52.1,51.1,23.0
11539,10886,5,0.6,0.0,0.2,0.0,9.8,31.8,0.0,0,Coosa County,1.8,75.0,2.3,0.0,83.0,4506,6458,650.93,3.3,87.2,895,30.2,37277,75100,316,0.2,0.0,367,18493,18.5,49.5,18.3,4.8,20.9,2.42,-7.4,17.7,992,3.9,93,205,1904,AL,545,1.2,3.0,934,66.1,64.8,0.0
37765,37914,302,0.6,0.0,0.5,0.0,14.2,13.0,0.0,8,Covington County,1.4,78.4,1.6,0.0,75.1,15041,18778,1030.46,2.1,86.7,5611,23.3,35869,88800,3386,0.0,0.0,2201,20391,19.8,51.6,22.1,5.9,20.0,2.48,0.4,36.6,10824,0.7,834,4248,11544,AL,2957,1.6,6.0,3433,84.3,83.1,0.0
13906,13977,56,0.5,0.0,1.8,0.0,12.7,24.0,25.8,2,Crenshaw County,2.3,76.7,1.7,0.0,69.9,5601,6708,608.84,3.2,86.3,2708,30.3,36275,70800,1318,0.1,0.0,811,21343,18.0,51.1,22.7,6.1,19.1,2.46,0.5,22.8,3139,1.0,211,754,5491,AL,1027,1.6,8.0,1098,72.0,70.6,30.2
80406,81289,1022,0.6,0.0,0.5,1.1,14.8,1.4,1.1,77,Cullman County,3.0,79.8,4.4,0.0,75.0,31342,37131,734.84,4.6,87.0,13934,26.4,38847,106100,0,0.0,0.0,5549,20760,17.6,50.5,22.5,5.9,18.8,2.53,1.1,109.4,22185,3.6,1714,8670,10757,AL,7873,1.2,8.2,6167,96.2,92.1,23.9
50251,49484,372,0.8,0.0,1.3,0.0,17.0,19.7,0.0,17,Dale County,3.7,84.1,6.1,0.0,61.1,19345,22832,561.15,6.3,78.4,1149,20.9,44889,99400,693,0.1,0.0,2444,22685,15.4,50.5,23.6,6.3,17.4,2.52,-1.5,89.6,11924,-1.6,766,3325,6889,AL,2951,2.8,13.6,6730,75.2,70.2,0.0
43820,41711,337,0.2,0.0,0.5,4.4,14.2,69.5,49.1,17,Dallas County,0.8,77.5,1.0,0.0,60.9,16173,20240,978.7,1.3,86.7,11747,22.0,26519,75700,0,0.0,0.0,2179,17245,15.6,53.7,25.2,6.7,35.5,2.63,-4.8,44.8,10420,-1.0,757,4373,10223,AL,3148,0.7,19.3,2897,29.0,28.5,28.8
71109,71065,679,2.1,0.8,0.4,0.6,10.7,2.1,0.0,31,DeKalb County,7.5,70.6,14.2,0.0,76.3,24923,31035,777.09,11.2,90.9,18316,23.3,37851,93400,0,0.7,0.0,4679,18149,15.7,50.7,24.7,6.2,19.9,2.82,-0.1,91.5,16841,3.9,1082,6351,9303,AL,5908,2.2,6.7,4371,92.4,80.6,25.8
79303,80977,478,0.4,0.0,0.7,0.0,21.0,21.2,9.1,259,Elmore County,2.1,86.6,2.7,0.0,75.5,28324,33326,618.49,3.6,85.4,7663,28.2,54766,144600,1048,0.1,0.0,4850,23856,14.0,51.5,23.0,5.9,13.4,2.62,2.1,128.2,14056,-2.3,1135,6183,7982,AL,6513,1.6,8.1,8364,76.0,73.7,28.3
38319,37733,319,3.4,3.2,0.3,0.0,11.7,32.4,9.0,26,Escambia County,0.6,76.2,2.1,0.0,72.5,13681,16402,945.08,1.4,93.4,6653,23.5,30687,84100,931,0.1,0.0,2111,16540,16.7,48.8,22.0,6.1,25.4,2.59,-1.5,40.5,9977,1.0,723,3795,10089,AL,2765,1.7,9.0,2995,62.2,60.6,21.3
104430,103531,1379,0.5,0.0,0.8,0.0,14.8,15.5,6.1,79,Etowah County,2.2,81.8,3.7,0.6,72.4,40217,47505,534.99,3.1,85.0,12529,23.9,38013,100000,5184,0.3,0.0,6988,20204,17.3,51.6,22.1,5.7,19.0,2.55,-0.9,195.2,29796,-0.5,2008,11148,10801,AL,9147,1.6,12.1,8638,81.2,78.4,25.7
17241,16874,108,0.4,0.0,0.3,0.0,13.2,11.9,5.1,0,Fayette County,0.6,74.9,1.4,0.0,74.9,6956,8404,627.66,0.8,87.8,1862,27.5,33838,71400,224,0.0,0.0,1073,18494,19.6,50.5,21.7,5.4,19.9,2.41,-2.1,27.5,3323,-3.8,306,1303,7433,AL,1378,1.1,8.7,1221,86.2,85.0,24.3
31704,31601,253,1.5,0.0,0.4,0.0,11.0,4.6,0.0,13,Franklin County,8.4,72.5,16.1,0.0,69.5,12437,14048,633.82,13.2,86.4,6719,26.2,36415,82300,673,0.2,0.0,1863,18888,15.9,50.3,24.3,6.6,21.9,2.52,-0.3,50.0,9369,-8.0,510,2690,8786,AL,2357,1.5,12.0,1860,91.9,78.0,23.2
26790,26712,104,1.0,0.0,0.4,0.0,10.4,9.7,0.0,8,Geneva County,1.8,77.2,3.6,0.0,72.1,10945,12646,574.41,3.0,82.7,1533,25.6,35625,78100,2316,0.1,0.0,1584,20199,19.2,50.8,22.2,5.8,21.2,2.43,-0.3,46.6,3791,2.8,400,1700,6612,AL,1736,1.7,5.6,2336,87.1,84.1,0.0
