day,depth,distance,gap,hour,id,latitude,location.full,longitude,magnitude,minute,month,name,second,significance,time.full,year
27,15.12,0.1034,122.0,0,nc72666881,37.6723333,"13km E of Livermore, California",-121.619,1.43,19,7,California,43,31,2016-07-27 00:19:43,2016
27,97.07,1.439,30.0,0,us20006i0y,21.5146,"58km WNW of Pakokku, Burma",94.5721,4.9,20,7,Burma,28,371,2016-07-27 00:20:28,2016
27,4.39,0.02743,249.0,0,nc72666891,37.5765,"12km SE of Mammoth Lakes, California",-118.8591667,0.06,31,7,California,37,0,2016-07-27 00:31:37,2016
27,1.09,0.02699,122.0,0,nc72666896,37.5958333,"6km SSW of Mammoth Lakes, California",-118.9948333,0.4,35,7,California,44,2,2016-07-27 00:35:44,2016
27,7.6,0.063,113.61,0,nn00553447,39.3775,"16km SSE of Mogul, Nevada",-119.845,0.3,41,7,Nevada,59,1,2016-07-27 00:41:59,2016
27,1.3,0.04491576,50.399995968,0,ak13805337,61.2963,"91km N of Redoubt Volcano, Alaska",-152.46,1.8,52,7,Alaska,52,50,2016-07-27 00:52:52,2016
27,2.452,0.0266,93.0,0,hv61354276,19.4235,"27km E of Honaunau-Napoopoo, Hawaii",-155.6098333,1.0,53,7,Hawaii,35,15,2016-07-27 00:53:35,2016
27,0.1,0.04581408,86.399993088,0,ak13805339,61.3019,"92km NW of Nikiski, Alaska",-152.4507,2.0,58,7,Alaska,45,62,2016-07-27 00:58:45,2016
27,0.18,0.1688,149.0,1,ci37640584,35.503,"12km SE of Bodfish, CA",-118.4058333,1.2,3,7,California,0,22,2016-07-27 01:03:00,2016
27,12.91,0.106,87.0,1,nc72666901,37.673,"13km E of Livermore, California",-121.6133333,1.67,4,7,California,32,43,2016-07-27 01:04:32,2016
27,13.85,0.04401,75.0,1,ci37640592,33.5888333,"14km WNW of Anza, CA",-116.8165,0.48,9,7,California,51,4,2016-07-27 01:09:51,2016
27,11.2,0.181,117.62,1,nn00553416,38.2638,"30km SSW of Hawthorne, Nevada",-118.7351,0.9,13,7,Nevada,31,12,2016-07-27 01:13:31,2016
27,4.3,0.0986,190.0,1,nc71104689,36.6811667,"14km S of Ridgemark, California",-121.3368333,0.51,17,7,California,18,4,2016-07-27 01:17:18,2016
27,2.77,0.05199,315.0,1,nc71104624,37.0286667,"27km NE of Hollister, California",-121.19,0.53,17,7,California,29,4,2016-07-27 01:17:29,2016
27,6.15,0.02632,120.0,1,uu60156827,44.7263333,"11km NW of West Yellowstone, Montana",-111.2098333,0.14,20,7,Montana,26,0,2016-07-27 01:20:26,2016
27,19.0,0.11678099,154.8,1,pr16209000,18.072,"2km WSW of Sabana Grande, Puerto Rico",-66.9848,1.6,31,7,Puerto Rico,14,39,2016-07-27 01:31:14,2016
27,13.4,0.3494446,255.599979552,1,ak13805345,51.3716,"66km SSE of Little Sitkin Island, Alaska",178.7402,2.1,40,7,Alaska,42,68,2016-07-27 01:40:42,2016
27,1.5,0.08636,92.0,1,ci37640600,36.0758333,"24km E of Coso Junction, CA",-117.6788333,0.73,42,7,California,44,8,2016-07-27 01:42:44,2016
27,1.8,0.0528,163.0,1,nc71104629,37.0263333,"26km NE of Hollister, California",-121.1936667,0.22,44,7,California,49,1,2016-07-27 01:44:49,2016
27,1.41,0.006449,64.0,1,nc72666906,38.7763333,"2km E of The Geysers, California",-122.7245,1.22,45,7,California,59,23,2016-07-27 01:45:59,2016
27,2.41,0.005954,54.0,1,nc72666911,38.8415,"9km WNW of Cobb, California",-122.8288333,0.55,48,7,California,58,5,2016-07-27 01:48:58,2016
27,1.49,0.005541,48.0,1,hv61354336,19.4074993,"5km WSW of Volcano, Hawaii",-155.2843323,1.47,49,7,Hawaii,34,33,2016-07-27 01:49:34,2016
27,15.4,0.2299687,53.99999568,1,ak13805346,62.5408,"27km NNE of Talkeetna, Alaska",-149.8593,1.2,50,7,Alaska,32,22,2016-07-27 01:50:32,2016
27,2.04,0.138,98.0,1,ci37640608,33.7878333,"17km NE of Coachella, CA",-116.037,0.81,58,7,California,26,10,2016-07-27 01:58:26,2016
27,70.5,0.5713285,107.99999136,2,ak13831347,59.1835,"78km SW of Homer, Alaska",-152.5865,1.6,15,7,Alaska,8,39,2016-07-27 02:15:08,2016
27,3.18,0.04043,64.0,2,ci37640616,35.9231667,"20km E of Little Lake, CA",-117.6898333,0.75,20,7,California,53,9,2016-07-27 02:20:53,2016
27,2.05,0.01002,55.0,2,nc72666931,38.8348333,"7km WNW of Cobb, California",-122.8023333,1.4,22,7,California,7,30,2016-07-27 02:22:07,2016
27,9.7,0.3593261,79.199993664001,2,ak13805347,64.7377,"40km SW of Manley Hot Springs, Alaska",-151.2365,0.8,26,7,Alaska,9,10,2016-07-27 02:26:09,2016
27,2.7,0.04073,56.0,2,ci37640624,35.978,"7km NE of Little Lake, CA",-117.8535,1.13,38,7,California,29,20,2016-07-27 02:38:29,2016
27,4.91,0.0235,78.0,2,nc72666946,37.6363333,"2km ESE of Mammoth Lakes, California",-118.9426667,0.47,42,7,California,50,3,2016-07-27 02:42:50,2016
27,98.84,1.358,45.0,2,us20006i18,-24.286,"155km SSE of San Pedro de Atacama, Chile",-67.8647,5.6,43,7,Chile,45,482,2016-07-27 02:43:45,2016
27,163.0,0.36561432,172.8,3,pr16209001,18.6138,"4km W of Salvaleon de Higuey, Dominican Republic",-68.7526,3.6,0,7,Dominican Republic,19,199,2016-07-27 03:00:19,2016
27,3.93,0.04043,126.0,3,ci37640640,35.9758333,"6km NE of Little Lake, CA",-117.8596667,0.28,2,7,California,18,1,2016-07-27 03:02:18,2016
27,20.2,0.2461384,79.199993664001,3,ak13831349,61.1163,"47km W of Valdez, Alaska",-147.2352,1.2,6,7,Alaska,12,22,2016-07-27 03:06:12,2016
27,11.6,0.367411,28.799997696,3,ak13805706,63.0332,"104km NW of Talkeetna, Alaska",-151.4388,2.3,9,7,Alaska,58,81,2016-07-27 03:09:58,2016
27,0.6,0.662,173.77,3,nn00553420,36.49,"33km SSE of Bunkerville, Nevada",-113.9923,1.1,18,7,Nevada,51,19,2016-07-27 03:18:51,2016
