data_attendance_average minutes,data_attendance_average student rate,data_attendance_average teacher rate,data_enrollment_schools,data_enrollment_staff,data_enrollment_student teacher ratio,data_enrollment_students_all,data_enrollment_students_gender_female,data_enrollment_students_gender_male,data_enrollment_students_other_free lunch eligible,data_enrollment_students_other_individualized education program,data_enrollment_students_other_lep/ell students,data_enrollment_students_other_reduced-price lunch eligible,data_enrollment_students_other_ungraded students,data_enrollment_students_race_asian,data_enrollment_students_race_biracial,data_enrollment_students_race_black,data_enrollment_students_race_hispanic,data_enrollment_students_race_native american,data_enrollment_students_race_white,data_enrollment_students_year_eighth,data_enrollment_students_year_eleventh,data_enrollment_students_year_fifth,data_enrollment_students_year_first,data_enrollment_students_year_fourteenth,data_enrollment_students_year_fourth,data_enrollment_students_year_ninth,data_enrollment_students_year_second,data_enrollment_students_year_seventh,data_enrollment_students_year_sixth,data_enrollment_students_year_tenth,data_enrollment_students_year_third,data_enrollment_students_year_thirteenth,data_enrollment_students_year_twelfth,data_enrollment_teachers,data_funding_expenditures,data_funding_revenue,data_location_latitude,data_location_longitude,data_score_math_first_grade,data_score_math_first_scale score,data_score_math_second_grade,data_score_math_second_scale score,data_score_reading_first_grade,data_score_reading_first_scale score,data_score_reading_second_grade,data_score_reading_second_scale score,data_score_science_first_grade,data_score_science_first_scale score,data_score_science_second_grade,data_score_science_second_scale score,data_score_writing_first_grade,data_score_writing_first_scale score,data_score_writing_second_grade,data_score_writing_second_scale score,state
61768.53846,96,93.38461538,1615,95144.48,15.31,755552,368003,387549,356929,81216,17559,45457,,9753,2534,261255,35389,6102,440519,59157,62615,57216,8179,49719,56699,59242,57665,59897,59117,57992,58448,51962,57644,49363.24,7646087117,7239690678,32.3182314,-86.902298,4,228,8,269,4,216,8,252,4,142,8,138,4,140,8,148,alabama
67104.71429,81.85714286,91,518,18102.1,16.17,132104,63935,68169,42028,18048,14963,8673,,10556,9558,4788,7802,30433,68967,9933,10023,9787,2990,9643,10006,9636,10120,9988,9917,9622,9991,10725,9723,8170.64,2363392122,2338215421,64.2008413,-149.4936733,4,237,8,283,4,214,8,259,4,,8,,4,,8,,alaska
69632.68421,89.05263158,93.68421053,2380,96622.35,21.42,1071751,520322,551429,374905,125806,76320,107139,150,32427,12832,59549,452283,55312,459348,82305,82304,82485,8554,81326,83544,81445,82860,82690,82862,80636,84473,76275,79842,50030.62,10043771219,10069959317,34.0489281,-111.0937311,4,230,8,277,4,210,8,255,4,139,8,140,4,140,8,148,arizona
92459.42857,93.28571429,89,1128,72184.8,14.07,482114,235432,246682,246451,64883,31537,45157,518,8979,6417,103637,47340,3369,312372,36591,37807,36624,14059,30330,36770,36306,37701,36628,36873,36237,37651,32739,35280,34272.8,5275686582,5160400914,35.20105,-91.8318334,4,238,8,276,4,217,8,258,4,147,8,144,4,145,8,151,arkansas
63042.71739,90.0326087,89.85869565,10340,530337.1,24.12,6289578,3023888,3193286,2848583,662508,0,487302,5640,724420,179880,416299,3197490,43546,1655539,467271,510011,461967,72404,492545,470001,463505,468036,469800,463691,476639,477086,488530,502452,260806.3,68479096372,64130241939,36.778261,-119.4179324,4,232,8,270,4,209,8,251,4,137,8,136,4,146,8,148,california
62790.04762,77,76.80952381,1835,101426.27,17.37,843316,411046,432270,279259,84710,99804,57166,,26337,23565,40537,266098,7452,479327,61755,62258,64238,30593,60899,65885,60928,65182,63328,63819,59684,65665,58307,60775,48542.99,8970879441,8852609203,39.5500507,-105.7820674,4,243,8,287,4,224,8,266,4,155,8,155,4,,8,161,colorado
61105.71429,88.42857143,87.85714286,1184,93087.95,13.05,560546,271748,288798,162823,68130,30428,27731,,24366,7899,74130,104312,2100,347739,41930,45908,40254,15921,41381,41203,42616,39670,41550,41155,42346,40830,42209,43573,42951.39,9932181078,9895487089,41.6032207,-73.087749,4,245,8,289,4,227,8,267,4,155,8,152,4,174,8,172,connecticut
,89.5,,218,16477.97,14.49,129403,62791,66612,54057,18608,6858,7507,,4441,1818,41737,15988,635,64784,9847,11416,9796,1626,8464,10127,9718,9810,9897,9797,9504,10157,9097,10147,8933,1816880173,1784101401,38.9108325,-75.52766989999999,4,239,8,284,4,225,8,265,4,152,8,152,4,163,8,158,delaware
78280.5,86.6,89.8,235,11381.12,12.03,71284,35778,35506,46183,11947,5261,5000,265,1027,691,55441,8980,52,5093,4391,5858,4873,9581,3407,4915,4439,5939,4825,4877,4307,5240,3851,4516,5925.33,1691237659,1720917362,38.9071923,-77.0368707,4,219,8,254,4,197,8,241,4,,8,,4,135,8,,district of columbia
70982.85915,93.04225352,92.76056338,4289,333183.15,15.05,2643347,1284323,1359024,1287000,366824,229758,192519,,67880,79194,607134,740786,10493,1137860,202303,214993,205650,52779,178315,196620,200147,197097,200738,200682,201676,200806,186399,205142,175609.29,27637538062,26056856782,27.6648274,-81.5157535,4,242,8,279,4,224,8,260,4,150,8,141,4,158,8,158,florida
86922.84615,91.84615385,93.88461538,2541,227187.5,14.91,1677067,818501,858566,850161,177536,81409,111793,,56780,49875,621222,200086,3959,745145,127442,145043,129879,42816,100392,127744,126242,132008,131057,131326,123794,130171,104914,124239,112459.6,17851273130,17835791419,32.1656221,-82.9000751,4,236,8,278,4,219,8,259,4,148,8,144,4,149,8,153,georgia
71515,91.33333333,91.33333333,290,21703.58,15.76,179601,86059,93542,65273,19716,19092,18833,215,125079,15049,4444,7996,1071,25962,13285,15164,14234,1393,10818,14540,12982,16028,14171,13457,12567,14754,12527,13466,11395.95,2323871359,2564854622,19.8967662,-155.5827818,4,236,8,274,4,213,8,251,4,142,8,136,4,149,8,144,hawaii
77717.33333,79.33333333,80,755,27783.43,17.6,275859,133794,142065,99557,27365,15393,24547,,4553,4163,2819,43795,3846,216683,21563,22062,21592,1821,19362,21577,20985,21144,21434,21575,20588,21865,19840,20451,15672.54,2275076283,2222539471,44.0682019,-114.7420408,4,241,8,287,4,223,8,265,4,155,8,158,4,150,8,154,idaho
61080.2,83.4,84.8,4439,215764.43,15.73,2091654,1016879,1074775,811915,303092,174340,109556,,87775,60200,384701,479515,6846,1072617,153748,169967,153926,78260,146953,151647,154281,146225,154636,153781,154293,153996,150576,169365,132982.73,28198146579,28263059341,40.6331249,-89.3985283,4,238,8,282,4,219,8,263,4,148,8,148,4,,8,160,illinois
70114.28571,89.14285714,94.85714286,1992,138802,18.02,1047232,510080,537152,405045,165802,49573,80683,,17470,45997,126783,88133,3376,765473,79585,84139,78972,11652,74836,78857,79928,76765,80081,82387,79790,81397,77285,81558,58121,11351074316,13641694560,40.2671941,-86.1349019,4,243,8,287,4,222,8,264,4,152,8,150,4,154,8,155,indiana
81643.33333,93.33333333,92.66666667,1487,69614.93,14.31,495775,240164,255611,149977,68498,21733,38509,,10623,11120,25215,42295,2362,404160,35080,36984,34939,27211,37704,35121,35416,39306,35336,35071,35263,35369,36435,36540,34642.08,5728511603,5541140375,41.8780025,-93.097702,4,243,8,284,4,225,8,267,4,,8,,4,155,8,155,iowa
71079.5,93.16666667,92.66666667,1470,67750.8,13.96,483701,234758,248943,179931,66851,39323,48921,4605,12796,20598,35958,79129,6184,329036,35372,37010,35648,17318,33180,36357,35244,37023,35898,35991,34220,36520,33676,35639,34643.8,5327426553,5487071312,39.011902,-98.4842465,4,245,8,289,4,225,8,267,4,,8,,4,149,8,156,kansas
70475.5,85,,1577,99225.24,16.01,673128,326183,346945,329897,102370,16351,50876,460,9543,12080,72915,26188,941,551461,49988,52668,51279,24260,43723,50855,49633,51091,50980,51189,48525,52207,46008,50262,42041.84,7097739314,6873286087,37.8393332,-84.2700179,4,239,8,279,4,222,8,262,4,158,8,153,4,154,8,151,kentucky
