Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,County,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,No Preference.Number of Votes,No Preference.Party,No Preference.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,State,State Abbreviation,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Party,Uncommitted.Percent of Votes
305,Republican,8.3,312,Democrat,17.0,0,Republican,0.0,0,Republican,0.0,Abbeville,1353,Republican,36.9,1501,Democrat,81.8,236,Republican,6.4,157,Republican,4.3,740,Republican,20.200000000000003,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,South Carolina,SC,876,Republican,23.9,0,N/A,0.0
0,Republican,0.0,1,Democrat,100.0,0,Republican,0.0,0,Republican,0.0,Abbot,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Maine,ME,0,Republican,0.0,0,N/A,0.0
53,Republican,2.5,1352,Democrat,53.400000000000006,0,Republican,0.0,0,Republican,0.0,Abington,1222,Republican,57.9,1129,Democrat,44.6,0,Republican,0.0,299,Republican,14.2,267,Republican,12.7,0,Democrat,0.0,0,Republican,0.0,30,N/A,1.2,0,Republican,0.0,0,Republican,0.0,Massachusetts,MA,208,Republican,9.9,0,N/A,0.0
0,Republican,0.0,1087,Democrat,31.4,0,Republican,0.0,0,Republican,0.0,Acadia,1694,Republican,44.5,1862,Democrat,53.7,0,Republican,0.0,129,Republican,3.4000000000000004,403,Republican,10.6,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Louisiana,LA,1454,Republican,38.2,0,N/A,0.0
411,Republican,9.5,682,Democrat,27.400000000000002,0,Republican,0.0,0,Republican,0.0,Accomack,2068,Republican,47.9,1789,Democrat,72.0,0,Republican,0.0,210,Republican,4.9,905,Republican,20.9,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Virginia,VA,685,Republican,15.9,0,N/A,0.0
54,Republican,2.3,2557,Democrat,46.800000000000004,0,Republican,0.0,0,Republican,0.0,Acton,656,Republican,28.199999999999996,2884,Democrat,52.800000000000004,0,Republican,0.0,754,Republican,32.5,578,Republican,24.9,0,Democrat,0.0,0,Republican,0.0,13,N/A,0.2,0,Republican,0.0,0,Republican,0.0,Massachusetts,MA,203,Republican,8.7,0,N/A,0.0
0,Republican,0.0,3,Democrat,60.0,0,Republican,0.0,0,Republican,0.0,Acton,0,Republican,0.0,2,Democrat,40.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Maine,ME,0,Republican,0.0,0,N/A,0.0
47,Republican,4.2,753,Democrat,48.3,0,Republican,0.0,0,Republican,0.0,Acushnet,707,Republican,63.1,783,Democrat,50.2,0,Republican,0.0,99,Republican,8.8,146,Republican,13.0,0,Democrat,0.0,0,Republican,0.0,14,N/A,0.9000000000000001,0,Republican,0.0,0,Republican,0.0,Massachusetts,MA,108,Republican,9.6,0,N/A,0.0
0,Republican,0.0,7336,Democrat,80.5,0,Republican,0.0,0,Republican,0.0,Ada,15191,Republican,30.4,1663,Democrat,18.2,0,Republican,0.0,5306,Republican,10.6,8074,Republican,16.1,0,Democrat,0.0,0,Republican,0.0,0,N/A,0.0,0,Republican,0.0,0,Republican,0.0,Idaho,ID,20156,Republican,40.300000000000004,0,N/A,0.0
61,Republican,15.0,132,Democrat,44.0,16,Republican,3.9,4,Republican,1.0,Adair,104,Republican,25.6,168,Democrat,56.00000000000001,4,Republican,1.0,2,Republican,0.5,80,Republican,19.7,0,Democrat,0.0,11,Republican,2.7,0,N/A,0.0,12,Republican,2.9000000000000004,7,Republican,1.7000000000000002,Iowa,IA,104,Republican,25.6,0,N/A,0.0
