consumption.biomass,consumption.coal,consumption.fossil fuels,consumption.geothermal,consumption.hydroelectric,consumption.natural gas,consumption.nuclear,consumption.solar,consumption.total,consumption.total renewable,consumption.wind,exports.biofuels,exports.coal,exports.coal coke,exports.crude oil,exports.electricity,exports.natural gas,exports.petroleum products,exports.total,exports.total petroleum,imports.biofuels,imports.coal,imports.coal coke,imports.crude oil,imports.electricity,imports.natural gas,imports.petroleum products,imports.total,imports.total petroleum,natural gas plant liquids,petroleum,production.biomass,production.coal,production.crude oil,production.fossil fuels,production.geothermal,production.hydroelectric,production.natural gas,production.nuclear,production.solar,production.total,production.total renewable,production.wind,year
1.549262,11.980905,29.002099,0.0,1.424722,5.145142,0.0,0.0,31.981503,2.973984,0.0,0.0,0.877294,0.01359,0.1918,0.000598,0.020756,0.487721,1.59176,0.679521,0.0,0.007875,0.006919,0.914739,0.006018,0.0,0.512607,1.448158,1.427346,0.713799,11.882722,1.549262,11.973882,10.683252,28.748176,0.0,1.424722,5.377243,0.0,0.0,31.72216,2.973984,0.0,1949
1.562307,12.347109,31.631956,0.0,1.415411,5.968371,0.0,0.0,34.615768,2.977718,0.0,0.0,0.786496,0.00987,0.201973,0.000501,0.026627,0.439854,1.465322,0.641827,0.0,0.009132,0.010862,1.056154,0.006596,0.0,0.830142,1.912887,1.886296,0.822828,13.315484,1.562307,14.060135,11.446729,32.562667,0.0,1.415411,6.232975,0.0,0.0,35.540384,2.977718,0.0,1950
1.534669,12.552996,34.008105,0.0,1.423795,7.048518,0.0,0.0,36.97403,2.958464,0.0,0.0,1.682779,0.02547,0.165903,0.000682,0.025009,0.721702,2.621545,0.887606,0.0,0.007986,0.004018,1.063335,0.008143,0.0,0.808943,1.892425,1.872279,0.920369,14.428043,1.534669,14.419325,13.036724,35.792151,0.0,1.423795,7.415733,0.0,0.0,38.750615,2.958464,0.0,1951
1.474369,11.306479,33.799903,0.0,1.465812,7.549621,0.0,0.0,36.747825,2.940181,0.0,0.0,1.40298,0.019642,0.154837,0.00081,0.028417,0.758446,2.365131,0.913283,0.0,0.007287,0.007762,1.244551,0.00855,0.00808,0.869753,2.145984,2.114304,0.997771,14.955682,1.474369,12.734313,13.281049,34.976732,0.0,1.465812,7.963599,0.0,0.0,37.916913,2.940181,0.0,1952
1.418601,11.372684,34.826156,0.0,1.412859,7.906645,0.0,0.0,37.664468,2.83146,0.0,0.0,0.980726,0.012896,0.1156,0.001462,0.029313,0.726015,1.866013,0.841615,0.0,0.006462,0.003894,1.400759,0.008315,0.009548,0.884064,2.313042,2.284823,1.061677,15.555829,1.418601,12.277746,13.671076,35.349336,0.0,1.412859,8.338838,0.0,0.0,38.180796,2.83146,0.0,1953
1.394327,9.714667,33.8773,0.0,1.359772,8.330202,0.0,0.0,36.639382,2.754099,0.0,0.0,0.910509,0.009622,0.078874,0.001187,0.029731,0.666377,1.696301,0.745251,0.0,0.005127,0.002877,1.42035,0.009171,0.007087,0.903264,2.347876,2.323614,1.113167,15.839176,1.394327,10.542448,13.42693,33.76433,0.0,1.359772,8.681785,0.0,0.0,36.51843,2.754099,0.0,1954
1.424143,11.167259,37.410105,0.0,1.359844,8.997935,0.0,0.0,40.207971,2.783987,0.0,0.0,1.464521,0.013169,0.067112,0.001705,0.032115,0.706887,2.285508,0.773999,0.0,0.008425,0.003125,1.690834,0.015583,0.011269,1.060671,2.789908,2.751505,1.239721,17.254955,1.424143,12.369608,14.409682,37.36368,0.0,1.359844,9.344668,0.0,0.0,40.147667,2.783987,0.0,1955
1.415871,11.349723,38.888151,0.0,1.434711,9.613975,0.0,0.0,41.754252,2.850582,0.0,0.0,1.984106,0.016269,0.166019,0.002152,0.037222,0.739609,2.945377,0.905628,0.0,0.0089,0.003249,2.022284,0.017672,0.010743,1.143894,3.206741,3.166178,1.28273,17.937473,1.415871,13.306334,15.180241,39.771452,0.0,1.434711,10.002147,0.0,0.0,42.622033,2.850582,0.0,1956
1.333581,10.820631,38.925592,0.0,1.515613,10.190753,0.000112,0.0,41.787186,2.849194,0.0,0.0,2.174059,0.020386,0.291409,0.00428,0.043113,0.906195,3.439441,1.197604,0.0,0.0092,0.002926,2.208923,0.016568,0.039269,1.252096,3.528983,3.461019,1.288811,17.931667,1.333581,13.061393,15.178026,40.133484,0.0,1.515613,10.605254,0.000112,0.0,42.98279,2.849194,0.0,1957
1.323123,9.533287,38.716702,0.0,1.591967,10.663199,0.001915,0.0,41.645028,2.91509,0.0,0.0,1.415843,0.009746,0.025207,0.002593,0.040074,0.556375,2.049839,0.581582,0.0,0.007777,0.003026,2.058809,0.013913,0.14055,1.660297,3.884371,3.719106,1.286874,18.526937,1.323123,10.783088,14.204125,37.216322,0.0,1.591967,10.942235,0.001915,0.0,40.133327,2.91509,0.0,1958
1.352874,9.518353,40.550068,0.0,1.548465,11.717422,0.002187,0.0,43.465722,2.901339,0.0,0.0,1.051257,0.011408,0.014651,0.002861,0.019057,0.434574,1.533808,0.449225,0.0,0.009451,0.00305,2.084467,0.014988,0.13868,1.825642,4.076278,3.910109,1.382783,19.32265,1.352874,10.777984,14.932622,39.045216,0.0,1.548465,11.951826,0.002187,0.0,41.948742,2.901339,0.0,1959
1.31987,9.837785,42.136751,0.000359,1.607975,12.385366,0.006026,0.0,45.086455,2.928204,0.0,0.0,1.02317,0.008754,0.017905,0.002689,0.011729,0.413229,1.477475,0.431133,0.0,0.006551,0.003125,2.19638,0.018163,0.161094,1.802314,4.187626,3.998694,1.460974,19.91923,1.31987,10.817398,14.934611,39.869117,0.000359,1.607975,12.656133,0.006026,0.0,42.803347,2.928204,0.0,1960
1.294762,9.623351,42.758243,0.001001,1.656463,12.926392,0.019678,0.0,45.737837,2.952226,0.0,0.0,0.980641,0.011036,0.018717,0.003127,0.011123,0.35194,1.376584,0.370656,0.0,0.004125,0.00315,2.251133,0.010816,0.22652,1.941156,4.436901,4.192289,1.549114,20.216387,1.294762,10.447091,15.206196,40.307136,0.001001,1.656463,13.104734,0.019678,0.0,43.27904,2.952226,0.0,1961
1.300242,9.906454,44.68077,0.001061,1.816141,13.730841,0.026394,0.0,47.826437,3.117444,0.0,0.0,1.08291,0.009027,0.010382,0.005666,0.016367,0.348183,1.472536,0.358565,0.0,0.006003,0.003522,2.42102,0.007495,0.415588,2.140652,4.994279,4.561672,1.592568,21.048981,1.300242,10.90056,15.521896,41.731885,0.001061,1.816141,13.716861,0.026394,0.0,44.875724,3.117444,0.0,1962
1.323316,10.412538,46.509283,0.00176,1.771355,14.403306,0.038147,0.0,49.644195,3.096431,0.0,0.0,1.356399,0.011185,0.009848,0.006773,0.017483,0.433496,1.835183,0.443344,0.0,0.006802,0.003794,2.432218,0.007107,0.418796,2.217937,5.086654,4.650155,1.709378,21.700828,1.323316,11.849229,15.965793,44.037181,0.00176,1.771355,14.512781,0.038147,0.0,47.171759,3.096431,0.0,1963
