disease,increase,loc,number,population,year
MEASLES,334.98999999999995,ALABAMA,8843,2640000,1928
MEASLES,200.75000000000003,ARIZONA,847,422000,1928
MEASLES,481.7700000000002,ARKANSAS,8899,1847000,1928
MEASLES,69.22,CALIFORNIA,3698,5344000,1928
MEASLES,206.97999999999996,COLORADO,2099,1014000,1928
MEASLES,634.9500000000002,CONNECTICUT,10014,1577000,1928
MEASLES,256.02000000000004,DELAWARE,597,233000,1928
MEASLES,535.6300000000001,DISTRICT OF COLUMBIA,2566,479000,1928
MEASLES,119.57999999999998,FLORIDA,1714,1433000,1928
MEASLES,159.73,GEORGIA,4637,2903000,1928
MEASLES,19.590000000000003,IDAHO,88,449000,1928
MEASLES,98.23999999999997,ILLINOIS,7444,7576000,1928
MEASLES,263.6700000000001,INDIANA,8470,3212000,1928
MEASLES,28.629999999999995,IOWA,702,2450000,1928
MEASLES,136.92000000000007,KANSAS,2533,1850000,1928
MEASLES,216.26,KENTUCKY,5551,2567000,1928
MEASLES,260.33,LOUISIANA,5373,2064000,1928
MEASLES,401.96,MAINE,3204,797000,1928
MEASLES,1089.3899999999992,MARYLAND,17539,1610000,1928
MEASLES,981.0599999999996,MASSACHUSETTS,41371,4217000,1928
MEASLES,547.5499999999998,MICHIGAN,25544,4665000,1928
MEASLES,79.13000000000001,MINNESOTA,2052,2592000,1928
MEASLES,0.0,MISSISSIPPI,0,1981000,1928
MEASLES,198.6300000000001,MISSOURI,7154,3601000,1928
MEASLES,139.85999999999999,MONTANA,757,541000,1928
MEASLES,78.95,NEBRASKA,1083,1371000,1928
MEASLES,272.15000000000003,NEW HAMPSHIRE,1274,468000,1928
MEASLES,797.1400000000001,NEW JERSEY,31631,3968000,1928
MEASLES,663.4100000000003,NEW MEXICO,2760,416000,1928
MEASLES,649.9699999999998,NEW YORK,75391,11599000,1928
MEASLES,1823.69,NORTH CAROLINA,56207,3082000,1928
MEASLES,55.73,NORTH DAKOTA,371,665000,1928
MEASLES,355.92,OHIO,23522,6608000,1928
MEASLES,268.70999999999964,OKLAHOMA,6298,2344000,1928
MEASLES,223.08999999999995,OREGON,2089,936000,1928
MEASLES,583.9500000000002,PENNSYLVANIA,57237,9802000,1928
MEASLES,735.3200000000002,RHODE ISLAND,4986,678000,1928
MEASLES,1138.49,SOUTH CAROLINA,19798,1739000,1928
MEASLES,160.16000000000003,SOUTH DAKOTA,1097,685000,1928
MEASLES,315.43,TENNESSEE,8276,2624000,1928
MEASLES,97.35000000000002,TEXAS,5524,5675000,1928
MEASLES,16.82999999999999,UTAH,85,504000,1928
