$1_superfecta.numbers,$1_superfecta.paid,$1_trifecta.numbers,$1_trifecta.paid,$2_exacta.numbers,$2_exacta.paid,1.daily_double.numbers,1.daily_double.paid,1.exacta.numbers,1.exacta.paid,1.first.gate,1.first.name,1.first.place,1.first.show,1.first.win,1.second.gate,1.second.name,1.second.place,1.second.show,1.superfecta.numbers,1.superfecta.paid,1.third.gate,1.third.name,1.third.show,1.trifecta.numbers,1.trifecta.paid,10.daily_double.numbers,10.daily_double.paid,10.exacta.numbers,10.exacta.paid,10.first.gate,10.first.name,10.first.place,10.first.show,10.first.win,10.pick_3.numbers,10.pick_3.paid,10.pick_4.numbers,10.pick_4.paid,10.pick_5.numbers,10.pick_5.paid,10.second.gate,10.second.name,10.second.place,10.second.show,10.superfecta.numbers,10.superfecta.paid,10.third.gate,10.third.name,10.third.show,11.daily_double.numbers,11.daily_double.paid,11.exacta.numbers,11.exacta.paid,11.first.gate,11.first.name,11.first.place,11.first.show,11.first.win,11.pick_3.numbers,11.pick_3.paid,11.pick_4.numbers,11.pick_4.paid,11.pick_5.numbers,11.pick_5.paid,11.second.gate,11.second.name,11.second.place,11.second.show,11.superfecta.numbers,11.superfecta.paid,11.third.gate,11.third.name,11.third.show,11.trifecta.numbers,11.trifecta.paid,2.daily_double.numbers,2.daily_double.paid,2.exacta.numbers,2.exacta.paid,2.first.gate,2.first.name,2.first.place,2.first.show,2.first.win,2.second.gate,2.second.name,2.second.place,2.second.show,2.superfecta.numbers,2.superfecta.paid,2.third.gate,2.third.name,2.third.show,2.trifecta.numbers,2.trifecta.paid,3.daily_double.numbers,3.daily_double.paid,3.exacta.numbers,3.exacta.paid,3.first.gate,3.first.name,3.first.place,3.first.show,3.first.win,3.pick_3.numbers,3.pick_3.paid,3.second.gate,3.second.name,3.second.place,3.second.show,3.superfecta.numbers,3.superfecta.paid,3.third.gate,3.third.name,3.third.show,3.trifecta.numbers,3.trifecta.paid,4.daily_double.numbers,4.daily_double.paid,4.exacta.numbers,4.exacta.paid,4.first.gate,4.first.name,4.first.place,4.first.show,4.first.win,4.pick_3.numbers,4.pick_3.paid,4.pick_4.numbers,4.pick_4.paid,4.second.gate,4.second.name,4.second.place,4.second.show,4.superfecta.numbers,4.superfecta.paid,4.third.gate,4.third.name,4.third.show,4.trifecta.numbers,4.trifecta.paid,5.daily_double.numbers,5.daily_double.paid,5.exacta.numbers,5.exacta.paid,5.first.gate,5.first.name,5.first.place,5.first.show,5.first.win,5.pick_3.numbers,5.pick_3.paid,5.second.gate,5.second.name,5.second.place,5.second.show,5.superfecta.numbers,5.superfecta.paid,5.third.gate,5.third.name,5.third.show,5.trifecta.numbers,5.trifecta.paid,6.daily_double.numbers,6.daily_double.paid,6.exacta.numbers,6.exacta.paid,6.first.gate,6.first.name,6.first.place,6.first.show,6.first.win,6.pick_3.numbers,6.pick_3.paid,6.second.gate,6.second.name,6.second.place,6.second.show,6.superfecta.numbers,6.superfecta.paid,6.third.gate,6.third.name,6.third.show,6.trifecta.numbers,6.trifecta.paid,7.daily_double.numbers,7.daily_double.paid,7.exacta.numbers,7.exacta.paid,7.first.gate,7.first.name,7.first.place,7.first.show,7.first.win,7.pick_3.numbers,7.pick_3.paid,7.pick_4.numbers,7.pick_4.paid,7.second.gate,7.second.name,7.second.place,7.second.show,7.superfecta.numbers,7.superfecta.paid,7.third.gate,7.third.name,7.third.show,7.trifecta.numbers,7.trifecta.paid,8.daily_double.numbers,8.daily_double.paid,8.exacta.numbers,8.exacta.paid,8.first.gate,8.first.name,8.first.place,8.first.show,8.first.win,8.pick_3.numbers,8.pick_3.paid,8.second.gate,8.second.name,8.second.place,8.second.show,8.superfecta.numbers,8.superfecta.paid,8.third.gate,8.third.name,8.third.show,8.trifecta.numbers,8.trifecta.paid,9.daily_double.numbers,9.daily_double.paid,9.exacta.numbers,9.exacta.paid,9.first.gate,9.first.name,9.first.place,9.first.show,9.first.win,9.pick_3.numbers,9.pick_3.paid,9.pick_4.numbers,9.pick_4.paid,9.pick_5.numbers,9.pick_5.paid,9.second.gate,9.second.name,9.second.place,9.second.show,9.superfecta.numbers,9.superfecta.paid,9.third.gate,9.third.name,9.third.show,9.trifecta.numbers,9.trifecta.paid,year
,,,,,,,,7-6,46.2,7,Garryowen,4.4,3.2,7.4,6,Friends Place,6.6,4.6,7-6-2-5,890.0,2,Close To My Heart,3.6,7-6-2,283.4,9-3,27.8,3-7,24.6,3,Ninety Schillings,4.2,2.8,8.4,,,,,,,7,Dr Ballenger,4.2,3.0,3-7-9-1,1640.0,9,Clear Note,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,7-1,40.8,1-6,32.2,1,Twice The Lady,4.0,2.4,8.2,6,Kaz U Can,4.2,2.2,,,4,Royal Order,2.1,1-6-4,57.0,1-3,36.4,3-4,14.2,3,Cash Refund,3.4,,7.0,7-1-3,140.6,4,Riley Tucker,3.4,,,,1,Chief Of Affairs,,,,3-6,11.2,6-7,12.4,6,Dubai's Connection,2.6,2.2,3.2,,,,,7,Heavenly Appeal,5.4,3.4,6-7-1-3,129.2,1,Tapitforpar,2.6,,,6-3,44.2,3-6,85.6,3,New Bay,10.0,5.2,25.2,,,6,Grand Traverse,3.6,2.8,3-6-4-9,579.2,4,Sok Sok,3.4,,,3-2,79.2,2-5,30.0,2,Costly,3.6,2.8,5.6,,,5,Prospector Queen,5.8,3.2,2-5-8-4,805.8,8,Scilly,3.2,,,2-7,13.6,7-9,13.6,7,Pick And Pray,3.0,2.6,5.2,,,,,9,Darlin' Diane,3.0,2.6,7-9-12-3,285.6,12,Tirbracken Lily,3.8,,,7-2,16.2,2-8,63.4,2,Nowhere To Hide,4.6,3.4,6.6,,,8,Out Of The Ghetto,10.2,5.6,2-8-7-3,3006.8,7,Perfectly Crazy,3.2,,,2-9,29.2,9-6,59.0,9,Wilburn,4.0,3.8,5.8,,,,,,,6,Infrattini,8.8,6.4,9-6-10-7,2916.2,10,Scotus,7.2,,,2011-05-15
,,,,,,,,6-5,39.4,6,Silent Spin,3.6,3.4,5.0,5,Queen Of Scioto,11.6,7.0,6-5-4-3,1015.4,4,Abelia,5.6,6-5-4,185.0,9-6,379.8,6-8,85.2,6,Pacificator,8.4,4.4,16.6,,,,,,,8,Deputy Sreva,5.8,3.2,6-8-4-3,2880.6,4,Joe Six Pack,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,6-2,31.4,2-7,36.0,2,And Loving It,5.2,3.2,10.2,7,Noah's Humor,4.2,2.6,2-7-3-1,421.2,3,Monashee Vision,4.8,,,2-2,37.0,2-5,24.0,2,Canook,3.6,2.8,7.4,,,5,Timber Wildcat,4.0,3.0,2-5-1-4,493.4,1,Ziggy's Gem,5.2,,,2-7,43.2,7-9,49.0,7,Avenstoke,5.0,3.0,11.0,,,,,9,Hurricane Day,5.6,3.8,7-9-5-1,1670.6,5,Jack's Work,2.8,,,7-3,30.0,3-7,17.4,3,She's An Alpha Gam,2.8,2.1,5.2,,,7,Deputy Gone Wild,3.0,2.2,,,5,Soto's Hija,3.4,3-7-5,97.4,3-8,47.0,8-3,92.2,8,D' Wildcard,5.2,3.8,9.4,,,3,Jemaru,7.0,4.8,8-3-1-7,3651.2,1,Big Flirt,4.0,,,8-2,80.0,2-6,110.8,2,Middie,5.4,3.6,9.8,,,,,6,Ready To Taunt,11.8,8.0,2-6-1-3,6488.4,1,Lookin At Tiger,4.2,,,2-6,182.8,6-3,188.0,6,Why Pretend,10.0,5.2,24.8,,,3,Knownforstone,8.0,5.2,6-3-4-7,5482.0,4,Mutiny,4.2,,,6-9,439.2,9-2,206.0,9,Threeforall,12.4,5.8,35.6,,,,,,,2,Kitty's Turn,7.4,4.6,9-2-1-4,5633.4,1,Gentlemansapproval,8.6,,,2011-05-22
,,,,,,,,5-2,48.6,5,Vanity's Showcase,3.2,2.4,5.8,2,R Next Gem,8.6,3.8,5-2-3-4,529.0,3,Holiday Jazz,2.6,5-2-3,130.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-9,29.8,9-8,17.4,9,Strong Dream,3.0,2.4,10.4,8,Leading Candidate,2.1,2.1,9-8-2-4,965.2,2,Carson's Venture,4.4,,,9-5,29.0,5-1,110.2,5,W. W.'s Senorita,3.2,2.2,5.4,,,1,Wauchula,21.0,7.0,5-1-6-3,2558.6,6,Miss Femme Fatale,3.2,,,5-4,35.0,4-2,37.2,4,Manhattan Man,4.0,3.0,9.8,,,,,2,Steph's Sonset,3.2,2.8,4-2-3-8,663.4,3,D. C. Gene,4.2,,,4-14,103.2,14-2,76.8,14,Count On Gold,7.2,3.8,12.0,5-4-14,287.4,2,Casual Amour,5.0,3.6,,,5,Our Rocket Mon,2.6,,,14-4,66.0,4-1,24.2,4,Green Mouse,3.8,2.8,9.6,4-14-4,394.4,1,Atlantic Titan,3.2,2.4,,,8,Cold Facts,4.4,,,4-5,20.6,5-1,7.4,5,Won Great Damsel,2.4,2.4,3.4,14-4-5,235.8,,,1,Ridgester,3.4,2.8,,,3,My Paige's Jewel,5.2,,,5-7,10.6,7-3,8.0,7,Distorted Love,2.2,,4.6,4-5-7,66.2,3,Bizzee Mizzee,2.2,,,,1,Champagne Jane,,,,,,,,9,Attractive Ride,3.8,3.0,9.4,5-7-9,74.8,4-5-7-9,318.4,14-4-5-7-9,4204.8,2,Success Success,3.6,2.4,,,3,Tone It Down,3.2,,,2011-05-26
,,,,,,,,1-4,12.4,1,Island Bound,2.6,2.2,4.8,4,Devil's Prize,3.4,2.6,1-4-2-5,77.0,2,Miss Lilly Blue,2.8,1-4-2,34.4,,,,,5,Yellena's Vision,6.8,5.0,16.2,1-8-5,280.6,6-1-1/8-5,925.8,5-6-1-1/8-5,4625.8,11,Bascom Hall,4.8,3.8,,,8,Eye For An Eye,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1-6,17.6,6-2,27.0,6,Hot Pursuit,3.2,2.2,4.8,2,Lion's Dub,5.0,3.6,6-2-1-3,219.2,1,Ordained,2.6,,,6-3,14.8,3-6,35.6,3,Galactic,3.4,2.4,5.4,1-6-3,50.6,6,Cheaper To Settle,6.2,3.8,,,5,Shot Of Kela,2.6,,,3-1,7.8,,,,Hachi,2.1,2.1,2.6,6-3-1,30.8,1-6-3-1/3,89.2,2,Buddy Be Good,4.0,3.4,,,1,Becknerville Bound,2.1,,,1-5,29.8,5-8,468.2,5,Bonaparte,7.4,5.0,15.0,3-1-5,84.6,8,Laurie's Rocket,37.0,15.0,,,7,Wire Tranzfer,6.0,,,5-5,77.8,5-11,32.6,5,Slew Of Medals,4.2,3.2,8.8,1-5-5,180.0,11,Dancing Stella,3.4,2.8,,,7,Leisurely Walk,6.0,,,5-6,51.4,,,6,Strike Impact,3.8,3.0,7.8,5-5-6,338.4,1/3-5-5-6,669.2,4,Dark Cove,3.2,2.6,,,5,Dubious Miss,3.0,,,6-1,68.8,1-7,169.2,1,Backside Blackie,8.2,4.4,20.0,5-6-1,395.4,7,Kit Carson,8.2,4.8,,,4,Marvel Gaye,3.2,,,1-8,50.2,8-4,29.6,8,Sassy Image,2.6,2.4,3.8,6-1-8,157.6,,,,,4,Beat The Blues,6.2,4.6,,,6,Fortune Play,8.4,,,2011-05-30
,,,,,,,,2-6,13.0,2,Candice B Love,2.8,2.4,5.2,6,Wyn Jym,2.6,2.2,2-6-4-5,52.8,4,Dance With Another,2.8,2-6-4,32.8,,,,,8,Evanscourt,5.6,3.6,9.2,3-3-8,165.8,1/5-3-3-8,449.0,2-1/5-3-3-8,1195.8,4,Charming Endeavour,4.4,3.6,,,2,Killin Time,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2-1,76.0,1-5,46.4,1,Go Getem,5.2,2.8,21.4,5,Envisioning,2.4,2.1,1-5-2-4,267.6,2,Grasmere Park,2.4,,,1-7,49.4,7-5,13.0,7,Screenplay,2.2,2.1,3.0,2-1-7,157.2,5,Plutonium,4.4,2.4,,,1,Mr. Mischief,2.1,,,7-2,4.4,,,2,Tippy Toes,2.2,2.1,3.0,1-7-2,89.6,2-1-3/4/7-2/7,369.8,6,Madame George,3.0,2.4,,,3,Grace Was Given,4.2,,,2-2,17.2,2-9,38.2,2,Taino,4.6,3.0,6.8,7-2-2,22.6,9,Dynamic Knight,5.2,3.8,,,6,Thomas Is Rockin,3.6,,,2-2,35.0,2-1,53.8,2,Utesa,5.0,2.8,10.0,2-2-2,51.2,1,Golden Meadow,7.2,3.0,,,7,Pure Mary,2.4,,,2-5,27.4,,,5,Golden Gulch,2.8,2.2,5.0,2-2-5,116.4,2/7-2-2-1/5,133.6,6,Clear Note,3.2,2.4,,,4,Street Titan,3.0,,,5-3,17.0,3-4,107.6,3,My Perfect Light,3.4,3.2,7.4,2-5-3,106.2,4,Majestic Tiger,13.8,6.2,,,2,Ratoath Special,6.0,,,3-3,26.2,3-4,12.2,3,Meistersinger,2.8,2.6,5.2,5-3-3,58.4,,,,,4,Scotus,3.0,2.6,,,6,Alstom,4.6,,,2011-06-05
,,,,,,,,5-4,87.6,5,Queen Of Scioto,8.2,4.6,24.2,4,Need An Angel,3.8,2.6,5-4-6-3,806.2,6,Dancing Stella,3.0,5-4-6,226.6,,,,,4,Prado Dash,4.2,3.2,6.4,12-2-4,181.0,4-4/11/12/13-2-4/13/14/15/16,1056.2,8-4-4/11/12/13-2-4/13/14/15/16,52057.6,3,Tahoe Lake (brz),5.8,4.4,,,8,Mr. Jeeves,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,5-5,90.2,5-7,20.2,5,Im A Dixie Diva,3.2,2.1,8.0,7,Clearly Wicked,2.6,2.2,5-7-4-2,281.2,4,Tura Isabel,2.6,,,5-6,32.0,6-3,19.0,6,Heiden,3.2,2.6,5.8,5-5-6,295.0,3,Scrivener's Error,3.4,2.6,,,4,El Diablo,3.4,,,6-9,138.0,,,9,I'am Toorific,27.8,16.0,48.2,5-6-9,1130.8,5-5-5/6-9,9949.4,11,Lady Of Rivendell,14.0,9.8,,,7,Pretty Pleaser,5.0,,,9-1,175.6,1-6,24.8,1,Strikewhileitshot,3.0,2.4,5.0,6-9-1,439.8,6,Secret Commander,6.0,4.0,,,2,Furillo,3.0,,,1-8,122.2,8-2,290.0,8,Kaelins Grandgirls,14.4,6.4,40.2,9-1-8,6989.6,2,Dreymore,8.2,3.4,,,1,Gaelic Lass,2.4,,,8-4,221.4,,,4,Tidal Volume,6.0,4.0,10.2,1-8-4,864.4,9-1-8-4,42454.8,5,Dancing Roman,5.8,4.4,,,9,Gold For Cash,3.0,,,4-12,65.6,12-9,36.4,12,Crystal Moment,4.4,3.6,6.2,8-4-12,1051.0,9,Joe Hollywood,6.2,4.6,,,6,Lunar Pass,4.6,,,12-2,38.6,2-1,37.0,2,Mad Flatter,5.8,4.0,10.8,4-12-2,300.8,,,,,1,Moe Man,4.4,3.4,,,3,Valerius,4.2,,,2011-06-12
,,,,,,,,5-6,41.0,5,David The Great,4.4,3.6,11.6,6,Street Titan,4.6,3.4,5-6-7-2,1942.8,7,That Ole Chestnut,10.0,5-6-7,837.2,1-12,157.6,12-3,33.2,12,Ultimate Truth,4.8,3.4,9.6,,,,,,,3,She Can Fly,3.6,2.4,12-3-11-8,2808.8,11,Ranaway Yankee,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5-1,73.8,1-2,24.2,1,Garryowen,4.4,,11.4,2,Lee Chapel,3.4,,,,6,Court's Journey,,1-2-6,106.8,1-1,47.8,1-2,20.2,1,Brickyard Helen,3.6,3.0,6.0,,,2,Tapitforpar,3.6,3.0,1-2-6-3,751.4,6,Janou,5.4,,,1-4,30.0,4-3,36.4,4,Henny's Hurricane,4.4,2.6,9.4,,,,,3,Line It Up,4.2,2.4,4-3-6-5,311.6,6,Kit Carson,2.2,,,4-7,55.8,7-8,56.0,7,Gentleman John,5.0,3.6,8.6,,,8,Blushing Romeo,7.4,4.2,7-8-1-5,1032.4,1,Helliecat,3.2,,,7-1,102.8,1-5,50.2,1,Notoriety,6.0,3.4,14.2,,,5,Niederzel,3.6,2.6,1-5-13-6,559.2,13,Lake Creek,2.8,,,1-4,68.2,4-10,75.6,4,Force De La Nature,6.0,4.2,14.2,,,,,10,Bargain Blitz,5.4,3.6,4-10-9-6,10238.0,9,Tavern On The Bay,6.6,,,4-5,75.6,5-2,40.8,5,Maya's Mystery,4.0,3.0,8.0,,,2,Miss Fifty,4.4,3.8,5-2-1-3,513.0,1,Bayou Miss,3.4,,,5-1,101.0,1-3,238.4,1,Plutonium,9.8,4.8,25.8,,,,,,,3,Adulare,12.4,5.4,1-3-2-6,3664.8,2,Sporty,3.8,,,2011-06-19
,,,,,,,,5-1,13.2,5,Ready's Rocket,2.8,2.1,4.0,1,Big Flirt,3.4,2.2,5-1-3-7,111.2,3,Go Getem,2.6,5-1-3,36.8,5-5,8.2,5-6,11.4,5,Itsallboutthechase,2.6,2.6,5.0,,,,,,,6,Furillo,3.0,2.4,5-6-4-3,123.8,4,Quebec City,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,5-5,31.0,5-6,29.0,5,One Last Nitemare,4.8,3.4,11.2,6,Donnaguska,3.0,2.6,5-6-2-7,693.0,2,Sailors Pasttiime,4.6,,,5-3,38.6,3-2,14.8,3,Three Day Rush,3.2,2.8,6.0,,,2,Berberis,2.8,2.6,3-2-7-1,1021.6,7,Moyer's Pond,7.4,,,3-3,13.4,3-1,9.8,3,Persuading,2.4,,4.2,,,,,1,Sweetest Song,2.8,,,,5,Hidden Value,,3-1-5,52.6,3-6,14.0,6-5,15.8,6,Steph's Sonset,2.8,2.4,4.6,,,5,Mr. Bristol,4.2,2.8,6-5-1-3,170.6,1,Hampton Bays Sun,2.4,,,6-8,10.0,8-7,98.0,8,Kera's Kitten,3.4,2.8,4.6,,,7,Letthebigtimesroll,18.8,6.2,8-7-1-2,1582.0,1,Baby Afleet,2.8,,,8-9,43.8,9-6,62.8,9,Givhans Ferry,8.2,3.6,20.8,,,,,6,Poorlittlebridgett,3.6,2.4,9-6-12-7,2334.6,12,Charming Vixen,2.2,,,9-2,97.4,2-8,39.0,2,Demure Halo,5.0,3.4,8.2,,,8,Magik,4.4,3.6,2-8-7-4,2572.2,7,Pure Victory,5.6,,,2-5,14.2,5-9,14.4,5,Cascadilla Falls,2.2,2.1,3.2,,,,,,,9,Miss Dora,4.2,3.0,5-9-4-1,135.4,4,Lago Mar Lady,2.6,,,2011-06-26
,,,,,,,,10-4,261.8,10,Unbridled's Note,7.2,3.8,12.4,4,In Jeopardy,25.6,7.4,10-4-8-9,2474.2,8,Next Right Thing,2.2,10-4-8,677.2,7-4,354.0,4-5,112.4,4,On Fire Baby,9.4,5.8,20.2,,,,,,,5,And Why Not,6.6,4.4,4-5-6-10,5244.8,6,Glinda The Good,6.6,4-11,44.6,11-4,146.0,11,Delightful Magic,3.2,2.6,4.0,,,,,,,4,Little Bailey,31.0,13.0,11-4-6-7,24710.0,6,Flame Run,7.0,,,10-3,70.6,3-7,44.0,3,Miz Ida,4.0,3.4,8.4,7,Wicked Night,4.4,3.6,3-7-1-5,2558.4,1,Myriad,7.0,,,3-1,21.0,1-5,19.0,1,Gemologist,3.2,2.1,4.2,,,5,Timely Tally,4.8,2.6,1-5-2-7,87.0,2,Space Race,2.2,,,1-5,42.4,5-4,107.2,5,Back Spin,6.8,4.0,17.8,,,,,4,Ocean Bertie,5.4,3.4,5-4-8-10,2715.0,8,Sky High Lady,2.6,,,5-1,110.8,1-4,32.4,1,Good Deed,4.4,3.6,9.8,,,4,Swift Artist,3.0,2.6,1-4-3-2,1132.2,3,Amie's Dini,3.6,,,1-9,65.6,9-5,39.8,9,Wharton,4.0,3.6,8.0,,,5,Radiant Talent,4.2,3.0,9-5-10-7,2048.2,10,Catfidential,2.8,,,9-6,299.6,6-13,278.4,6,Starforce,19.4,11.6,43.6,,,,,13,Seve,5.6,4.0,6-13-2-3,14912.8,2,Godard,6.4,,,6-4,257.4,4-2,24.6,4,Motor City,3.4,2.4,8.2,,,2,Seven Lively Sins,3.0,2.2,4-2-7-3,227.8,7,Mr. Bowling,2.2,,,4-7,87.8,7-11,71.6,7,Laurie's Rocket,5.8,4.4,17.6,,,,,,,11,Sherp,3.0,3.2,7-11-3-5,2151.4,3,My Man Dan,3.4,,,2011-10-30
,,,,,,,,2-1,6.2,2,Walkin In A Shadow,2.1,2.1,3.4,1,Angel Socks,2.4,2.1,2-1-4-3,60.8,4,Emma's Holy Bee,2.8,2-1-4,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-5,4.8,5-4,8.4,5,Handsome Jack,2.2,2.1,2.6,4,Ready Set Whoa,3.8,2.8,5-4-1-2,73.8,1,Skilltopaythebills,4.6,,,5-2,7.8,2-1,21.2,2,Fantacious,3.4,2.4,7.0,,,,Fierce,3.8,2.8,2-1-5-7,310.6,5,My Daughter's Song,2.8,,,2-6,78.4,6-1,64.8,6,Primo,7.2,4.2,16.4,,,,,1,Hurricane Elvis,3.8,2.6,6-1-5-2,1099.2,5,Zulu Warrior,2.6,,,6-10,95.6,10-6,178.0,10,Court's Journey,6.2,4.6,11.2,,,6,Mckayla's Wish,18.8,10.4,10-6-5-7,8558.4,5,El Diablo,8.6,,,10-3,27.2,3-10,14.8,3,Maybelle Slew,2.6,2.4,4.6,,,10,This Time,4.8,3.0,3-10-4-7,392.0,4,Miss Ziggy,3.2,,,3-3,7.6,3-4,15.8,3,Homerun Berti,2.6,2.4,2.8,,,,,4,Evacuation Route,5.8,4.6,3-4-6-7,1129.4,6,Tanalian,7.0,,,3-5,5.0,5-3,13.4,5,Neck 'n Neck,2.1,2.1,2.6,,,3,Big Town,4.0,2.8,5-3-2-6,209.0,2,Quiet Man,3.8,,,5-9,12.0,9-4,71.8,9,Laope,5.0,5.0,8.6,,,,,,,4,Theodore's Cash,5.4,3.8,9-4-1-8,1853.2,1,Hometown Legend,5.4,,,2012-05-10
