Address,Cardiovascular,City,County,Emergency Services,Eye,Gastrointestinal,Genitourinary,Latitude,Longitude,Musculoskeletal,Name,Nervous System,Ownership,Phone Number,Provider ID,Skin,State,Type,ZIP Code
100 GROSS CRESCENT,14,FORT OGLETHORPE,CATOOSA,Yes,244,395,113,34.949143,-85.263105,76,HUTCHESON MEDICAL CENTER,710,Government - Hospital District or Authority,7068582101,110004,25,GA,Acute Care Hospitals,30742
1200 NORTHSIDE FORSYTH DRIVE,80,CUMMING,FORSYTH,Yes,874,5878,395,34.178776,-84.140695,1046,NORTHSIDE HOSPITAL FORSYTH,1841,Voluntary non-profit - Private,4048518700,110005,64,GA,Acute Care Hospitals,30041
1230 BAXTER STREET,159,ATHENS,CLARKE,Yes,287,1817,321,33.947691,-83.405571,831,ST MARY'S HOSPITAL,139,Voluntary non-profit - Private,7063893930,110006,41,GA,Acute Care Hospitals,30606
417 THIRD AVENUE,1076,ALBANY,DOUGHERTY,Yes,384,12938,928,31.590226,-84.15756,600,PHOEBE PUTNEY MEMORIAL HOSPITAL,35,Government - Hospital District or Authority,2293124068,110007,104,GA,Acute Care Hospitals,31703
1200 MEMORIAL DRIVE,169,DALTON,WHITFIELD,Yes,1,5383,407,34.789635,-84.983978,102,HAMILTON MEDICAL CENTER,8,Voluntary non-profit - Private,7062726105,110001,40,GA,Acute Care Hospitals,30720
801 W GORDON STREET,60,THOMASTON,UPSON,Yes,209,853,388,32.887188,-84.333889,132,UPSON REGIONAL MEDICAL CENTER,0,Voluntary non-profit - Other,7066478111,110002,22,GA,Acute Care Hospitals,30286
1900 TEBEAU STREET,25667,WAYCROSS,WARE,Yes,1114,3365,787,31.226729,-82.348288,1847,"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC",228,Voluntary non-profit - Private,9122872500,110003,2338,GA,Acute Care Hospitals,31501
2435 FOREST DR,648,COLUMBIA,RICHLAND,Yes,673,1234,5,34.013573,-81.012165,1449,SISTERS OF CHARITY PROVIDENCE HOSPITALS,61,Voluntary non-profit - Private,8032565300,420026,691,SC,Acute Care Hospitals,29204
14 PROSPECT STREET,134,MILFORD,WORCESTER,Yes,667,297,330,42.132872,-71.529072,596,MILFORD REGIONAL MEDICAL CENTER,0,Voluntary non-profit - Other,5084731190,220090,5,MA,Acute Care Hospitals,1757
811 WRIGHT STREET,1010,ARLINGTON,TARRANT,No,0,9,9,32.748238,-97.117033,2,TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,0,Proprietary,8179603500,670071,15,TX,Acute Care Hospitals,76012
