Affirmative,Apprehended,Arrived,Country,Criminal,Defensive Asylum,Inadmissable,Legal permanant residences.Birth,Legal permanant residences.Last Residence,Naturalizations (Birth),Non-criminal,Nonimmigrant Admissions.Birth,Nonimmigrant Admissions.Last Residence,Year
-1,1486,-1,Canada,462,4,41861,21878,29930,7815,1099,231171,527264,2005
-1,-1,-1,East Timor,-1,-1,-1,-1,-1,-1,-1,18,43,2005
-1,-1,-1,Sao Tome and Principe,-1,-1,-1,8,-1,-1,-1,80,79,2005
-1,-1,-1,Guernsey,-1,-1,-1,-1,-1,-1,-1,-1,-1,2005
21,0,-1,Turkmenistan,-1,13,7,148,-1,59,-1,600,572,2005
-1,-1,-1,Other South America,-1,-1,-1,-1,12,-1,-1,-1,-1,2005
26,122,-1,Serbia and Montenegro,35,228,170,5202,-1,5857,110,6835,3842,2005
36,228,0,Unknown,1,74,1546,5303,-1,1270,86,180054,612036,2005
-1,62,-1,Lithuania,16,5,89,2417,-1,887,50,12831,11505,2005
23,104,9,Cambodia,28,29,94,4022,-1,4806,23,4829,4696,2005
471,206,1663,Ethiopia,19,266,148,10571,8378,4621,75,7656,5927,2005
-1,-1,-1,Aruba,-1,-1,-1,42,-1,39,-1,-1,23792,2005
-1,-1,-1,Swaziland,-1,-1,19,16,-1,5,-1,462,521,2005
-1,296,-1,Argentina,95,10,571,7081,6945,1976,479,256680,235475,2005
3,329,-1,Bolivia,62,-1,266,2197,2164,1361,241,31606,28974,2005
393,45,6,Cameroon,8,263,178,1458,-1,661,53,7982,5318,2005
9,13,-1,Burkina Faso,3,5,46,128,-1,26,8,2169,1758,2005
4,165,-1,Ghana,76,4,330,6491,-1,3561,142,22988,17509,2005
5,40,-1,Saudi Arabia,5,6,115,1210,-1,397,15,20232,26217,2005
-1,-1,-1,Saint Helena,-1,-1,-1,-1,-1,-1,-1,-1,26,2005
-1,84,-1,Cape Verde,38,-1,32,1225,-1,933,9,2000,1559,2005
-1,-1,-1,Northern Mariana Islands,-1,-1,-1,-1,-1,-1,-1,-1,16,2005
-1,4,-1,Slovenia,3,-1,53,114,-1,58,5,15365,14173,2005
247,25909,-1,Guatemala,2143,140,1501,16818,16468,6250,12379,194638,200723,2005
127,67,-1,Guinea,24,257,103,495,-1,137,68,5190,3672,2005
28,309,0,Jordan,81,21,307,3748,5430,2464,142,23967,18325,2005
-1,-1,-1,Saint Barthelemy,-1,-1,-1,-1,-1,-1,-1,-1,-1,2005
-1,-1,-1,Cocos (Keeling) Island,-1,-1,-1,-1,-1,-1,-1,-1,11,2005
-1,43,-1,Spain,29,-1,1742,1888,2002,1256,37,507547,447603,2005
136,85,4289,Liberia,70,70,51,4880,1846,1548,28,1409,1132,2005
-1,10,-1,Netherlands,65,-1,26,116,2150,25,38,642261,44791,2005
9,1557,-1,Jamaica,1475,-1,1798,18345,17774,13674,548,222945,209813,2005
-1,-1,-1,Oman,-1,-1,11,101,-1,16,-1,2500,4363,2005
19,37,-1,Tanzania,5,7,88,829,-1,363,13,5051,4606,2005
-1,-1,-1,Martinique,-1,-1,-1,-1,-1,-1,-1,-1,6175,2005
-1,-1,-1,Bonaire,-1,-1,-1,-1,-1,-1,-1,-1,-1,2005
-1,-1,-1,Gabon,-1,-1,32,66,-1,18,-1,1775,1812,2005
-1,-1,-1,Niue,-1,0,-1,-1,-1,-1,-1,-1,21,2005
-1,-1,-1,Monaco,-1,-1,-1,7,-1,-1,-1,748,5345,2005
-1,-1,-1,Wallis and Futuna,-1,-1,-1,-1,-1,-1,-1,-1,243,2005
-1,25,-1,New Zealand,13,-1,948,1293,1457,444,22,231438,202453,2005
-1,67,-1,Yemen,23,10,51,3366,-1,814,53,1646,1468,2005
-1,-1,-1,Jersey,-1,-1,-1,-1,-1,-1,-1,-1,-1,2005
123,792,9,Pakistan,104,140,1461,14926,-1,9699,551,55976,40480,2005
93,253,-1,Albania,32,610,227,5947,-1,3830,204,8842,6619,2005
-1,20,-1,Samoa,15,-1,74,173,-1,165,6,1773,1473,2005
-1,22,-1,"Micronesia, Federated States",21,-1,24,6,-1,22,3,24470,15179,2005
-1,-1,-1,Macau,-1,-1,15,133,-1,195,-1,-1,3176,2005
-1,-1,-1,Norfolk Island,-1,-1,-1,-1,-1,-1,-1,-1,-1,2005
-1,33,-1,Australia,11,-1,851,3193,4090,1155,28,702108,653076,2005
-1,-1,-1,Guam,-1,-1,-1,-1,-1,-1,-1,-1,11081,2005
-1,-1,-1,Kosovo,-1,-1,-1,-1,-1,-1,-1,-1,-1,2005
72,770,-1,India,139,311,3153,84680,79139,35962,728,665260,496376,2005
34,16,299,Azerbaijan,-1,30,26,1523,-1,904,-1,2570,2467,2005
-1,-1,-1,Namibia,-1,-1,-1,63,-1,18,-1,1374,1464,2005
-1,-1,-1,Other America,-1,-1,-1,-1,1,-1,-1,-1,-1,2005
-1,-1,-1,Lesotho,-1,-1,-1,12,-1,4,-1,406,409,2005
-1,-1,-1,Congo (Brazzaville),-1,-1,-1,-1,-1,-1,-1,3223,2087,2005
-1,28,-1,Saint Vincent and the Grenadines,30,-1,104,625,-1,491,14,13952,9601,2005
0,6,-1,United Arab Emirates,0,-1,24,812,-1,197,-1,6929,28644,2005
131,146,-1,Kenya,36,54,201,5347,-1,1158,81,19244,17047,2005
0,8,-1,Tajikistan,-1,9,-1,207,-1,116,-1,762,727,2005
-1,-1,-1,Greenland,-1,-1,-1,-1,-1,-1,-1,-1,391,2005
16,392,-1,Turkey,26,12,328,4614,6449,2231,158,116470,100129,2005
14,55,902,Afghanistan,21,33,148,4749,-1,1464,16,1784,1090,2005
37,151,-1,Bangladesh,21,120,374,11487,-1,5503,124,14909,11364,2005
-1,-1,-1,Andorra,-1,-1,-1,-1,-1,-1,-1,825,1351,2005
44,33,3,Mauritania,0,193,40,275,-1,56,32,1339,868,2005
-1,-1,-1,Solomon Islands,-1,-1,0,3,-1,-1,-1,382,221,2005
-1,5,-1,Turks and Caicos Islands,0,-1,28,34,-1,21,3,-1,15770,2005
-1,44,-1,Saint Lucia,18,-1,116,832,-1,515,32,17566,16479,2005
-1,42,-1,Soviet Union (former),14,169,28,2899,-1,3668,8,-1,-1,2005
-1,-1,-1,Cyprus,-1,-1,32,196,-1,134,-1,9656,10976,2005
72,41,-1,Mongolia,-1,25,48,323,-1,41,-1,5956,5290,2005
-1,115,-1,France,45,-1,10397,4496,5035,2016,91,1309842,1125352,2005
51,5,183,Rwanda,-1,19,40,276,-1,123,-1,1639,1380,2005
-1,32,-1,Slovakia,5,-1,88,965,-1,362,32,25220,22687,2005
75,92,10405,Somalia,5,88,82,5829,-1,3238,35,328,89,2005
92,903,-1,Peru,304,59,1203,15676,15205,7904,916,216147,192201,2005
12,237,8517,Laos,4,19,55,1242,-1,5261,8,2336,2141,2005
-1,-1,-1,Nauru,-1,-1,-1,-1,-1,-1,-1,64,50,2005
-1,-1,-1,Seychelles,-1,-1,6,16,-1,8,-1,289,237,2005
-1,5,-1,Norway,3,-1,4201,423,472,136,5,163298,153800,2005
94,22,5,Cote d'Ivoire,6,111,139,930,-1,324,28,2381,1668,2005
-1,-1,-1,Cook Islands,-1,-1,-1,-1,-1,-1,-1,-1,523,2005
-1,9,-1,Benin,-1,-1,46,193,-1,56,-1,1932,1336,2005
-1,-1,-1,Korea,-1,-1,-1,-1,26002,-1,-1,-1,-1,2005
-1,-1,-1,Western Sahara,-1,-1,-1,-1,-1,-1,-1,-1,6,2005
71,4285,6360,Cuba,44,21,9043,36261,20651,11227,686,13443,14139,2005
-1,-1,-1,Not Specified,-1,-1,-1,-1,39299,-1,-1,-1,-1,2005
-1,-1,-1,Montenegro,-1,-1,-1,-1,-1,-1,-1,-1,-1,2005
204,12,72,Togo,4,102,58,1523,-1,291,23,1779,1390,2005
2235,2890,13,China,147,3014,4947,69933,64887,31708,1105,505479,285928,2005
163,82,86,Armenia,32,268,126,2591,-1,1737,88,5245,4905,2005
-1,-1,-1,Other Caribbean,-1,-1,-1,-1,12090,-1,-1,-1,-1,2005
-1,-1,-1,Congo (Kinshas),-1,-1,-1,-1,-1,-1,-1,192,177,2005
0,4586,-1,Dominican Republic,2308,-1,1556,27503,27365,20831,902,254113,253343,2005
-1,-1,-1,Other Central America,-1,-1,-1,-1,0,-1,-1,-1,-1,2005
62,154,2889,Ukraine,47,69,361,22745,-1,9343,121,41802,37124,2005
