city,days away,days away/restricted/transfer,division,id,label,major_group,name,second name,state,street,total case rate,year,zip
Cherry Hill,0.0,0.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",4222,Refrigerated Warehousing and Storage,Motor Freight Transportation And Warehousing,United States Cold Storage,US Cold,NJ,100 Dobbs Ln Ste 102,0.0,2002,8034
TOWNSEND,0.0,0.0,Manufacturing,3999,"Manufacturing Industries, Not Elsewhere Classified",Miscellaneous Manufacturing Industries,"CARILORZ CORP DBA JCA, INC.",J C A,MA,35 SCALES LN,0.0,2002,1469
COLUMBUS,6.33,12.66,Manufacturing,2035,"Pickled Fruits and Vegetables, Vegetable Sauces and Seasonings, and Salad Dressings",Food And Kindred Products,Lancaster Colony Corporation,Inn Maid Products,OH,3838 INDIANOLA AVENUE,12.66,2002,43214
Malden,5.53,8.3,Manufacturing,2673,"Plastics, Foil, and Coated Paper Bags",Paper And Allied Products,Ace-Lon Corporation,,MA,960 Eastern Avenue,11.06,2002,2148
Canton,2.4,2.4,Manufacturing,2431,Millwork,"Lumber And Wood Products, Except Furniture",New England Door Corporation,,MA,15 Campanelli Circle,2.4,2002,2021
SOMERVILLE,3.18,7.3,Manufacturing,2675,Die-Cut Paper and Paperboard and Cardboard,Paper And Allied Products,AMES SAFETY ENVELOPE COMPANY,AMES COLOR FILE DIV,MA,12 TYLER ST,9.74,2002,2143
Walpole,0.8,0.8,Manufacturing,2499,"Wood Products, Not Elsewhere Classified","Lumber And Wood Products, Except Furniture",Walpole Woodworkers Inc,,MA,767 East Street,28.0,2002,2081
CANTON,6.75,9.28,Manufacturing,3069,"Fabricated Rubber Products, Not Elsewhere Classified",Rubber And Miscellaneous Plastics Products,Plymouth Rubber Company Inc,,MA,104 REVERE ST,16.32,2002,2021
NORTH BILLERICA,0.0,5.2,Manufacturing,3089,"Plastics Products, Not Elsewhere Classified",Rubber And Miscellaneous Plastics Products,Spir-It Inc,,MA,159 RANGEWAY RD,10.41,2002,1862
GREENFIELD,3.62,3.62,Manufacturing,3499,"Fabricated Metal Products, Not Elsewhere Classified","Fabricated Metal Products, Except Machinery And Transportation Equipment",BETE FOG NOZZLE INC,,MA,50 GREENFIELD STREET,5.79,2002,1301
