Black or African American.Employment-Population Ratio.All,Black or African American.Employment-Population Ratio.Men,Black or African American.Employment-Population Ratio.Women,Black or African American.Participation Rate.All,Black or African American.Participation Rate.Men,Black or African American.Participation Rate.Women,Black or African American.Unemployment Rate.All,Black or African American.Unemployment Rate.Men,Black or African American.Unemployment Rate.Women,Civilian Labor Force.Asian.Counts,Civilian Labor Force.Black or African American.Counts.All,Civilian Labor Force.Black or African American.Counts.Men,Civilian Labor Force.Black or African American.Counts.Women,Civilian Labor Force.White.Counts.All,Civilian Labor Force.White.Counts.Men,Civilian Labor Force.White.Counts.Women,Civilian Noninstitutional Population.Asian,Civilian Noninstitutional Population.Black or African American,Civilian Noninstitutional Population.White,Employed.Asian.Counts,Employed.Asian.Unemployment Rate,Employed.Black or African American.Counts.All,Employed.Black or African American.Counts.Men,Employed.Black or African American.Counts.Women,Employed.White.Counts.All,Employed.White.Counts.Men,Employed.White.Counts.Women,Month,Month Name,Not In Labor Force.Asian,Not In Labor Force.Black or African American,Not In Labor Force.White,Participation Rate,Unemployed.Asian.Counts,Unemployed.Asian.Unemployment Rate,Unemployed.Black or African American.Counts.All,Unemployed.Black or African American.Counts.Men,Unemployed.Black or African American.Counts.Women,Unemployed.White.Counts.All,Unemployed.White.Counts.Men,Unemployed.White.Counts.Women,White.Employment-Population Ratio.All,White.Employment-Population Ratio.Men,White.Employment-Population Ratio.Women,White.Participation Rate.All,White.Participation Rate.Men,White.Participation Rate.Women,White.Unemployment Rate.All,White.Unemployment Rate.Men,White.Unemployment Rate.Women,Year
51.4,69.3,45.9,58.1,76.2,50.9,11.6,9.0,9.8,0,8334.0,4180.0,3498.0,75608.0,43514.0,25728.0,0,14332.0,126749.0,0,0,7367.0,3802.0,3156.0,71169.0,41418.0,24403.0,1,January,0,5998.0,0,0,0,0,967.0,378.0,343.0,4439.0,2096.0,1325.0,56.1,77.7,40.5,59.7,81.7,42.7,5.9,4.8,5.1,1972
51.9,70.8,46.2,58.7,77.7,50.7,11.5,8.8,8.9,0,8438.0,4271.0,3499.0,75710.0,43502.0,25788.0,0,14381.0,126976.0,0,0,7465.0,3894.0,3188.0,71310.0,41441.0,24517.0,2,February,0,5943.0,0,0,0,0,973.0,377.0,311.0,4400.0,2062.0,1271.0,56.2,77.6,40.6,59.6,81.5,42.7,5.8,4.7,4.9,1972
53.0,72.1,46.4,59.3,78.5,51.2,10.7,8.1,9.3,0,8544.0,4323.0,3533.0,76262.0,43812.0,25953.0,0,14401.0,127191.0,0,0,7626.0,3974.0,3204.0,72006.0,41849.0,24688.0,3,March,0,5857.0,0,0,0,0,918.0,349.0,329.0,4256.0,1963.0,1265.0,56.6,78.2,40.8,60.0,81.9,42.9,5.6,4.5,4.9,1972
53.4,72.9,46.8,58.8,78.3,50.6,9.2,6.9,7.4,0,8483.0,4330.0,3496.0,76256.0,43821.0,25816.0,0,14434.0,127372.0,0,0,7704.0,4032.0,3236.0,72378.0,42085.0,24589.0,4,April,0,5952.0,0,0,0,0,779.0,298.0,260.0,3878.0,1736.0,1227.0,56.8,78.5,40.6,59.9,81.7,42.7,5.1,4.0,4.8,1972
53.7,73.3,46.9,59.2,78.7,51.2,9.3,6.9,8.4,0,8572.0,4364.0,3542.0,76421.0,43843.0,25889.0,0,14486.0,127601.0,0,0,7775.0,4063.0,3245.0,72898.0,42319.0,24647.0,5,May,0,5914.0,0,0,0,0,797.0,302.0,297.0,3523.0,1525.0,1242.0,57.1,78.8,40.7,59.9,81.6,42.7,4.6,3.5,4.8,1972
54.9,74.7,46.4,62.2,79.9,51.5,11.8,6.4,10.0,0,9031.0,4436.0,3573.0,78436.0,44543.0,25447.0,0,14513.0,127831.0,0,0,7966.0,4150.0,3217.0,74116.0,42949.0,24171.0,6,June,0,5481.0,0,0,0,0,1066.0,286.0,356.0,4319.0,1594.0,1276.0,58.0,79.8,39.8,61.4,82.7,41.9,5.5,3.6,5.0,1972
55.2,73.2,45.8,62.6,79.7,50.4,11.8,8.2,9.2,0,9103.0,4444.0,3506.0,78928.0,44678.0,25296.0,0,14550.0,128039.0,0,0,8031.0,4079.0,3182.0,74855.0,43206.0,23933.0,7,July,0,5447.0,0,0,0,0,1072.0,365.0,324.0,4073.0,1471.0,1362.0,58.5,80.1,39.4,61.6,82.8,41.6,5.2,3.3,5.4,1972
55.3,73.9,45.5,61.6,79.2,50.1,10.3,6.8,9.2,0,8987.0,4424.0,3489.0,78802.0,44668.0,25594.0,0,14584.0,128239.0,0,0,8064.0,4125.0,3167.0,74887.0,43240.0,24152.0,8,August,0,5597.0,0,0,0,0,923.0,299.0,321.0,3915.0,1428.0,1442.0,58.4,80.1,39.7,61.4,82.7,42.0,5.0,3.2,5.6,1972
53.3,73.8,46.1,59.4,78.7,51.4,10.3,6.3,10.4,0,8685.0,4409.0,3589.0,77529.0,44411.0,26255.0,0,14625.0,128443.0,0,0,7788.0,4132.0,3216.0,73780.0,43089.0,24840.0,9,September,0,5940.0,0,0,0,0,897.0,277.0,372.0,3749.0,1322.0,1415.0,57.4,79.7,40.7,60.4,82.1,43.0,4.8,3.0,5.4,1972
53.8,74.3,46.5,59.7,78.8,51.7,9.9,5.7,9.9,0,8749.0,4421.0,3613.0,77922.0,44377.0,26619.0,0,14654.0,128637.0,0,0,7887.0,4170.0,3255.0,74325.0,42986.0,25307.0,10,October,0,5905.0,0,0,0,0,862.0,251.0,358.0,3597.0,1391.0,1312.0,57.8,79.3,41.4,60.6,81.9,43.6,4.6,3.1,4.9,1972
54.3,74.0,47.8,60.1,78.2,52.5,9.7,5.4,8.8,0,8809.0,4390.0,3681.0,77676.0,44223.0,26475.0,0,14661.0,128809.0,0,0,7958.0,4151.0,3357.0,74280.0,42892.0,25348.0,11,November,0,5853.0,0,0,0,0,851.0,239.0,324.0,3396.0,1331.0,1127.0,57.7,79.1,41.4,60.3,81.5,43.3,4.4,3.0,4.3,1972
54.4,73.6,48.1,59.6,77.9,51.8,8.7,5.6,7.1,0,8748.0,4378.0,3640.0,77762.0,44266.0,26480.0,0,14684.0,128993.0,0,0,7984.0,4134.0,3382.0,74445.0,42869.0,25443.0,12,December,0,5936.0,0,0,0,0,764.0,244.0,258.0,3317.0,1397.0,1037.0,57.7,78.9,41.5,60.3,81.4,43.2,4.3,3.2,3.9,1972
52.2,71.0,46.1,57.6,75.9,50.7,9.4,6.5,9.1,0,8479.0,4264.0,3576.0,76750.0,44097.0,26197.0,0,14724.0,129196.0,0,0,7682.0,3989.0,3252.0,72887.0,42374.0,24899.0,1,January,0,6244.0,0,0,0,0,797.0,275.0,324.0,3863.0,1723.0,1297.0,56.4,77.8,40.6,59.4,81.0,42.7,5.0,3.9,5.0,1973
53.3,72.2,46.9,59.0,77.5,51.6,9.7,6.8,9.0,0,8719.0,4361.0,3642.0,77471.0,44203.0,26549.0,0,14767.0,129369.0,0,0,7868.0,4064.0,3313.0,73496.0,42439.0,25298.0,2,February,0,6048.0,0,0,0,0,850.0,297.0,329.0,3975.0,1764.0,1250.0,56.8,77.9,41.2,59.9,81.1,43.2,5.1,4.0,4.7,1973
53.9,73.1,47.2,59.5,78.6,51.8,9.4,7.0,8.8,0,8800.0,4436.0,3653.0,77846.0,44402.0,26552.0,0,14787.0,129329.0,0,0,7969.0,4124.0,3332.0,74194.0,42787.0,25410.0,3,March,0,5987.0,0,0,0,0,830.0,312.0,321.0,3652.0,1615.0,1142.0,57.4,78.5,41.4,60.2,81.5,43.3,4.7,3.6,4.3,1973
53.8,73.3,47.1,59.4,78.3,51.3,9.3,6.5,8.2,0,8797.0,4427.0,3632.0,78030.0,44388.0,26652.0,0,14819.0,129523.0,0,0,7979.0,4140.0,3335.0,74687.0,42979.0,25585.0,4,April,0,6022.0,0,0,0,0,818.0,287.0,297.0,3343.0,1410.0,1067.0,57.7,78.7,41.6,60.2,81.3,43.4,4.3,3.2,4.0,1973
53.7,73.3,46.7,58.8,78.2,50.7,8.7,6.3,7.8,0,8736.0,4442.0,3590.0,78191.0,44414.0,26720.0,0,14853.0,129739.0,0,0,7975.0,4163.0,3311.0,75155.0,43163.0,25721.0,5,May,0,6118.0,0,0,0,0,761.0,279.0,279.0,3036.0,1251.0,999.0,57.9,78.9,41.8,60.3,81.2,43.4,3.9,2.8,3.7,1973
54.3,74.0,45.8,61.3,78.7,50.5,11.4,6.0,9.3,0,9140.0,4486.0,3588.0,80615.0,45114.0,26565.0,0,14907.0,129959.0,0,0,8099.0,4215.0,3255.0,76832.0,43837.0,25393.0,6,June,0,5767.0,0,0,0,0,1041.0,271.0,333.0,3783.0,1276.0,1172.0,59.1,80.0,41.2,62.0,82.3,43.1,4.7,2.8,4.4,1973
56.4,74.2,47.4,63.4,79.5,52.1,11.1,6.7,9.0,0,9471.0,4539.0,3715.0,80813.0,45268.0,26225.0,0,14931.0,130169.0,0,0,8424.0,4236.0,3379.0,77351.0,44128.0,25055.0,7,July,0,5460.0,0,0,0,0,1047.0,304.0,336.0,3461.0,1140.0,1171.0,59.4,80.4,40.6,62.1,82.5,42.5,4.3,2.5,4.5,1973
56.4,74.4,47.4,62.0,78.9,51.7,9.0,5.7,8.4,0,9276.0,4511.0,3700.0,80249.0,45176.0,26369.0,0,14966.0,130375.0,0,0,8446.0,4254.0,3388.0,76917.0,44017.0,25083.0,8,August,0,5690.0,0,0,0,0,830.0,257.0,311.0,3332.0,1158.0,1286.0,59.0,80.1,40.6,61.6,82.2,42.6,4.2,2.6,4.9,1973
54.1,73.9,47.2,59.9,78.0,52.0,9.6,5.3,9.2,0,8993.0,4475.0,3729.0,79450.0,44936.0,27179.0,0,15017.0,130604.0,0,0,8126.0,4239.0,3386.0,76173.0,43862.0,25884.0,9,September,0,6024.0,0,0,0,0,867.0,236.0,342.0,3277.0,1074.0,1295.0,58.3,79.7,41.8,60.8,81.6,43.9,4.1,2.4,4.8,1973
55.7,75.4,48.5,60.6,79.5,52.6,8.2,5.2,7.7,0,9122.0,4563.0,3778.0,80106.0,45009.0,27587.0,0,15051.0,130814.0,0,0,8377.0,4327.0,3489.0,77091.0,44002.0,26483.0,10,October,0,5929.0,0,0,0,0,745.0,236.0,289.0,3015.0,1007.0,1104.0,58.9,79.8,42.7,61.2,81.6,44.5,3.8,2.2,4.0,1973
55.1,74.8,47.9,60.5,78.8,52.6,8.9,5.1,8.8,0,9115.0,4536.0,3786.0,80241.0,44947.0,27762.0,0,15070.0,130996.0,0,0,8303.0,4306.0,3452.0,76996.0,43821.0,26646.0,11,November,0,5955.0,0,0,0,0,813.0,230.0,334.0,3244.0,1126.0,1117.0,58.8,79.3,42.9,61.3,81.4,44.7,4.0,2.5,4.0,1973
54.9,74.6,47.8,59.9,78.4,52.0,8.3,4.9,8.1,0,9051.0,4530.0,3758.0,80044.0,45016.0,27550.0,0,15118.0,131105.0,0,0,8297.0,4306.0,3454.0,76734.0,43692.0,26481.0,12,December,0,6066.0,0,0,0,0,754.0,224.0,304.0,3311.0,1324.0,1069.0,58.5,79.0,42.6,61.1,81.3,44.3,4.1,2.9,3.9,1973
53.6,72.6,46.8,59.5,78.1,51.3,9.9,7.1,8.7,0,9004.0,4516.0,3716.0,79460.0,45070.0,27220.0,0,15145.0,131295.0,0,0,8112.0,4196.0,3393.0,75376.0,43337.0,25892.0,1,January,0,6141.0,0,0,0,0,892.0,320.0,324.0,4084.0,1733.0,1328.0,57.4,78.2,41.6,60.5,81.3,43.8,5.1,3.8,4.9,1974
53.2,71.8,46.9,59.1,78.2,51.1,10.0,8.1,8.2,0,8971.0,4534.0,3713.0,79819.0,45067.0,27546.0,0,15172.0,131467.0,0,0,8072.0,4167.0,3410.0,75619.0,43259.0,26182.0,2,February,0,6200.0,0,0,0,0,899.0,367.0,303.0,4200.0,1808.0,1364.0,57.5,77.9,42.1,60.7,81.2,44.2,5.3,4.0,5.0,1974
52.8,71.7,46.4,59.0,77.9,50.7,9.9,7.9,7.3,0,8967.0,4517.0,3689.0,80014.0,45066.0,27707.0,0,15196.0,131675.0,0,0,8079.0,4158.0,3420.0,76170.0,43459.0,26434.0,3,March,0,6330.0,0,0,0,0,888.0,359.0,269.0,3844.0,1608.0,1273.0,57.8,78.2,42.4,60.8,81.1,44.4,4.8,3.6,4.6,1974
