General Order number,accredited to,awarded.date.day,awarded.date.month,awarded.date.year,birth.date.day,birth.date.month,birth.date.year,citation,company,death,division,entered service at,full,issued,latitude,link,location name,location.name,longitude,name,organization,rank
-1,,6,2,1865,-1,-1,-1,Under a heavy fire from the enemy carried off the field a commissioned officer who was severely wounded and also led a charge on the enemy's rifle pits.,Company B,True,1st New Jersey Cavalry,"Buffalo, N.Y.",1865-2-6,01/03/1906,38,http://www.cmohs.org/recipient-detail/1176/sagelhurst-john-c.php,"Buffalo, N.Y.","Hatchers Run Court, Stafford, VA 22554, USA",-77,"Sagelhurst, John C.",U.S. Army,Sergeant
-1,,3,5,1863,-1,-1,-1,Was one of a party which volunteered and attempted to run the enemy's batteries with a steam tug and 2 barges loaded with subsistence stores.,Company B,True,47th Ohio Infantry,"Adrian, Mich.",1863-5-3,01/03/1907,32,http://www.cmohs.org/recipient-detail/537/hack-john.php,"1843, Germany","Vicksburg, MS, USA",-90,"Hack, John",U.S. Army,Private
-1,,-1,-1,-1,-1,-1,-1,"Assumed command of a detachment of the company which had survived an overwhelming attack of the enemy, and by his bravery and untiring efforts and the exercise of extraordinary good judgment in the handling of his men successfully withstood for 2 days the attacks of a large force of the enemy, thereby saving the lives of the survivors and protecting the wounded until relief came.",Company H,True,43d Infantry,"Malden, Mass.",-1--1--1,01/04/1906,10,http://www.cmohs.org/recipient-detail/2211/carson-anthony-j.php,"Boston, Mass.","Leyte, Philippines",124,"Carson, Anthony J.",U.S. Army,Corporal
1,,10,6,1944,-1,-1,-1,"For conspicuous gallantry and intrepidity at the risk of his life, above and beyond the call of duty, on 10 June 1944, near Vaubadon, France. As scouts were advancing across an open field, the enemy suddenly opened fire with several machineguns and hit 1 of the men. S/Sgt. DeFranzo courageously moved out in the open to the aid of the wounded scout and was himself wounded but brought the man to safety. Refusing aid, S/Sgt. DeFranzo reentered the open field and led the advance upon the enemy. There were always at least 2 machineguns bringing unrelenting fire upon him, but S/Sgt. DeFranzo kept going forward, firing into the enemy and 1 by 1 the enemy emplacements became silent. While advancing he was again wounded, but continued on until he was within 100 yards of the enemy position and even as he fell, he kept firing his rifle and waving his men forward. When his company came up behind him, S/Sgt. DeFranzo, despite his many severe wounds, suddenly raised himself and once more moved forward in the lead of his men until he was again hit by enemy fire. In a final gesture of indomitable courage, he threw several grenades at the enemy machinegun position and completely destroyed the gun. In this action, S/Sgt. DeFranzo lost his life, but by bearing the brunt of the enemy fire in leading the attack, he prevented a delay in the assault which would have been of considerable benefit to the foe, and he made possible his company's advance with a minimum of casualties. The extraordinary heroism and magnificent devotion to duty displayed by S/Sgt. DeFranzo was a great inspiration to all about him, and is in keeping with the highest traditions of the armed forces.",,True,1st Infantry Division,"Saugus, Mass.",1944-6-10,01/04/1945,49,http://www.cmohs.org/recipient-detail/2710/defranzos-arthur-f.php,"Saugus, Mass.","14490 Vaubadon, France",0,"Defranzos, Arthur F.",U.S. Army,Staff Sergeant
1,,23,5,1944,-1,-1,-1,"For conspicuous gallantry and intrepidity at risk of life above and beyond the call of duty. Pfc. Kessler, acting without orders, raced 50 yards through a hail of machinegun fire, which had killed 5 of his comrades and halted the advance of his company, in order to form an assault group to destroy the machinegun. Ordering 3 men to act as a base of fire, he left the cover of a ditch and snaked his way to a point within 50 yards of the enemy machinegun before he was discovered, whereupon he plunged headlong into the furious chain of automatic fire. Reaching a spot within 6 feet of the emplacement he stood over it and killed both the gunner and his assistant, jumped into the gun position, overpowered and captured a third German after a short struggle. The remaining member of the crew escaped, but Pfc. Kessler wounded him as he ran. While taking his prisoner to the rear, this soldier saw 2 of his comrades killed as they assaulted an enemy strongpoint, fire from which had already killed 10 men in the company. Turning his prisoner over to another man, Pfc. Kessler crawled 35 yards to the side of 1 of the casualties, relieved him of his BAR and ammunition and continued on toward the strongpoint, 125 yards distant. Although 2 machineguns concentrated their fire directly on him and shells exploded within 10 yards, bowling him over, Pfc. Kessler crawled 75 yards, passing through an antipersonnel minefield to a point within 50 yards of the enemy and engaged the machineguns in a duel. When an artillery shell burst within a few feet of him, he left the cover of a ditch and advanced upon the position in a slow walk, firing his BAR from the hip. Although the enemy poured heavy machinegun and small arms fire at him, Pfc. Kessler succeeded in reaching the edge of their position, killed the gunners, and captured 13 Germans. Then, despite continuous shelling, he started to the rear. After going 25 yards, Pfc. Kessler was fired upon by 2 snipers only 100 yards away. Several of his prisoners took advantage of this opportunity and attempted to escape; however, Pfc. Kessler hit the ground, fired on either flank of his prisoners, forcing them to cover, and then engaged the 2 snipers in a fire fight, and captured them. With this last threat removed, Company K continued its advance, capturing its objective without further opposition. Pfc. Kessler was killed in a subsequent action.",Company K,True,"30th Infantry, 3d Infantry Division","Middletown, Ohio",1944-5-23,01/04/1945,43,http://www.cmohs.org/recipient-detail/2824/kessler-patrick-l.php,"Middletown, Ohio","50026 Ponte Rotto FI, Italy",11,"Kessler, Patrick L.",U.S. Army,Private First Class
1,,6,6,1944,-1,-1,-1,"For conspicuous gallantry and intrepidity above and beyond the call of duty on 6 June 1944, near Colleville-sur-Mer, France. On D-day, Technician 5th Grade Pinder landed on the coast 100 yards off shore under devastating enemy machinegun and artillery fire which caused severe casualties among the boatload. Carrying a vitally important radio, he struggled towards shore in waist-deep water. Only a few yards from his craft he was hit by enemy fire and was gravely wounded. Technician 5th Grade Pinder never stopped. He made shore and delivered the radio. Refusing to take cover afforded, or to accept medical attention for his wounds, Technician 5th Grade Pinder, though terribly weakened by loss of blood and in fierce pain, on 3 occasions went into the fire-swept surf to salvage communication equipment. He recovered many vital parts and equipment, including another workable radio. On the 3rd trip he was again hit, suffering machinegun bullet wounds in the legs. Still this valiant soldier would not stop for rest or medical attention. Remaining exposed to heavy enemy fire, growing steadily weaker, he aided in establishing the vital radio communication on the beach. While so engaged this dauntless soldier was hit for the third time and killed. The indomitable courage and personal bravery of Technician 5th Grade Pinder was a magnificent inspiration to the men with whom he served.",,True,"16th Infantry, 1st Infantry Division","Burgettstown, Pa.",1944-6-6,01/04/1945,49,http://www.cmohs.org/recipient-detail/2951/pinder-john-j-jr.php,"McKees Rocks, Pa.","Colleville-sur-Mer, France",0,"Pinder, John J., Jr.",U.S. Army,Technician Fifth Grade
1,,5,6,1944,11,8,1916,"For conspicuous gallantry and intrepidity above and beyond the call of duty on 5 June 1944, when he led a Heavy Bombardment Group, in an attack against defended enemy coastal positions in the vicinity of Wimereaux, France. Approaching the target, his aircraft was hit repeatedly by antiaircraft fire which seriously crippled the ship, killed the pilot, and wounded several members of the crew, including Lt. Col. Vance, whose right foot was practically severed. In spite of his injury, and with 3 engines lost to the flak, he led his formation over the target, bombing it successfully. After applying a tourniquet to his leg with the aid of the radar operator, Lt. Col. Vance, realizing that the ship was approaching a stall altitude with the 1 remaining engine failing, struggled to a semi-upright position beside the copilot and took over control of the ship. Cutting the power and feathering the last engine he put the aircraft in glide sufficiently steep to maintain his airspeed. Gradually losing altitude, he at last reached the English coast, whereupon he ordered all members of the crew to bail out as he knew they would all safely make land. But he received a message over the interphone system which led him to believe 1 of the crewmembers was unable to jump due to injuries; so he made the decision to ditch the ship in the channel, thereby giving this man a chance for life. To add further to the danger of ditching the ship in his crippled condition, there was a 500-pound bomb hung up in the bomb bay. Unable to climb into the seat vacated by the copilot, since his foot, hanging on to his leg by a few tendons, had become lodged behind the copilot's seat, he nevertheless made a successful ditching while lying on the floor using only aileron and elevators for control and the side window of the cockpit for visual reference. On coming to rest in the water the aircraft commenced to sink rapidly with Lt. Col. Vance pinned in the cockpit by the upper turret which had crashed in during the landing. As it was settling beneath the waves an explosion occurred which threw Lt. Col. Vance clear of the wreckage. After clinging to a piece of floating wreckage until he could muster enough strength to inflate his life vest he began searching for the crewmember whom he believed to be aboard. Failing to find anyone he began swimming and was found approximately 50 minutes later by an Air-Sea Rescue craft. By his extraordinary flying skill and gallant leadership, despite his grave injury, Lt. Col. Vance led his formation to a successful bombing of the assigned target and returned the crew to a point where they could bail out with safety. His gallant and valorous decision to ditch the aircraft in order to give the crewmember he believed to be aboard a chance for life exemplifies the highest traditions of the U.S. Armed Forces.",,True,489th Bomber Group,"Garden City, N.Y.",1944-6-5,01/04/1945,50,http://www.cmohs.org/recipient-detail/3033/vance-leon-r-jr.php," Enid, Okla.","Wimereux, France",1,"Vance, Leon R., Jr.",U.S. Army,Lieutenant Colonel
13,Kentucky,-1,-1,-1,10,3,1884,"On board the U.S.S. Bennington, 21 July 1905. Following the explosion of a boiler of that vessel, Boers displayed extraordinary heroism in the resulting action.",,True,,,-1--1--1,01/05/1906,-1,http://www.cmohs.org/recipient-detail/2350/boers-edward-william.php," Cincinnati, Ohio",,-1,"Boers, Edward William",U.S. Navy,Seaman
13,California,-1,-1,-1,18,10,1872,"Serving on board the U.S.S. Bennington for extraordinary heroism displayed at the time of the explosion of that vessel at San Diego, Calif., 21 July 1905.",,True,,,-1--1--1,01/05/1906,32,http://www.cmohs.org/recipient-detail/2354/brock-george-f.php," Cleveland, Ohio","San Diego, CA, USA",-117,"Brock, George F.",U.S. Navy,Carpenter's Mate Second Class
13,California,-1,-1,-1,16,5,1875,"On board the U.S.S. Bennington for extraordinary heroism displayed at the time of the explosion of a boiler of that vessel at San Diego, Calif., 21 July 1905.",,True,,,-1--1--1,01/05/1906,32,http://www.cmohs.org/recipient-detail/2357/clausey-john-j.php," San Francisco, Calif.","San Diego, CA, USA",-117,"Clausey, John J.",U.S. Navy,Chief Gunner's Mate
