amazon revenue,author revenue,average rating,genre,gross sales,name,publisher revenue,sale price,sales rank,sold by,total reviews,type,units sold
6832.0,6832.0,4.57,genre fiction,34160.0,Katherine Tegen Books,20496.0,4.88,1,HarperCollins Publishers,9604,big five,7000
2487.5,2487.5,4.47,genre fiction,12437.5,HarperCollins e-books,7462.5,1.99,2,HarperCollins Publishers,450,big five,6250
9559.0,9559.0,4.16,genre fiction,47795.0,(Small or Medium Publisher),28677.0,8.69,3,"Amazon Digital Services,  Inc.",30,small/medium,5500
8250.0,8250.0,3.84,fiction,41250.0,"Little, Brown and Company",24750.0,7.5,3,Hachette Book Group,3747,big five,5500
7590.5,7590.5,4.75,genre fiction,37952.5,Dutton Children's,22771.5,7.99,4,Penguin Group (USA) LLC,9174,big five,4750
12974.0,6986.0,4.05,genre fiction,19960.0,Thomas & Mercer,0.0,4.99,5,"Amazon Digital Services,  Inc.",40,amazon,4000
5498.334,5498.334,3.16,genre fiction,27491.67,Katherine Tegen Books,16495.002,6.99,6,HarperCollins Publishers,7026,big five,3933
5236.4,5236.4,4.31,nonfiction,26182.0,Center Street,15709.2,6.89,8,Hachette Book Group,369,big five,3800
5218.734,5218.734,4.58,genre fiction,26093.67,Katherine Tegen Books,15656.202,6.99,9,HarperCollins Publishers,5926,big five,3733
4758.468,4758.468,4.52,genre fiction,23792.34,Doubleday,14275.404,6.49,10,Random House LLC,7132,big five,3666
11676.6,6287.4,4.51,genre fiction,17964.0,Thomas & Mercer,0.0,4.99,11,"Amazon Digital Services,  Inc.",39,amazon,3600
4312.8,4312.8,4.31,fiction,21564.0,Putnam Adult,12938.4,5.99,11,Penguin Group (USA) LLC,5113,big five,3600
2230.371,1200.969,4.11,genre fiction,3431.34,(Indie Publisher),0.0,0.99,13,"Amazon Digital Services,  Inc.",182,indie,3466
1379.468,1379.468,4.59,genre fiction,6897.34,William Morrow Paperbacks,4138.404,1.99,13,HarperCollins Publishers,2508,big five,3466
4359.564,4359.564,4.64,genre fiction,21797.82,Knopf Books for Young Readers,13078.692,6.54,15,Random House LLC,7953,big five,3333
10593.271,5704.069,4.1,genre fiction,16297.34,Thomas & Mercer,0.0,4.99,16,"Amazon Digital Services,  Inc.",890,amazon,3266
10379.2,5588.8,4.5,genre fiction,15968.0,Skyscape,0.0,4.99,17,"Amazon Digital Services,  Inc.",36,amazon,3200
10379.2,5588.8,3.87,genre fiction,15968.0,Amazon Publishing,0.0,4.99,17,"Amazon Digital Services,  Inc.",16,amazon,3200
1246.934,1246.934,4.49,genre fiction,6234.67,Simon & Schuster,3740.802,1.99,18,Simon and Schuster Digital Sales Inc,1734,big five,3133
1972.971,1062.369,4.63,genre fiction,3035.34,(Indie Publisher),0.0,0.99,19,"Amazon Digital Services,  Inc.",113,indie,3066
7606.7355,4095.9345,4.43,genre fiction,11702.67,Amazon Publishing,0.0,3.99,21,"Amazon Digital Services,  Inc.",2747,amazon,2933
2570.802,5998.538,4.55,genre fiction,8569.34,(Indie Publisher),0.0,2.99,22,"Amazon Digital Services,  Inc.",640,indie,2866
1801.8,970.2,4.38,genre fiction,2772.0,(Indie Publisher),0.0,0.99,23,"Amazon Digital Services,  Inc.",149,indie,2800
2451.501,5720.169,4.02,genre fiction,8171.67,(Indie Publisher),0.0,2.99,24,"Amazon Digital Services,  Inc.",231,indie,2733
527.868,527.868,4.36,genre fiction,2639.34,(Single-Author Publisher),1583.604,0.99,25,"Amazon Digital Services,  Inc.",611,single author,2666
2332.2,5441.8,4.62,genre fiction,7774.0,(Indie Publisher),0.0,2.99,26,"Amazon Digital Services,  Inc.",229,indie,2600
5380.812,5380.812,4.4,genre fiction,26904.06,Viking Adult,16142.436,10.91,28,Penguin Group (USA) LLC,701,big five,2466
1544.4,831.6,4.71,genre fiction,2376.0,(Indie Publisher),0.0,0.99,29,"Amazon Digital Services,  Inc.",84,indie,2400
1915.2,1915.2,4.63,nonfiction,9576.0,"Little, Brown and Company",5745.6,3.99,29,Hachette Book Group,5369,big five,2400
2792.601,6516.069,4.67,genre fiction,9308.67,(Indie Publisher),0.0,3.99,30,"Amazon Digital Services,  Inc.",129,indie,2333
2931.071,1578.269,4.25,genre fiction,4509.34,Montlake Romance,0.0,1.99,31,"Amazon Digital Services,  Inc.",111,amazon,2266
1415.7,762.3,4.67,genre fiction,2178.0,(Indie Publisher),0.0,0.99,32,"Amazon Digital Services,  Inc.",161,indie,2200
2635.6,2635.6,4.19,genre fiction,13178.0,William Morrow,7906.8,5.99,32,HarperCollins Publishers,308,big five,2200
409.068,409.068,4.62,nonfiction,2045.34,HarperPerennial Classics,1227.204,0.99,34,HarperCollins Publishers,1490,big five,2066
3596.0,3596.0,3.77,genre fiction,17980.0,Crown,10788.0,8.99,35,Random House LLC,16062,big five,2000
1276.704,687.456,4.34,genre fiction,1964.16,(Indie Publisher),0.0,0.99,36,"Amazon Digital Services,  Inc.",1684,indie,1984
392.832,392.832,4.53,genre fiction,1964.16,(Single-Author Publisher),1178.496,0.99,36,"Amazon Digital Services,  Inc.",66,single author,1984
1267.0515,682.2585,4.85,genre fiction,1949.31,(Indie Publisher),0.0,0.99,37,"Amazon Digital Services,  Inc.",14,indie,1969
1267.0515,682.2585,4.67,genre fiction,1949.31,(Indie Publisher),0.0,0.99,37,"Amazon Digital Services,  Inc.",28,indie,1969
4061.91,4061.91,4.31,genre fiction,20309.55,Random House,12185.73,10.65,41,Random House LLC,66,big five,1907
1217.502,655.578,4.28,genre fiction,1873.08,(Indie Publisher),0.0,0.99,42,"Amazon Digital Services,  Inc.",76,indie,1892
