ADA Accessible,ansi usable,city,congressional district,county,date,history.status,history.type,id,line 1,line 2,owned or leased,parking spaces,region id,state,status,type,zip
Will Conform,97884,HARTFORD,1,HARTFORD,1-Jan-33,National Register Listed,Field Not In Use,CT0013,135 HIGH ST, ,OWNED,29,1,CT,ACTIVE,BUILDING,61031125
Will Conform,69037,NEW HAVEN,3,NEW HAVEN,1-Jan-19,National Register Listed,Field Not In Use,CT0024,141 CHURCH ST,U.S. COURTHOUSE,OWNED,0,1,CT,ACTIVE,BUILDING,65102001
Will Conform,7442,WATERBURY,5,NEW HAVEN,1-Jan-33,National Register Listed,Field Not In Use,CT0047,135 GRAND ST, ,LEASED,2,1,CT,ACTIVE,BUILDING,67029998
Will Conform,198,WILLIMANTIC,2,WINDHAM,1-Jan-11,Not Evaluated,Field Not In Use,CT0049,919 MAIN STREET, ,LEASED,0,1,CT,ACTIVE,BUILDING,62269998
Will Conform,202948,HARTFORD,1,HARTFORD,1-Jan-63,Evaluated - Not Historic,Field Not In Use,CT0053,450 MAIN ST, ,OWNED,103,1,CT,ACTIVE,BUILDING,61033022
Will Conform,86833,BRIDGEPORT,4,FAIRFIELD,1-Jan-67,Not Evaluated,Field Not In Use,CT0059,915 LAFAYETTE BLVD, ,OWNED,131,1,CT,ACTIVE,BUILDING,66044706
Will Conform,5052,TORRINGTON,5,LITCHFIELD,1-Jan-69,Not Evaluated,Field Not In Use,CT0060,LITCHFIELD ST, ,OWNED,5,1,CT,ACTIVE,BUILDING,67906407
Will Conform,83741,NEW HAVEN,3,NEW HAVEN,1-Jan-77,Not Evaluated,Field Not In Use,CT0061,150 COURT ST, ,OWNED,74,1,CT,ACTIVE,BUILDING,65102022
Will Conform,34889,EAST HARTFORD,1,HARTFORD,0,Not Evaluated,Field Not In Use,CT3316,130 DARLIN ST, ,LEASED,159,1,CT,ACTIVE,BUILDING,61083234
Will Conform,5020,STAMFORD,4,FAIRFIELD,0,Not Evaluated,Field Not In Use,CT3319,101 BROAD ST, ,LEASED,8,1,CT,ACTIVE,BUILDING,69012797
Will Conform,5045,MIDDLETOWN,3,MIDDLESEX,0,Not Evaluated,Field Not In Use,CT3322,425 MAIN STREET, ,LEASED,1,1,CT,ACTIVE,BUILDING,64573347
