A minus.Math,A minus.Test-takers,A minus.Verbal,A plus.Math,A plus.Test-takers,A plus.Verbal,A.Math,A.Test-takers,A.Verbal,Arts/Music.Average GPA,Arts/Music.Average Years,B.Math,B.Test-takers,B.Verbal,Between 20-40k.Math,Between 20-40k.Test-takers,Between 20-40k.Verbal,Between 200 to 300.Math.Females,Between 200 to 300.Math.Males,Between 200 to 300.Math.Total,Between 200 to 300.Verbal.Females,Between 200 to 300.Verbal.Males,Between 200 to 300.Verbal.Total,Between 300 to 400.Math.Females,Between 300 to 400.Math.Males,Between 300 to 400.Math.Total,Between 300 to 400.Verbal.Females,Between 300 to 400.Verbal.Males,Between 300 to 400.Verbal.Total,Between 40-60k.Math,Between 40-60k.Test-takers,Between 40-60k.Verbal,Between 400 to 500.Math.Females,Between 400 to 500.Math.Males,Between 400 to 500.Math.Total,Between 400 to 500.Verbal.Females,Between 400 to 500.Verbal.Males,Between 400 to 500.Verbal.Total,Between 500 to 600.Math.Females,Between 500 to 600.Math.Males,Between 500 to 600.Math.Total,Between 500 to 600.Verbal.Females,Between 500 to 600.Verbal.Males,Between 500 to 600.Verbal.Total,Between 60-80k.Math,Between 60-80k.Test-takers,Between 60-80k.Verbal,Between 600 to 700.Math.Females,Between 600 to 700.Math.Males,Between 600 to 700.Math.Total,Between 600 to 700.Verbal.Females,Between 600 to 700.Verbal.Males,Between 600 to 700.Verbal.Total,Between 700 to 800.Math.Females,Between 700 to 800.Math.Males,Between 700 to 800.Math.Total,Between 700 to 800.Verbal.Females,Between 700 to 800.Verbal.Males,Between 700 to 800.Verbal.Total,Between 80-100k.Math,Between 80-100k.Test-takers,Between 80-100k.Verbal,C.Math,C.Test-takers,C.Verbal,Code,D or lower.Math,D or lower.Test-takers,D or lower.Verbal,English.Average GPA,English.Average Years,Female.Math,Female.Test-takers,Female.Verbal,Foreign Languages.Average GPA,Foreign Languages.Average Years,Less than 20k.Math,Less than 20k.Test-takers,Less than 20k.Verbal,Male.Math,Male.Test-takers,Male.Verbal,Math,Mathematics.Average GPA,Mathematics.Average Years,More than 100k.Math,More than 100k.Test-takers,More than 100k.Verbal,Name,Natural Sciences.Average GPA,Natural Sciences.Average Years,No response.Math,No response.Test-takers,No response.Verbal,Social Sciences/History.Average GPA,Social Sciences/History.Average Years,Test-takers,Verbal,Year
569,724,575,622,563,623,600,1032,608,3.92,2.2,514,1253,525,513,324,527,22,10,32,14,17,31,173,93,266,123,84,207,539,442,551,514,293,807,430,332,762,722,614,1336,690,617,1307,550,473,564,485,611,1096,596,613,1209,156,292,448,219,250,469,566,475,577,436,188,451,AL,0,0,0,3.53,3.9,538,2072,561,3.54,2.6,462,175,474,582,1913,574,559,3.41,4.0,588,980,590,Alabama,3.52,3.9,0,225,0,3.59,3.9,3985,567,2005
544,673,546,600,173,604,580,671,578,3.76,1.9,492,1622,499,492,401,500,30,20,50,26,26,52,233,153,386,218,171,389,517,539,522,696,485,1181,656,552,1208,813,616,1429,729,596,1325,513,603,519,342,445,787,423,375,798,47,116,163,109,115,224,528,444,534,466,418,472,AK,424,12,466,3.35,3.9,505,2161,521,3.34,2.1,464,191,467,535,1835,526,519,3.06,3.5,541,540,544,Alaska,3.25,3.2,0,427,0,3.39,3.4,3996,523,2005
541,3334,535,605,1684,593,571,3854,563,3.85,2.1,498,7193,499,498,2121,495,119,72,191,115,86,201,881,450,1331,739,613,1352,520,2270,518,3215,1948,5163,3048,2398,5446,3576,3152,6728,3661,3101,6762,524,2372,523,1688,2126,3814,1831,1679,3510,327,630,957,412,501,913,534,1866,533,458,1184,464,AZ,439,16,435,3.45,3.9,513,9806,522,3.41,2.6,485,891,474,549,8378,531,530,3.25,3.9,554,3083,546,Arizona,3.43,3.4,0,919,0,3.55,3.3,18184,526,2005
559,298,572,629,273,639,579,457,583,3.9,2.2,492,437,511,513,180,526,12,7,19,9,3,12,68,31,99,46,42,88,543,245,555,210,137,347,183,141,324,316,244,560,302,236,538,553,227,570,204,239,443,242,226,468,49,83,132,77,93,170,570,147,580,419,57,436,AR,0,0,0,3.61,4.0,536,859,558,3.64,2.6,489,107,486,570,741,570,552,3.46,4.1,572,314,589,Arkansas,3.55,3.7,0,78,0,3.67,3.6,1600,563,2005
562,30545,538,625,7502,603,592,25546,565,3.76,1.8,494,84659,480,477,26161,458,2978,1453,4431,3382,2433,5815,14595,7159,21754,15386,10784,26170,506,18347,494,31530,20172,51702,32897,25260,58157,30765,26052,56817,30190,25399,55589,521,17937,511,17625,19980,37605,16078,14966,31044,5451,8792,14243,5011,4766,9777,535,14120,525,434,18839,427,CA,419,240,408,3.32,3.8,504,102944,499,3.29,2.8,451,19323,421,543,83608,510,522,3.05,3.7,566,27984,551,California,3.2,3.2,0,19221,0,3.38,3.3,186552,504,2005
573,2323,570,627,1098,614,602,2736,598,3.88,2.2,526,4312,529,533,948,535,40,24,64,39,22,61,313,202,515,257,212,469,543,1287,548,1529,927,2456,1343,1140,2483,2524,1889,4413,2529,2125,4654,553,1550,552,1619,1864,3483,1708,1610,3318,382,677,1059,531,474,1005,562,1427,560,484,732,489,CO,457,12,462,3.49,4.0,546,6407,558,3.41,3.1,514,324,505,577,5583,561,560,3.33,3.9,574,2662,568,Colorado,3.43,3.7,0,777,0,3.56,3.7,11990,560,2005
585,4742,577,652,497,643,616,2646,606,3.66,2.1,506,17108,506,463,2958,467,669,368,1037,460,435,895,2540,1583,4123,2128,1698,3826,493,3186,499,5181,4108,9289,5288,4769,10057,5533,5208,10741,5729,5276,11005,507,3772,511,3108,3714,6822,3306,3215,6521,826,1475,2301,946,1063,2009,523,3018,523,431,4338,442,CT,395,105,407,3.13,3.9,502,17857,513,3.03,3.1,434,1612,426,534,16456,520,517,3.0,3.8,565,5952,559,Connecticut,3.07,3.5,0,4877,0,3.18,3.6,34313,517,2005
534,1000,532,593,311,585,558,956,556,3.71,1.8,481,2718,482,449,762,454,104,61,165,110,83,193,593,329,922,466,376,842,481,802,487,1157,786,1943,1163,870,2033,1005,909,1914,1020,866,1886,497,833,501,460,550,1010,523,473,996,109,194,303,146,161,307,512,592,510,422,731,430,DE,392,19,399,3.21,3.9,486,3428,498,3.18,2.7,411,373,410,521,2829,508,502,3.07,3.8,554,939,550,Delaware,3.19,3.6,0,522,0,3.3,3.6,6257,503,2005
566,437,574,584,60,578,559,316,570,3.54,1.8,466,1493,479,391,487,404,257,141,398,199,133,332,571,347,918,530,320,850,433,246,454,423,308,731,439,376,815,284,303,587,283,279,562,470,199,482,277,332,609,280,349,629,137,242,379,218,216,434,539,161,549,370,643,386,DC,323,13,377,3.03,3.8,451,1949,475,3.04,2.7,374,535,377,509,1673,508,478,2.91,3.7,608,546,622,District Of Columbia,2.99,3.3,0,660,0,3.11,3.4,3622,490,2005
530,14006,526,597,5958,589,554,15418,550,3.77,1.8,474,41559,476,471,14713,473,1436,866,2302,1256,1173,2429,8463,4955,13418,6947,5555,12502,492,12010,496,18249,12184,30433,18062,13955,32017,15608,14074,29682,16153,13323,29476,504,10455,505,6231,7964,14195,7145,6671,13816,1147,2328,3475,1571,1694,3265,516,7196,517,420,9420,426,FL,395,111,408,3.29,3.8,484,51134,496,3.3,2.4,433,8728,431,516,42371,502,498,3.07,3.8,544,10939,538,Florida,3.27,3.5,0,7033,0,3.39,3.5,93505,498,2005
533,9305,530,612,2618,607,564,9098,559,3.8,1.8,471,29098,474,459,8476,462,1065,665,1730,828,760,1588,5383,3244,8627,4649,3725,8374,482,7755,487,11657,8092,19749,11550,8986,20536,9605,8869,18474,9776,8591,18367,499,7377,503,3837,5044,8881,4455,4330,8785,793,1588,2381,1082,1110,2192,516,5196,517,418,5573,425,GA,376,74,403,3.3,3.8,482,32340,493,3.31,2.4,425,5003,423,514,27502,501,496,3.12,3.9,546,8345,541,Georgia,3.22,3.4,0,4076,0,3.38,3.6,59842,497,2005
