abandoned,air traffic control tower,belltower,bridge,casino,city,city_id,commercial,completed.year,country,country id,current,education,exhibition,floors above,government,height,hospital,hotel,id,industrial,is completed,is started,latitude,library,longitude,material,multiple,museum,name,number of purposes,observation,office,other,rank,religious,residential,retail,serviced apartments,started.year,telecommunications
False,False,False,False,False,Chicago,1539,False,0,US,163,vision,False,False,528,True,1609.3599853516,False,True,12,False,False,False,0,False,0,steel,False,False,The Illinois,4,False,True,False,1,False,True,False,False,0,False
False,False,False,False,False,Chicago,1539,False,0,US,163,never completed,False,False,150,False,609.59997558594,False,False,62,False,False,True,41.889888763428,False,-87.614860534668,composite,False,False,Chicago Spire,1,False,False,False,2,False,True,False,False,2007,False
False,False,False,False,False,Chicago,1539,False,0,US,163,vision,False,False,125,False,609.48999023438,False,False,68,False,False,False,41.881618499756,False,-87.634353637695,composite,True,False,Miglin-Beitler Skyneedle,1,False,False,False,3,False,False,False,False,0,False
False,False,False,False,False,New York City,1641,False,2014,US,163,completed,False,False,94,False,541.29998779297,False,False,98,False,True,True,40.713111877441,False,-74.01335144043,composite,False,False,One World Trade Center,1,False,True,False,4,False,False,False,False,2006,False
False,False,False,False,False,New York City,1641,False,2019,US,163,under construction,False,False,95,False,541.02001953125,False,True,14269,False,True,True,40.766361236572,False,-73.980949401855,concrete,False,False,Central Park Tower,3,False,False,False,5,False,True,True,False,2014,False
False,False,False,False,False,New York City,1641,False,0,US,163,vision,False,False,132,False,518,False,False,16334,False,False,False,40.759258270264,False,-73.989471435547,steel,False,False,World Trade Building,1,False,True,False,6,False,False,False,False,0,False
False,False,False,False,False,Chicago,1539,False,0,US,163,vision,False,False,112,False,477.54998779297,False,False,139,False,False,False,41.881679534912,False,-87.62890625,concrete,False,False,7 South Dearborn,2,False,True,False,7,False,True,False,False,0,False
False,False,False,False,False,Chicago,1539,False,1974,US,163,completed,False,False,108,False,442.14001464844,False,False,169,False,True,True,41.878868103027,False,-87.635948181152,steel,False,False,Willis Tower,1,False,True,False,8,False,False,False,False,1970,False
False,False,False,False,False,New York City,1641,False,2018,US,163,under construction,False,False,80,False,438.29998779297,False,False,14320,False,True,True,40.764801025391,False,-73.977546691895,concrete,False,False,111 West 57th Street,1,False,False,False,9,False,True,False,False,2015,False
False,False,False,False,False,Houston,1593,False,0,US,163,vision,False,False,82,False,427.86999511719,False,False,187,False,False,False,29.75864982605,False,-95.366813659668,composite,False,False,Bank of Southwest Tower,1,False,True,False,10,False,False,False,False,0,False
False,False,False,False,False,New York City,1641,False,2015,US,163,completed,False,False,85,False,425.5,False,False,13227,False,True,True,40.761558532715,False,-73.971862792969,concrete,False,False,432 Park Avenue,1,False,False,False,11,False,True,False,False,2011,False
False,False,False,False,False,Chicago,1539,False,2009,US,163,completed,False,False,98,False,423.2200012207,False,True,203,False,True,True,41.888870239258,False,-87.626426696777,concrete,False,False,Trump International Hotel & Tower,2,False,False,False,12,False,True,False,False,2005,False
False,False,False,False,False,New York City,1641,False,1972,US,163,demolished,False,False,110,False,417,False,False,200,False,True,True,40.712089538574,False,-74.013221740723,steel,False,False,One World Trade Center,1,False,True,False,13,False,False,False,False,1966,False
False,False,False,False,False,New York City,1641,False,1973,US,163,demolished,False,False,110,False,415.14001464844,False,False,202,False,True,True,40.710990905762,False,-74.013130187988,steel,False,False,Two World Trade Center,1,False,True,False,14,False,False,False,False,1966,False
False,False,False,False,False,New York City,1641,False,0,US,163,never completed,False,False,79,False,411,False,False,209,False,False,True,40.712139129639,False,-74.011268615723,composite,False,False,2 World Trade Center,1,False,True,False,15,False,False,False,False,2010,False
False,False,False,False,False,New York City,1641,False,2020,US,163,proposed,False,False,82,False,403.25,False,False,19928,False,True,True,40.712139129639,False,-74.011268615723,composite,False,False,2 World Trade Center,1,False,True,False,16,False,False,False,False,2016,False
False,False,False,False,False,New York City,1641,False,2019,US,163,under construction,False,False,73,False,386.60998535156,False,False,13325,False,True,True,40.754020690918,False,-74.000831604004,steel/concrete,False,False,30 Hudson Yards,1,False,True,False,17,False,False,False,False,2014,False
