Country,Economic Effectiveness,Economic Legitimacy,Effectiveness Score,Legitimacy Score,Political Effectiveness,Political Legitimacy,Security Effectiveness,Security Legitimacy,Social Effectiveness,Social Legitimacy,State Fragility Index,Year
Afghanistan,4,3,13,12,3,3,3,3,3,3,25,1995
Afghanistan,4,3,12,12,2,3,3,3,3,3,24,1996
Afghanistan,4,3,12,12,2,3,3,3,3,3,24,1997
Afghanistan,4,3,12,12,2,3,3,3,3,3,24,1998
Afghanistan,4,3,12,12,2,3,3,3,3,3,24,1999
Afghanistan,4,3,12,12,2,3,3,3,3,3,24,2000
Afghanistan,4,3,12,12,2,3,3,3,3,3,24,2001
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2002
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2003
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2004
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2005
Afghanistan,4,3,12,9,2,0,3,3,3,3,21,2006
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2007
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2008
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2009
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2010
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2011
Afghanistan,4,3,12,10,2,1,3,3,3,3,22,2012
Afghanistan,4,3,11,10,2,1,3,3,2,3,21,2013
Afghanistan,4,3,11,10,2,1,3,3,2,3,21,2014
Albania,2,0,4,4,1,1,0,1,1,2,8,1995
Albania,2,0,4,4,1,1,0,1,1,2,8,1996
Albania,2,0,5,4,1,0,1,2,1,2,9,1997
Albania,2,0,6,2,2,0,1,1,1,1,8,1998
Albania,2,0,5,2,2,0,0,1,1,1,7,1999
Albania,2,0,5,2,2,0,0,1,1,1,7,2000
Albania,2,0,5,2,2,0,0,1,1,1,7,2001
Albania,2,0,6,1,2,0,1,1,1,0,7,2002
Albania,2,0,5,2,2,0,0,1,1,1,7,2003
Albania,2,0,5,2,2,0,0,1,1,1,7,2004
Albania,2,0,4,1,2,0,0,1,0,0,5,2005
Albania,2,0,4,1,2,0,0,1,0,0,5,2006
Albania,2,0,3,1,1,0,0,1,0,0,4,2007
Albania,1,0,2,1,1,0,0,1,0,0,3,2008
Albania,1,0,2,1,1,0,0,1,0,0,3,2009
Albania,1,0,2,1,1,0,0,1,0,0,3,2010
Albania,1,0,2,1,1,0,0,1,0,0,3,2011
