# killed,# wounded,age,assassination?,attacker.name,birth.location,birth.year,campaign.name,country,day,education,gender,location,marital,month,occupation,religion,target.name,type,weapon,year
115,28,15,False,Ahmad Qasiraka Haider,Lebanon,1967,Hezbollah vs. Israel,Lebanon,11,Primary,Male,"Lebanon, TyreLiban-Sud",Unknown,11,Unskilled,Secular,Israeli Defense Forces (IDF) headquarters,Security,Car bomb,1982
60,120,-1,False,Unknown,Unknown,-1,Hezbollah vs. U.S. & France,Lebanon,18,Unknown,Unknown,"Lebanon, BeirutBeyrouth",Unknown,4,Unknown,Unknown,U.S. Embassy in Lebanon,Political,Car bomb,1983
58,88,24,False,Abu Sijanaka Abu Sijaan,Unknown,1959,Hezbollah vs. U.S. & France,Lebanon,23,Unknown,Male,"Lebanon, BeirutBeyrouth",Unknown,10,Unknown,Unknown,Barracks for French Paratroopers,Security,Truck bomb,1983
230,88,26,False,Abu Mazinaka Abu Mazen,Unknown,1957,Hezbollah vs. U.S. & France,Lebanon,23,Unknown,Male,"Lebanon, BeirutBeyrouth",Unknown,10,Unknown,Unknown,US Marine Barracks,Security,Truck bomb,1983
60,10,-1,False,Mohammad,Unknown,-1,Hezbollah vs. Israel,Lebanon,4,Unknown,Male,"Lebanon, TyreLiban-Sud",Unknown,11,Unknown,Unknown,Israeli Defense Forces (IDF) Headquarters,Security,Truck bomb,1983
6,62,25,False,Ra'ed Muqbelaka Raed Mukbil,Iraq,1958,Hezbollah vs. U.S. & France,Kuwait,12,Unknown,Male,"Kuwait, Kuwait CityAl Kuwayt",Unknown,12,Skilled,Muslim (Shia),US Embassy,Political,Truck bomb,1983
6,4,19,False,Ali Safieddine,Lebanon,1965,Hezbollah vs. Israel,Lebanon,12,Unknown,Male,"Lebanon, Deir Qanoun el NahrLiban-Sud",Unknown,4,Unknown,Muslim (Shia),Israeli Defense Forces (IDF) military convoy,Security,Truck bomb,1984
0,5,17,False,Bilal Fahsaka Bilal Fahes,Lebanon,1967,Hezbollah vs. Israel,Lebanon,16,Unknown,Male,"Lebanon, ZahraniLiban-Sud",Unmarried,6,Unskilled,Secular,Israeli Defense Forces (IDF) military convoy,Security,Car bomb,1984
23,40,-1,False,Unknown,Unknown,-1,Hezbollah vs. U.S. & France,Lebanon,20,Unknown,Male,"Lebanon, BeirutBeyrouth",Unknown,9,Unknown,Unknown,US Embassy,Political,Truck bomb,1984
100,100,-1,False,Hasan Qasiraka Amel,Lebanon,-1,Hezbollah vs. Israel,Lebanon,5,Secondary,Male,"Lebanon, TyreLiban-Sud",Unknown,2,Unknown,Secular,Israeli Defense Forces (IDF) military convoy,Security,Car bomb,1985
12,14,-1,False,Hazemaka Abu Zenab,Unknown,-1,Hezbollah vs. Israel,Lebanon,10,Unknown,Male,"Lebanon, HouraLiban-Sud",Unknown,3,Unknown,Unknown,Israeli Defense Forces (IDF) military convoy,Security,Truck bomb,1985
3,1,19,False,Wajdi Sayegh,Lebanon,1966,Hezbollah vs. Israel,Lebanon,12,Unknown,Male,"Lebanon, JezzineLiban-Sud",Unknown,3,Unknown,Muslim (Other),Israeli Defense Forces (IDF) military convoy,Security,Car bomb,1985
7,10,-1,True,Unknown,Unknown,-1,Isolated Attacks,Iran,15,Unknown,Male,"Iran, TehranTehran",Unknown,3,Unknown,Unknown,Iranian president Ali Khamenei,Political,Belt bomb,1985
2,2,16,False,Sana Youssef Mheidlehaka Sana Mhaydali,Lebanon,1969,Hezbollah vs. Israel,Lebanon,9,Primary,Female,"Lebanon, TyreLiban-Sud",Unknown,4,Unskilled,Muslim (Shia),Israeli Defense Forces (IDF) post,Security,Car bomb,1985
2,2,19,False,Malek Wehbiaka Malek Wabbeh,Lebanon,1966,Hezbollah vs. Israel,Lebanon,20,Secondary,Male,"Lebanon, QasimehLiban-Sud",Unknown,4,Unknown,Secular,Israeli Defense Forces (IDF) military convoy,Security,Truck bomb,1985
