3 judge dc?,admin action.id,admin action.state,agency,area,authority 1,authority 2,case,case issues,case.disposition,chief,date argued.day,date argued.full,date argued.month,date argued.year,date reargued.day,date reargued.full,date reargued.month,date reargued.year,date.day,date.full,date.month,date.year,decision.direction,decision.type,disagreement?,disposition,dissent agrees,docket,end.day,end.full,end.month,end.year,id.docket,issue.id,jurisdiction,laws.id,laws.type,led,lexis,lower court.direction,majority,majority assigner.id,majority assigner.long name,majority assigner.name,majority writer.id,majority writer.long name,majority writer.name,minority,name,natural court.id,origin.id,origin.name,origin.state,period,petitioner.entity,petitioner.id,petitioner.state,precedent altered?,reasons,respondent.entity,respondent.id,respondent.state,sct,source.id,source.name,source.state,split on second,start.day,start.full,start.month,start.year,term,text,unclear,unconstitutional,unusual,us,vote,winning party
False,-1,,unknown,Economic Activity,statutory construction,,1946-001,1946-001-01-01,reversed,Vinson,9,1/9/1946,1,1946,23,10/23/1946,10,1946,18,11/18/1946,11,1946,liberal,court opinion,False,affirmed,False,24,23,August/23/1949,8,1949,1946-001-01,80180,rehearing or reargument,6,Infrequently litigated statutes,91 L. Ed. 3,1946 U.S. LEXIS 1724,conservative,8,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,1,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1301,51,California Southern U.S. District Court,,1,"oil company, or natural gas producer",198,,True,to resolve question presented,"inventor, patent assigner, trademark owner or holder",172,,67 S. Ct. 6,29,"U.S. Court of Appeals, Ninth Circuit",,False,24,June/24/1946,6,1946,1946,patents and copyrights: patent,False,no unconstitutionality,False,329 U.S. 1,1946-001-01-01-01,favorable disposition for petitioning party
False,-1,,unknown,Criminal Procedure,statutory construction,,1946-002,1946-002-01-01,affirmed (includes modified),Vinson,10,10/10/1945,10,1945,17,10/17/1946,10,1946,18,11/18/1946,11,1946,conservative,court opinion,False,affirmed,False,12,23,August/23/1949,8,1949,1946-002-01,10500,cert,6,Infrequently litigated statutes,91 L. Ed. 12,1946 U.S. LEXIS 1725,conservative,6,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,81,"Douglas, William ( 04/17/1939 - 11/12/1975 )",WODouglas,3,CLEVELAND v. UNITED STATES,1301,123,Utah U.S. District Court,,1,"person accused, indicted, or suspected of crime",100,,False,putative conflict,United States,27,,67 S. Ct. 13,30,"U.S. Court of Appeals, Tenth Circuit",,False,24,June/24/1946,6,1946,1946,statutory construction of criminal laws: Mann Act and related statutes ,False,no unconstitutionality,False,329 U.S. 14,1946-002-01-01-01,no favorable disposition for petitioning party
True,66,,Interstate Commerce Commission,Economic Activity,judicial review (national level),,1946-003,1946-003-01-01,affirmed (includes modified),Vinson,8,11/8/1945,11,1945,18,10/18/1946,10,1946,18,11/18/1946,11,1946,liberal,court opinion,False,unknown,False,21,23,August/23/1949,8,1949,1946-003-01,80250,appeal,2,Constitutional Amendment,91 L. Ed. 22,1946 U.S. LEXIS 3037,liberal,5,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,84,"Jackson, Robert ( 07/11/1941 - 10/09/1954 )",RHJackson,4,CHAMPLIN REFINING CO. v. UNITED STATES ET AL.,1301,107,Oklahoma Western U.S. District Court,,1,pipe line company,209,,False,case did not arise on cert or cert not granted,United States,27,,67 S. Ct. 1,107,Oklahoma Western U.S. District Court,,False,24,June/24/1946,6,1946,1946,federal and some few state regulation of transportation regulation: pipeline (cf. federal public utilities regulation: gas pipeline),False,no unconstitutionality,False,329 U.S. 29,1946-003-01-01-01,no favorable disposition for petitioning party
False,67,,Indian Claims Commission,Civil Rights,statutory construction,,1946-004,1946-004-01-01,affirmed (includes modified),Vinson,31,1/31/1946,1,1946,25,10/25/1946,10,1946,25,11/25/1946,11,1946,liberal,court judgement,False,unknown,False,26,23,August/23/1949,8,1949,1946-004-01,20150,cert,6,Infrequently litigated statutes,91 L. Ed. 29,1946 U.S. LEXIS 1696,liberal,5,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,3,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1301,3,"U.S. Court of Claims, Court of Federal Claims",,1,United States,27,,False,to resolve important or significant question,"Indian, including Indian tribe or nation",170,,67 S. Ct. 167,3,"U.S. Court of Claims, Court of Federal Claims",,False,24,June/24/1946,6,1946,1946,Indians (other than pertains to state jurisdiction over),False,no unconstitutionality,False,329 U.S. 40,1946-004-01-01-01,no favorable disposition for petitioning party
False,-1,,unknown,Economic Activity,federal common law,,1946-005,1946-005-01-01,reversed,Vinson,25,10/25/1946,10,1946,25,10/25/1946,10,1946,25,11/25/1946,11,1946,liberal,court opinion,False,unknown,False,50,23,August/23/1949,8,1949,1946-005-01,80060,cert,-1,unknown,91 L. Ed. 44,1946 U.S. LEXIS 2997,liberal,6,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,3,"UNITED STATES v. HOWARD P. FOLEY CO., INC.",1301,3,"U.S. Court of Claims, Court of Federal Claims",,1,United States,27,,False,federal court conflict,government contractor,176,,67 S. Ct. 154,3,"U.S. Court of Claims, Court of Federal Claims",,False,24,June/24/1946,6,1946,1946,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",False,no unconstitutionality,False,329 U.S. 64,1946-005-01-01-01,favorable disposition for petitioning party
False,117,Texas,State Agency,Economic Activity,judicial review (state level),,1946-006,1946-006-01-01,reversed,Vinson,24,10/24/1946,10,1946,24,10/24/1946,10,1946,25,11/25/1946,11,1946,conservative,court opinion,True,reversed,False,46,23,August/23/1949,8,1949,1946-006-01,80100,appeal,1,Constitution,91 L. Ed. 80,1946 U.S. LEXIS 3005,liberal,7,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,81,"Douglas, William ( 04/17/1939 - 11/12/1975 )",WODouglas,1,RICHFIELD OIL CORP. v. STATE BOARD OF EQUALIZATION,1301,302,State Trial Court,North Carolina,1,"oil company, or natural gas producer",198,,False,case did not arise on cert or cert not granted,"state commission, board, committee, or authority",4,California,67 S. Ct. 156,300,State Supreme Court,North Carolina,False,24,June/24/1946,6,1946,1946,state or local government tax ,False,state/territorial,False,329 U.S. 69,1946-006-01-01-01,favorable disposition for petitioning party
False,105,,Securities and Exchange Commission,Economic Activity,judicial review (national level),,1946-007,1946-007-01-01,affirmed (includes modified),Vinson,16,11/16/1945,11,1945,14,10/14/1946,10,1946,25,11/25/1946,11,1946,liberal,court opinion,False,affirmed,False,4,23,August/23/1949,8,1949,1946-007-01,80120,cert,6,Infrequently litigated statutes,91 L. Ed. 103,1946 U.S. LEXIS 3053,liberal,6,74,"Stone, Harlan ( 03/02/1925 - 04/22/1946 )",HFStone,82,"Murphy, Francis ( 02/05/1940 - 07/19/1949 )",FMurphy,0,AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION,1301,21,"U.S. Court of Appeals, First Circuit",,1,"electric or hydroelectric power utility, power cooperative, or gas and electric company",148,,False,to resolve important or significant question,Securities and Exchange Commission,405,,67 S. Ct. 133,21,"U.S. Court of Appeals, First Circuit",,False,24,June/24/1946,6,1946,1946,federal or state regulation of securities,False,no unconstitutionality,False,329 U.S. 90,1946-007-01-01-01,no favorable disposition for petitioning party
False,24,,Department or Secretary of Defense (and Department or Secretary of War),Judicial Power,statutory construction,,1946-008,1946-008-01-01,vacated and remanded,Vinson,25,4/25/1946,4,1946,24,10/24/1946,10,1946,9,12/9/1946,12,1946,conservative,court opinion,False,vacated and remanded,False,11,23,August/23/1949,8,1949,1946-008-01,90200,cert,6,Infrequently litigated statutes,91 L. Ed. 128,1946 U.S. LEXIS 2995,liberal,9,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,0,ALMA MOTOR CO. v. TIMKEN-DETROIT AXLE CO. ET AL.,1301,54,Delaware U.S. District Court,,1,auto manufacturer,189,,False,no reason given,auto manufacturer,189,,67 S. Ct. 231,23,"U.S. Court of Appeals, Third Circuit",,False,24,June/24/1946,6,1946,1946,no merits: miscellaneous ,False,no unconstitutionality,False,329 U.S. 129,1946-008-01-01-01,favorable disposition for petitioning party
False,117,Texas,State Agency,Unions,statutory construction,interpretation of administrative regulation or rule,1946-009,1946-009-01-01,affirmed and reversed (or vacated) in part and remanded,Vinson,27,2/27/1946,2,1946,13,11/13/1946,11,1946,9,12/9/1946,12,1946,conservative,court opinion,True,affirmed,False,25,23,August/23/1949,8,1949,1946-009-01,70190,cert,5,Other,91 L. Ed. 136,1946 U.S. LEXIS 3047,liberal,9,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,0,UNEMPLOYMENT COMPENSATION COMMISSION OF ALASKA ET AL. v. ARAGON ET AL.,1301,44,Alaska U.S. District Court,,1,"state commission, board, committee, or authority",4,Alaska,False,to resolve important or significant question,unemployed person or unemployment compensation applicant or claimant,248,,67 S. Ct. 245,29,"U.S. Court of Appeals, Ninth Circuit",,False,24,June/24/1946,6,1946,1946,labor-management disputes: working conditions,False,no unconstitutionality,False,329 U.S. 143,1946-009-01-01-01,favorable disposition for petitioning party
False,-1,,unknown,Economic Activity,statutory construction,,1946-010,1946-010-01-01,affirmed (includes modified),Vinson,22,10/22/1946,10,1946,22,10/22/1946,10,1946,9,12/9/1946,12,1946,liberal,court opinion,False,reversed,False,42,23,August/23/1949,8,1949,1946-010-01,80030,cert,3,Federal Statute,91 L. Ed. 162,1946 U.S. LEXIS 3048,liberal,8,87,"Vinson, Fred ( 06/24/1946 - 09/08/1953 )",FMVinson,78,"Black, Hugo ( 08/19/1937 - 09/17/1971 )",HLBlack,0,VANSTON BONDHOLDERS PROTECTIVE COMMITTEE v. GREEN ET AL.,1301,73,Kentucky Eastern U.S. District Court,,1,"creditor, including institution appearing as such; e.g., a finance company",135,,False,to resolve important or significant question,"bankrupt person or business, or business in reorganization",114,,67 S. Ct. 237,26,"U.S. Court of Appeals, Sixth Circuit",,False,24,June/24/1946,6,1946,1946,bankruptcy (except in the context of priority of federal fiscal claims),False,no unconstitutionality,False,329 U.S. 156,1946-010-01-01-01,no favorable disposition for petitioning party
