acquisition date,birth.location,birth.year,creation decade,creation year,credit,death.location,death.year,depth,gender,height,medium,name,role,thumbnail,title,url,width
2009,Polska,1930,1970,1976,Presented anonymously 2009,,0,0.0,Female,0.0,Burlap and resin,"Abakanowicz, Magdalena",artist,http://www.tate.org.uk/art/images/work/T/T12/T12981_8.jpg,Backs,http://www.tate.org.uk/art/artworks/abakanowicz-backs-t12981,0.0
1924,"Philadelphia, United States",1852,1880,1883,Presented by a group of admirers through John Singer Sargent 1924,"London, United Kingdom",1911,0.0,Male,419.0,Ink on paper,"Abbey, Edwin Austin",artist,http://www.tate.org.uk/art/images/work/N/N03/N03992_8.jpg,Illustration to Judith Shakespeare,http://www.tate.org.uk/art/artworks/abbey-illustration-to-judith-shakespeare-n03992,305.0
2010,"Springfield, United States",1898,1930,1935,Accepted by HM Government in lieu of inheritance tax from the Estate of Barbara Lloyd and allocated to Tate 2009,"Monson, United States",1991,0.0,Female,200.0,"Photograph, gelatin silver print on paper","Abbott, Berenice",artist,,Tri-Boro Barber Shop,http://www.tate.org.uk/art/artworks/abbott-tri-boro-barber-shop-p13100,250.0
1968,"Leicestershire, United Kingdom",1760,0,0,Presented by Mrs M. Bernard 1968,"London, United Kingdom",1803,0.0,Male,676.0,Oil paint on canvas,"Abbott, Lemuel Francis",artist,http://www.tate.org.uk/art/images/work/T/T01/T01067_8.jpg,Portrait of the Engraver Francesco Bartolozzi,http://www.tate.org.uk/art/artworks/abbott-portrait-of-the-engraver-francesco-bartolozzi-t01067,756.0
1982,"Wigan, United Kingdom",1935,1970,1973,Purchased 1982,,0,762.0,Male,1575.0,Fibreglass and polystyrene,"Abrahams, Ivor",artist,http://www.tate.org.uk/art/images/work/T/T03/T03369_8.jpg,Lady in Niche,http://www.tate.org.uk/art/artworks/abrahams-lady-in-niche-t03369,2095.0
1997,"Tel Aviv-Yafo, Yisra'el",1964,1990,1993,Presented by Galerie Chantal Crousel 1997,"Paris, France",1993,0.0,Male,0.0,"Video, monitor or projection, colour and sound",Absalon,artist,,Assassinations,http://www.tate.org.uk/art/artworks/absalon-assassinations-t07227,0.0
2012,"Kiel, Deutschland",1967,2010,2010,Presented by Tate Members 2011,,0,0.0,Female,380.0,Acrylic paint and oil paint on canvas,"Abts, Tomma",artist,http://www.tate.org.uk/art/images/work/T/T13/T13592_8.jpg,Zebe,http://www.tate.org.uk/art/artworks/abts-zebe-t13592,480.0
2010,"New York, United States",1940,1970,1972,Presented by the Billstone Foundation 2009,,0,0.0,Male,992.0,"6 works on paper, photographs, ink and printed papers","Acconci, Vito",artist,,TRANSFERENCE ZONE,http://www.tate.org.uk/art/artworks/acconci-transference-zone-t13178,858.0
1983,"Isleworth, United Kingdom",1947,1970,1978,Presented by the Contemporary Art Society 1983,,2014,0.0,Male,367.0,Burnt lines on board and transfer lettering on card,"Ackling, Roger",artist,http://www.tate.org.uk/art/images/work/T/T03/T03562_8.jpg,Five Sunsets in One Hour,http://www.tate.org.uk/art/artworks/ackling-five-sunsets-in-one-hour-t03562,558.0
1996,"Leeds, United Kingdom",1938,1990,1996,Purchased 1996,,0,0.0,Male,480.0,Etching and watercolour on paper,"Ackroyd, Norman",artist,http://www.tate.org.uk/art/images/work/P/P77/P77815_8.jpg,Cartmel Fell,http://www.tate.org.uk/art/artworks/ackroyd-cartmel-fell-p77815,628.0
1997,"Kirkcaldy, United Kingdom",1728,0,0,Purchased as part of the Opp Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996,"London, United Kingdom",1792,0.0,Male,373.0,"Watercolour, graphite, gouache and ink on paper","Adam, Robert",artist,http://www.tate.org.uk/art/images/work/T/T09/T09843_8.jpg,Composition: River in a Gorge,http://www.tate.org.uk/art/artworks/adam-composition-river-in-a-gorge-t09843,302.0
1900,"Worcester, United Kingdom",1868,1900,1900,Presented by the Trustees of the Chantrey Bequest 1900,"Worcester, United Kingdom",1947,0.0,Male,1841.0,Oil paint on canvas,"Adams, Harry William",artist,,Winters Sleep,http://www.tate.org.uk/art/artworks/adams-winters-sleep-n01838,1226.0
1990,"London, United Kingdom",1927,1980,1989,Presented by the Trustees of the Chantrey Bequest 1990,,2005,0.0,Male,1526.0,Oil paint on canvas,"Adams, Norman",artist,http://www.tate.org.uk/art/images/work/T/T05/T05820_8.jpg,Christs Cross and Adams Tree,http://www.tate.org.uk/art/artworks/adams-christs-cross-and-adams-tree-t05820,1270.0
1995,"Northampton, United Kingdom",1917,1950,1950,Purchased 1995,,1984,410.0,Male,420.0,Steel wire and wood,"Adams, Robert",artist,http://www.tate.org.uk/art/images/work/T/T07/T07034_8.jpg,Space Construction with a Spiral,http://www.tate.org.uk/art/artworks/adams-space-construction-with-a-spiral-t07034,940.0
1931,"London, United Kingdom",1878,1910,1911,Purchased 1931,,1966,0.0,Male,3048.0,Tempera on canvas,"Adeney, Bernard",artist,,"Toy Sailing Boats, the Round Pond",http://www.tate.org.uk/art/artworks/adeney-toy-sailing-boats-the-round-pond-n04568,2276.0
1960,"Tuszyn, Polska",1895,1940,1942,Presented by Robert Strauss 1960,"Aldbourne, United Kingdom",1949,0.0,Male,1118.0,Oil paint on canvas,"Adler, Jankel",artist,http://www.tate.org.uk/art/images/work/T/T00/T00372_8.jpg,The Mutilated,http://www.tate.org.uk/art/artworks/adler-the-mutilated-t00372,864.0
1997,"London, United Kingdom",1904,1930,1934,Purchased 1997,"Hampstead, United Kingdom",1995,0.0,Female,1822.0,Oil paint on canvas,"Adshead, Mary",artist,http://www.tate.org.uk/art/images/work/T/T07/T07229_8.jpg,The Cruise,http://www.tate.org.uk/art/artworks/adshead-the-cruise-t07229,1420.0
1966,"Reading, United Kingdom",1927,1960,1966,Presented by Miss Iris Clert 1966,"Paris, France",1987,73.0,Male,406.0,Acrylic paint on brass,"Adzak, Roy",artist,,Cut Bottle Relief,http://www.tate.org.uk/art/artworks/adzak-cut-bottle-relief-t00875,330.0
1955,"Udine, Italia",1912,1950,1951,Purchased 1955,"Zrich, Schweiz",1976,0.0,Male,210.0,"Crayon, watercolour and gouache on paper",Afro,artist,,The Struggle,http://www.tate.org.uk/art/artworks/afro-the-struggle-t00017,267.0
1993,"Ayacucho, Argentina",1899,1970,1979,Accepted by HM Government in lieu of tax and allocated to the Tate Gallery 1993,"London, United Kingdom",1991,0.0,Female,1530.0,Acrylic paint on canvas,"Agar, Eileen",artist,http://www.tate.org.uk/art/images/work/T/T06/T06749_8.jpg,Figures in a Garden,http://www.tate.org.uk/art/artworks/agar-figures-in-a-garden-t06749,1225.0
1979,"Genve, Schweiz",1767,1800,1807,Presented by Paul Mellon through the British Sporting Art Trust 1979,"London, United Kingdom",1849,0.0,Male,625.0,Oil paint on canvas,"Agasse, Jacques Laurent",artist,http://www.tate.org.uk/art/images/work/T/T02/T02351_8.jpg,Lord Riverss Groom Leading a Chestnut Hunter towards a Coursing Party in Hampshire,http://www.tate.org.uk/art/artworks/agasse-lord-riverss-groom-leading-a-chestnut-hunter-towards-a-coursing-party-in-hampshire-t02351,660.0
2001,"Hmeenlinna, Suomi",1959,1990,1999,Purchased 2001,,0,0.0,Female,0.0,"Video, 2 projections, colour and sound (stereo)","Ahtila, Eija-Liisa",artist,,Consolation Service,http://www.tate.org.uk/art/artworks/ahtila-consolation-service-t07783,0.0
2012,"Beijing, Zhonghua",1957,2010,2010,"Purchased with assistance from Tate International Council, the American Patrons of Tate, the Art Fund, and Stephen and Yana Peel 2012    ",,0,0.0,Male,0.0,Porcelain,"Ai, Weiwei",artist,http://www.tate.org.uk/art/images/work/T/T13/T13408_8.jpg,Sunflower Seeds,http://www.tate.org.uk/art/artworks/ai-sunflower-seeds-t13408,0.0
1993,"Edinburgh, United Kingdom",1926,1970,1974,Presented by the executors of the estate of David Wilkie 1993,,2009,0.0,Male,1880.0,Oil paint on canvas,"Aitchison, Craigie",artist,http://www.tate.org.uk/art/images/work/T/T06/T06680_8.jpg,Model and Dog,http://www.tate.org.uk/art/artworks/aitchison-model-and-dog-t06680,2210.0
1960,"Carpignano Sesia, Italia",1923,1950,1959,Presented by Professor Gino Ghiringhelli 1960,,2005,0.0,Male,648.0,Oil paint on canvas,"Ajmone, Giuseppe",artist,,Autumn,http://www.tate.org.uk/art/artworks/ajmone-autumn-t00379,997.0
2011,"Izmir, Trkiye",1953,1990,1999,Presented anonymously 2010,,0,270.0,Male,550.0,"Mirror, copperplated and oxidised brass and iron","Aksel, Erdag",artist,,Reflection of Craft,http://www.tate.org.uk/art/artworks/aksel-reflection-of-craft-t13244,1900.0
2009,"Kirkuk, Al-Iraq",1966,2000,2004,Presented by Tate Members 2010,,0,0.0,Female,0.0,"Video, 5 projections, black and white and colour, and sound (stereo)","Al-Ani, Jananne",artist,,The Visit,http://www.tate.org.uk/art/artworks/al-ani-the-visit-t12983,0.0
2006,"Bottrop, Deutschland",1888,1950,1951,Presented by The Josef and Anni Albers Foundation 2006,"New Haven, United States",1976,0.0,Male,532.0,Oil paint on wood,"Albers, Josef",artist,http://www.tate.org.uk/art/images/work/T/T12/T12215_8.jpg,Homage to the Square: Study for Nocturne,http://www.tate.org.uk/art/artworks/albers-homage-to-the-square-study-for-nocturne-t12215,534.0
