Avg Temp,Avg Wind,City,Code,Day,Full,High Gust,High Wind,Location,Max Temp,Min Temp,Month,Precipitation,State,Year
34.0,8.0,Mount Holly/Philadelphia,ABE,10,04-10-2016,31.0,22.0,"Mount Holly/Philadelphia, NJ",40.0,27.0,4,0.19,New Jersey,2016
37.0,18.0,Aberdeen,ABR,10,04-10-2016,50.0,38.0,"Aberdeen, SD",59.0,15.0,4,0.0,South Dakota,2016
37.0,7.0,Albany,ALB,10,04-10-2016,27.0,21.0,"Albany, NY",46.0,27.0,4,0.0,New York,2016
48.0,10.0,Pueblo,ALS,10,04-10-2016,40.0,32.0,"Pueblo, CO",65.0,31.0,4,0.0,Colorado,2016
63.0,16.0,Amarillo,AMA,10,04-10-2016,39.0,32.0,"Amarillo, TX",79.0,47.0,4,0.0,Texas,2016
51.0,7.0,Birmingham,ANB,10,04-10-2016,27.0,17.0,"Birmingham, AL",64.0,37.0,4,0.0,Alabama,2016
19.0,7.0,Marquette,ANJ,10,04-10-2016,23.0,18.0,"Marquette, MI",25.0,12.0,4,0.0,Michigan,2016
19.0,7.0,Marquette,ANJ,10,04-10-2016,23.0,18.0,"Marquette, MI",25.0,12.0,4,0.0,Michigan,2016
20.0,10.0,Gaylord,APN,10,04-10-2016,26.0,18.0,"Gaylord, MI",27.0,12.0,4,1.34,Michigan,2016
32.0,10.0,Chicago,ARR,10,04-10-2016,29.0,24.0,"Chicago, IL",40.0,23.0,4,1.67,Illinois,2016
54.0,12.0,Peachtree City/Atlanta,ATL,10,04-10-2016,36.0,29.0,"Peachtree City/Atlanta, GA",62.0,45.0,4,0.0,Georgia,2016
66.0,7.0,Austin/San Antonio,AUS,10,04-10-2016,26.0,22.0,"Austin/San Antonio, TX",79.0,53.0,4,1.13,Texas,2016
47.0,14.0,North Platte,BBW,10,04-10-2016,40.0,29.0,"North Platte, NE",69.0,24.0,4,0.0,Nebraska,2016
28.0,9.0,Binghamton,BGM,10,04-10-2016,28.0,21.0,"Binghamton, NY",33.0,22.0,4,0.06,New York,2016
35.0,8.0,Caribou,BGR,10,04-10-2016,26.0,20.0,"Caribou, ME",43.0,27.0,4,0.83,Maine,2016
63.0,15.0,Billings,BIL,10,04-10-2016,42.0,33.0,"Billings, MT",78.0,47.0,4,0.0,Montana,2016
50.0,19.0,Bismarck,BIS,10,04-10-2016,48.0,37.0,"Bismarck, ND",75.0,25.0,4,0.0,North Dakota,2016
46.0,7.0,Nashville,BNA,10,04-10-2016,22.0,16.0,"Nashville, TN",55.0,37.0,4,0.0,Tennessee,2016
39.0,9.0,Boston,BOS,10,04-10-2016,25.0,22.0,"Boston, MD",46.0,32.0,4,0.0,Massachusetts,2016
73.0,12.0,Brownsville,BRO,10,04-10-2016,30.0,24.0,"Brownsville, TX",81.0,65.0,4,0.0,Texas,2016
62.0,4.0,New Orleans/Baton Rouge,BTR,10,04-10-2016,21.0,16.0,"New Orleans/Baton Rouge, LA",78.0,46.0,4,0.0,Louisiana,2016
30.0,9.0,Burlington,BTV,10,04-10-2016,27.0,21.0,"Burlington, VT",36.0,24.0,4,0.01,Vermont,2016
29.0,11.0,Buffalo,BUF,10,04-10-2016,27.0,21.0,"Buffalo, NY",34.0,24.0,4,1.14,New York,2016
57.0,9.0,Pocatello,BYI,10,04-10-2016,31.0,25.0,"Pocatello, ID",74.0,40.0,4,0.1,Idaho,2016
53.0,5.0,Great Falls,BZN,10,04-10-2016,29.0,24.0,"Great Falls, MT",75.0,31.0,4,0.0,Montana,2016
55.0,9.0,Greenville-Spartanburg,CAE,10,04-10-2016,37.0,31.0,"Greenville-Spartanburg, SC",67.0,42.0,4,0.0,South Carolina,2016
43.0,7.0,Paducah,CGI,10,04-10-2016,21.0,15.0,"Paducah, KY",52.0,33.0,4,0.0,Kentucky,2016
48.0,8.0,Morristown/Knoxville,CHA,10,04-10-2016,27.0,20.0,"Morristown/Knoxville, TN",58.0,38.0,4,0.0,Tennessee,2016
59.0,11.0,Charleston,CHS,10,04-10-2016,37.0,26.0,"Charleston, SC",71.0,47.0,4,0.0,South Carolina,2016
50.0,17.0,Topeka,CNK,10,04-10-2016,40.0,30.0,"Topeka, KS",71.0,29.0,4,0.0,Kansas,2016
73.0,16.0,Corpus Christi,CRP,10,04-10-2016,40.0,33.0,"Corpus Christi, TX",82.0,63.0,4,0.08,Texas,2016
56.0,7.0,Columbia,CUB,10,04-10-2016,34.0,24.0,"Columbia, SC",68.0,43.0,4,0.0,South Carolina,2016
36.0,13.0,Wilmington,CVG,10,04-10-2016,35.0,26.0,"Wilmington, OH",41.0,30.0,4,2.02,Ohio,2016
53.0,16.0,Riverton,CYS,10,04-10-2016,45.0,37.0,"Riverton, WY",72.0,33.0,4,0.0,Wyoming,2016
52.0,4.0,San Diego,CZZ,10,04-10-2016,19.0,15.0,"San Diego, CA",59.0,44.0,4,0.02,California,2016
63.0,6.0,Melbourne,DAB,10,04-10-2016,22.0,16.0,"Melbourne, FL",72.0,53.0,4,0.0,Florida,2016
