quantity,questions,exclaims,hour,month,day,length
1,0.0,0.0,12,12,06,1583
3,0.0,0.0,13,06,06,2980
1,0.0,1.0,06,04,02,353
1,10.0,2.0,11,12,01,1704
1,0.0,1.0,21,08,01,1133
1,4.0,1.0,23,08,05,1762
1,0.0,2.0,11,01,05,989
1,0.0,0.0,04,10,00,450
1,0.0,0.0,07,03,02,1082
1,0.0,1.0,19,11,03,1239
1,0.0,0.0,08,12,05,0
3,1.0,0.0,08,07,04,516
1,0.0,1.0,06,04,02,525
1,0.0,0.0,17,09,02,914
1,0.0,0.0,07,08,02,837
1,0.0,0.0,09,01,04,134
1,0.0,0.0,06,10,03,484
1,18.0,0.0,12,08,03,1501
1,9.0,1.0,12,10,06,1520
1,0.0,0.0,10,01,01,1850
1,0.0,2.0,04,01,03,898
1,1.0,0.0,04,02,03,274
1,0.0,0.0,05,04,02,490
1,0.0,0.0,10,01,01,551
1,0.0,1.0,23,03,06,292
1,1.0,5.0,09,01,01,1177
2,1.0,0.0,03,05,02,1147
1,0.0,1.0,12,09,05,1234
2,1.0,0.0,14,10,01,1705
3,0.0,0.0,05,05,00,1542
1,0.0,1.0,13,03,04,410
1,1.0,0.0,13,08,00,190
11,3.0,0.0,12,04,04,1768
1,0.0,0.0,05,09,03,1847
2,4.0,1.0,07,05,00,2388
2,0.0,0.0,12,12,01,343
1,1.0,1.0,03,04,02,2142
5,0.0,2.0,11,02,00,1474
1,3.0,1.0,04,09,04,1382
1,6.0,2.0,16,03,01,6201
1,1.0,2.0,06,12,00,936
1,2.0,0.0,05,02,04,733
1,0.0,1.0,01,02,04,314
1,0.0,0.0,21,10,02,493
4,0.0,0.0,05,04,02,1331
1,0.0,0.0,09,01,03,538
1,1.0,2.0,00,12,06,2050
1,0.0,0.0,15,09,02,0
1,0.0,0.0,17,01,01,598
1,0.0,0.0,11,06,01,616
1,0.0,0.0,13,10,04,482
1,0.0,0.0,18,01,02,184
1,0.0,0.0,05,10,03,550
1,0.0,0.0,08,02,01,412
3,1.0,1.0,07,06,02,2696
1,1.0,1.0,14,10,06,764
1,1.0,0.0,06,04,02,1719
1,0.0,0.0,06,05,01,1438
1,0.0,2.0,10,02,01,1359
1,1.0,0.0,07,08,03,766
1,0.0,0.0,13,09,02,749
1,0.0,0.0,09,12,02,45
1,0.0,0.0,20,03,02,1296
1,0.0,0.0,11,01,04,1195
2,0.0,0.0,18,11,00,22
3,0.0,1.0,04,11,00,895
1,0.0,0.0,14,03,02,597
1,4.0,1.0,10,01,00,1305
1,2.0,0.0,10,06,06,472
1,0.0,0.0,08,10,01,3319
1,0.0,0.0,10,08,02,423
1,0.0,0.0,07,04,02,1103
1,2.0,0.0,13,01,03,368
1,0.0,1.0,06,10,03,950
1,0.0,0.0,03,02,00,946
3,4.0,0.0,12,10,00,2043
1,0.0,0.0,14,01,04,461
22,0.0,1.0,04,11,02,322
1,0.0,1.0,16,03,02,1208
2,2.0,0.0,09,01,01,721
4,0.0,1.0,12,11,01,2665
1,0.0,4.0,02,09,03,2134
1,0.0,0.0,08,12,04,282
1,0.0,1.0,06,01,06,2862
1,0.0,0.0,13,02,04,2502
2,1.0,0.0,17,11,04,2015
1,1.0,0.0,15,01,04,275
1,0.0,0.0,10,11,03,321
1,0.0,1.0,14,08,02,2505
1,0.0,0.0,08,01,03,283
17,1.0,0.0,18,10,05,1674
1,2.0,1.0,10,01,01,863
1,0.0,0.0,04,07,00,197
22,0.0,0.0,07,05,05,487
2,5.0,0.0,08,02,02,645
1,0.0,0.0,07,06,00,1580
1,2.0,0.0,05,01,01,205
1,0.0,0.0,20,07,03,3852
1,0.0,0.0,13,02,06,359
1,0.0,0.0,20,12,03,1303
3,3.0,2.0,13,04,01,732
5,2.0,0.0,13,06,01,694
2,10.0,0.0,03,01,02,2213
1,18.0,1.0,19,06,04,1351
1,0.0,2.0,12,01,02,1600
2,0.0,0.0,16,12,05,524
1,0.0,0.0,11,07,03,143
3,1.0,0.0,02,11,01,693
3,0.0,0.0,02,01,01,2233
2,1.0,1.0,11,02,03,1621
1,1.0,0.0,07,03,02,2621
1,0.0,1.0,10,05,01,1599
1,0.0,0.0,04,03,02,617
3,4.0,0.0,07,10,02,1077
1,3.0,0.0,06,03,04,2289
1,0.0,0.0,08,10,03,1223
1,0.0,0.0,05,07,04,1549
1,0.0,2.0,10,10,04,1561
1,0.0,0.0,18,01,01,494
1,0.0,0.0,11,04,04,582
4,0.0,4.0,16,01,03,1591
2,0.0,3.0,19,04,00,3293
1,0.0,0.0,12,11,04,3678
1,0.0,0.0,07,08,00,888
1,0.0,1.0,11,01,05,563
1,1.0,0.0,04,12,03,1199
4,0.0,0.0,04,11,01,668
1,4.0,0.0,09,07,01,1416
1,7.0,7.0,04,01,01,2806
1,0.0,0.0,06,05,01,441
1,0.0,0.0,11,02,04,941
1,0.0,0.0,06,02,02,125
1,2.0,0.0,07,06,00,1385
1,0.0,0.0,05,05,03,260
3,0.0,1.0,03,08,02,1062
1,0.0,0.0,16,03,00,1212
1,1.0,0.0,06,05,05,705
1,0.0,0.0,08,04,00,1990
1,0.0,1.0,15,11,06,259
1,5.0,0.0,13,11,04,1257
2,0.0,1.0,02,12,05,3656
1,0.0,0.0,10,02,00,2421
1,0.0,0.0,05,01,06,281
1,0.0,0.0,12,01,00,1111
1,0.0,1.0,09,03,02,1317
1,1.0,0.0,11,05,00,285
5,1.0,0.0,16,03,01,420
1,4.0,1.0,01,03,04,1116
2,11.0,8.0,20,01,04,1796
1,0.0,0.0,04,11,03,1324
5,2.0,0.0,05,04,02,4231
11,0.0,0.0,07,01,01,603
1,4.0,1.0,05,05,00,892
1,0.0,0.0,09,10,01,632
1,1.0,0.0,11,12,00,644
9,2.0,0.0,07,12,03,1446
1,0.0,0.0,16,11,04,888
1,2.0,3.0,07,01,04,3958
1,0.0,0.0,10,12,02,146
1,0.0,0.0,11,04,03,1925
1,0.0,0.0,01,02,01,403
1,0.0,0.0,11,09,02,119
1,0.0,0.0,15,06,03,201
1,0.0,0.0,03,08,01,897
2,1.0,0.0,15,11,03,394
1,0.0,0.0,10,06,03,1118
1,0.0,2.0,10,10,01,3601
1,0.0,1.0,12,06,05,1202
2,0.0,0.0,07,08,04,2533
1,0.0,0.0,05,07,00,4279
1,0.0,0.0,19,12,00,2502
1,0.0,0.0,08,03,02,1941
2,0.0,0.0,15,10,00,1962
1,1.0,0.0,18,09,02,629
1,11.0,0.0,10,07,03,851
1,6.0,2.0,10,10,03,1236
2,0.0,0.0,08,10,04,1099
1,0.0,1.0,07,11,02,431
1,0.0,0.0,10,12,04,1141
1,1.0,0.0,10,11,00,394
1,1.0,0.0,17,05,01,1592
2,0.0,0.0,10,10,04,2134
2,0.0,0.0,09,01,05,4347
1,2.0,0.0,10,05,04,701
1,0.0,0.0,14,01,01,595
1,0.0,0.0,11,02,05,279
20,2.0,2.0,08,12,05,410
1,0.0,0.0,16,11,01,0
1,0.0,0.0,07,08,02,1533
1,3.0,0.0,11,01,01,870
1,0.0,1.0,11,10,05,931
1,0.0,0.0,07,12,00,203
1,2.0,0.0,04,06,06,1784
1,1.0,2.0,14,09,04,1169
3,1.0,0.0,06,08,02,709
1,0.0,0.0,09,01,05,657
1,0.0,2.0,05,04,02,868
19,1.0,1.0,15,10,00,1247
3,2.0,0.0,10,03,03,274
10,0.0,0.0,13,05,00,328
3,1.0,1.0,03,02,04,5303
1,2.0,0.0,01,10,00,2281
1,0.0,0.0,11,06,04,177
1,23.0,0.0,08,08,04,2514
1,0.0,0.0,09,02,01,1085
1,1.0,0.0,15,02,04,705
1,0.0,0.0,04,06,02,871
1,0.0,3.0,22,01,05,657
1,0.0,0.0,20,01,03,223
2,0.0,0.0,04,10,02,4526
3,1.0,0.0,15,03,04,905
1,0.0,1.0,18,01,02,737
1,1.0,0.0,07,07,00,711
1,0.0,2.0,05,01,03,1081
15,1.0,1.0,04,04,01,1826
1,2.0,0.0,17,11,06,789
1,0.0,0.0,12,06,02,274
1,0.0,1.0,19,10,00,1057
1,0.0,1.0,03,10,01,2708
1,0.0,0.0,04,01,03,1607
1,14.0,0.0,15,09,00,3577
1,1.0,1.0,16,02,01,953
2,3.0,0.0,21,04,02,754
1,0.0,0.0,12,12,00,1511
1,1.0,0.0,20,01,01,2228
5,4.0,0.0,01,09,03,1382
