quantity,questions,exclaims,hour,month,day,length
SINGLE,0.0,0.0,Evening,FALL,End,1583
SHORT,0.0,0.0,Evening,SUMMER,End,2980
SINGLE,0.0,1.0,Morning,SPRING,Day,353
SINGLE,10.0,2.0,Evening,FALL,Day,1704
SINGLE,0.0,1.0,Night,SUMMER,Day,1133
SINGLE,4.0,1.0,Night,SUMMER,End,1762
SINGLE,0.0,2.0,Evening,WINTER,End,989
SINGLE,0.0,0.0,SmallHours,FALL,Day,450
SINGLE,0.0,0.0,Morning,WINTER,Day,1082
SINGLE,0.0,1.0,Night,FALL,Day,1239
SINGLE,0.0,0.0,Morning,FALL,End,0
SHORT,1.0,0.0,Morning,SUMMER,Day,516
SINGLE,0.0,1.0,Morning,SPRING,Day,525
SINGLE,0.0,0.0,Evening,FALL,Day,914
SINGLE,0.0,0.0,Morning,SUMMER,Day,837
SINGLE,0.0,0.0,Morning,WINTER,Day,134
SINGLE,0.0,0.0,Morning,FALL,Day,484
SINGLE,18.0,0.0,Evening,SUMMER,Day,1501
SINGLE,9.0,1.0,Evening,FALL,End,1520
SINGLE,0.0,0.0,Morning,WINTER,Day,1850
SINGLE,0.0,2.0,SmallHours,WINTER,Day,898
SINGLE,1.0,0.0,SmallHours,WINTER,Day,274
SINGLE,0.0,0.0,Morning,SPRING,Day,490
SINGLE,0.0,0.0,Morning,WINTER,Day,551
SINGLE,0.0,1.0,Night,WINTER,End,292
SINGLE,1.0,5.0,Morning,WINTER,Day,1177
SHORT,1.0,0.0,SmallHours,SPRING,Day,1147
SINGLE,0.0,1.0,Evening,FALL,End,1234
SHORT,1.0,0.0,Evening,FALL,Day,1705
SHORT,0.0,0.0,Morning,SPRING,Day,1542
SINGLE,0.0,1.0,Evening,WINTER,Day,410
SINGLE,1.0,0.0,Evening,SUMMER,Day,190
LONG,3.0,0.0,Evening,SPRING,Day,1768
SINGLE,0.0,0.0,Morning,FALL,Day,1847
SHORT,4.0,1.0,Morning,SPRING,Day,2388
SHORT,0.0,0.0,Evening,FALL,Day,343
SINGLE,1.0,1.0,SmallHours,SPRING,Day,2142
SHORT,0.0,2.0,Evening,WINTER,Day,1474
SINGLE,3.0,1.0,SmallHours,FALL,Day,1382
SINGLE,6.0,2.0,Evening,WINTER,Day,6201
SINGLE,1.0,2.0,Morning,FALL,Day,936
SINGLE,2.0,0.0,Morning,WINTER,Day,733
SINGLE,0.0,1.0,SmallHours,WINTER,Day,314
SINGLE,0.0,0.0,Night,FALL,Day,493
SHORT,0.0,0.0,Morning,SPRING,Day,1331
SINGLE,0.0,0.0,Morning,WINTER,Day,538
SINGLE,1.0,2.0,,FALL,End,2050
SINGLE,0.0,0.0,Evening,FALL,Day,0
SINGLE,0.0,0.0,Evening,WINTER,Day,598
SINGLE,0.0,0.0,Evening,SUMMER,Day,616
SINGLE,0.0,0.0,Evening,FALL,Day,482
SINGLE,0.0,0.0,Night,WINTER,Day,184
SINGLE,0.0,0.0,Morning,FALL,Day,550
SINGLE,0.0,0.0,Morning,WINTER,Day,412
SHORT,1.0,1.0,Morning,SUMMER,Day,2696
SINGLE,1.0,1.0,Evening,FALL,End,764
SINGLE,1.0,0.0,Morning,SPRING,Day,1719
SINGLE,0.0,0.0,Morning,SPRING,Day,1438
SINGLE,0.0,2.0,Morning,WINTER,Day,1359
SINGLE,1.0,0.0,Morning,SUMMER,Day,766
SINGLE,0.0,0.0,Evening,FALL,Day,749
SINGLE,0.0,0.0,Morning,FALL,Day,45
SINGLE,0.0,0.0,Night,WINTER,Day,1296
SINGLE,0.0,0.0,Evening,WINTER,Day,1195
SHORT,0.0,0.0,Night,FALL,Day,22
SHORT,0.0,1.0,SmallHours,FALL,Day,895
SINGLE,0.0,0.0,Evening,WINTER,Day,597
SINGLE,4.0,1.0,Morning,WINTER,Day,1305
SINGLE,2.0,0.0,Morning,SUMMER,End,472
SINGLE,0.0,0.0,Morning,FALL,Day,3319
SINGLE,0.0,0.0,Morning,SUMMER,Day,423
SINGLE,0.0,0.0,Morning,SPRING,Day,1103
SINGLE,2.0,0.0,Evening,WINTER,Day,368
SINGLE,0.0,1.0,Morning,FALL,Day,950
SINGLE,0.0,0.0,SmallHours,WINTER,Day,946
SHORT,4.0,0.0,Evening,FALL,Day,2043
SINGLE,0.0,0.0,Evening,WINTER,Day,461
LONG,0.0,1.0,SmallHours,FALL,Day,322
SINGLE,0.0,1.0,Evening,WINTER,Day,1208
SHORT,2.0,0.0,Morning,WINTER,Day,721
SHORT,0.0,1.0,Evening,FALL,Day,2665
SINGLE,0.0,4.0,SmallHours,FALL,Day,2134
SINGLE,0.0,0.0,Morning,FALL,Day,282
SINGLE,0.0,1.0,Morning,WINTER,End,2862
SINGLE,0.0,0.0,Evening,WINTER,Day,2502
SHORT,1.0,0.0,Evening,FALL,Day,2015
SINGLE,1.0,0.0,Evening,WINTER,Day,275
SINGLE,0.0,0.0,Morning,FALL,Day,321
SINGLE,0.0,1.0,Evening,SUMMER,Day,2505
SINGLE,0.0,0.0,Morning,WINTER,Day,283
LONG,1.0,0.0,Night,FALL,End,1674
SINGLE,2.0,1.0,Morning,WINTER,Day,863
SINGLE,0.0,0.0,SmallHours,SUMMER,Day,197
LONG,0.0,0.0,Morning,SPRING,End,487
SHORT,5.0,0.0,Morning,WINTER,Day,645
SINGLE,0.0,0.0,Morning,SUMMER,Day,1580
SINGLE,2.0,0.0,Morning,WINTER,Day,205
SINGLE,0.0,0.0,Night,SUMMER,Day,3852
SINGLE,0.0,0.0,Evening,WINTER,End,359
SINGLE,0.0,0.0,Night,FALL,Day,1303
SHORT,3.0,2.0,Evening,SPRING,Day,732
SHORT,2.0,0.0,Evening,SUMMER,Day,694
SHORT,10.0,0.0,SmallHours,WINTER,Day,2213
SINGLE,18.0,1.0,Night,SUMMER,Day,1351
SINGLE,0.0,2.0,Evening,WINTER,Day,1600
SHORT,0.0,0.0,Evening,FALL,End,524
SINGLE,0.0,0.0,Evening,SUMMER,Day,143
SHORT,1.0,0.0,SmallHours,FALL,Day,693
SHORT,0.0,0.0,SmallHours,WINTER,Day,2233
SHORT,1.0,1.0,Evening,WINTER,Day,1621
SINGLE,1.0,0.0,Morning,WINTER,Day,2621
SINGLE,0.0,1.0,Morning,SPRING,Day,1599
SINGLE,0.0,0.0,SmallHours,WINTER,Day,617
SHORT,4.0,0.0,Morning,FALL,Day,1077
SINGLE,3.0,0.0,Morning,WINTER,Day,2289
SINGLE,0.0,0.0,Morning,FALL,Day,1223
SINGLE,0.0,0.0,Morning,SUMMER,Day,1549
SINGLE,0.0,2.0,Morning,FALL,Day,1561
SINGLE,0.0,0.0,Night,WINTER,Day,494
SINGLE,0.0,0.0,Evening,SPRING,Day,582
SHORT,0.0,4.0,Evening,WINTER,Day,1591
SHORT,0.0,3.0,Night,SPRING,Day,3293
SINGLE,0.0,0.0,Evening,FALL,Day,3678
SINGLE,0.0,0.0,Morning,SUMMER,Day,888
SINGLE,0.0,1.0,Evening,WINTER,End,563
SINGLE,1.0,0.0,SmallHours,FALL,Day,1199
SHORT,0.0,0.0,SmallHours,FALL,Day,668
SINGLE,4.0,0.0,Morning,SUMMER,Day,1416
SINGLE,7.0,7.0,SmallHours,WINTER,Day,2806
SINGLE,0.0,0.0,Morning,SPRING,Day,441
SINGLE,0.0,0.0,Evening,WINTER,Day,941
SINGLE,0.0,0.0,Morning,WINTER,Day,125
