ACTCAP	$YESNO
ACTDED	$YESNO
ACTMGT	$YESNO
ACTRD	$YESNO
ACTRDT	$YESNO
ACTRES	$YESNO
ACTTCH	$YESNO
AGE	TWO
AGEGR	AGEGRP
ASDGRI	$YESNO
BAACYR	FOUR
BAAYR3	THREEYR
BAAYR5	FIVEYR
BADGRUS	$USNONUS
BAMED	$EDUC
BAMEMG	$MAJOR
BAMENG	$MINOR
BAMN	MNTHGRP
BANENG	$MINOR
BARGN	$REGION
BARGNP	$REGION
BASEMG	$MAJOR
BAST	$LOCAT
BAYR	FOUR
BSDGN	TWO
BTHRGN	$REGION
BTHST	$LOCAT
BTHUS	$USNONUS
CCAFDG	$YESNO
CCEP	$YESNO
CH1217	TWO
CH18	TWO
CH6	TWO
CH611	TWO
CHCHG	$YESNO
CHCON	$YESNO
CHFAM	$YESNO
CHLAY	$YESNO
CHLOC	$YESNO
CHLVIN	$YESNO
CHOT	$YESNO
CHPAY	$YESNO
CHRET	$YESNO
CHSCH	$YESNO
CHUN12	$YESNO
COHORT	$COHORT
CTZN	$CITIZCD
CTZUSIN	$YESNO
D23YR	THREEYR
D25YR	FIVEYR
D2AYR	FOUR
D2DG	$DEGREE
D2DGRUS	$USNONUS
D2MED	$EDUC
D2MEMG	$MAJOR
D2MENG	$MINOR
D2MN	MNTHGRP
D2NED	$EDUC
D2NENG	$MINOR
D2RGN	$REGION
D2RGNP	$REGION
D2SEMG	$MAJOR
D2ST	$LOCAT
D2YR	FOUR
D33YR	THREEYR
D35YR	FIVEYR
D3AYR	FOUR
D3DG	$DEGREE
D3DGRUS	$USNONUS
D3MED	$EDUC
D3MEMG	$MAJOR
D3MENG	$MINOR
D3MN	MNTHGRP
D3NED	$EDUC
D3NENG	$MINOR
D3RGN	$REGION
D3RGNP	$REGION
D3SEMG	$MAJOR
D3ST	$LOCAT
D3YR	FOUR
DGRDG	$DEGREE
DGRMED	$EDUC
DGRMEMG	$MAJOR
DGRMENG	$MINOR
DGRYR	FOUR
DIFAGE	TWO
DIFAGEGR	AGEGRP
DIFBIR	$SNCEBIR
DIFHEAR	$HANDCP
DIFLIFT	$HANDCP
DIFNO	$NOHAND
DIFSEE	$HANDCP
DIFWALK	$HANDCP
EDDAD	$EDULVL
EDMOM	$EDULVL
EDTP	$EDINST
EDTPO	$EDINST
EMED	$YESNO
EMEDO	$YESNO
EMOCSMI	$YESNO
EMRG	$REGION
EMSECDT	$EMSECD
EMSECSM	$EMSECS
EMSMI88	$YESNO
EMST	$LOCAT
EMTP	$EMPTYC
EMUS	$USNONUS
ENACT	$EGYACT
ENSRC	$EGYSRC
EXPFT	TWO
EXPPT	TWO
FNCCD	$LOCAT
FNCRGN	$REGION
FNUSYR	FOUR
FPTIND	$FULPRT
FSAGR	$MRKALL
FSAID	$MRKALL
FSCOM	$YESNO
FSDED	$MRKALL
FSDK	$MRKALL
FSDOD	$MRKALL
FSDOE	$MRKALL
FSDOT	$MRKALL
FSEPA	$MRKALL
FSHHS	$MRKALL
FSHUD	$MRKALL
FSINT	$MRKALL
FSJUS	$MRKALL
FSLAB	$MRKALL
FSNASA	$MRKALL
FSNIH	$MRKALL
FSNRC	$MRKALL
