DATE	PRCP	TMAX	TMIN
1/1/2016	0	51	33
1/2/2016	0	39	26
1/3/2016	0	46	24
1/4/2016	0	47	25
1/5/2016	0	30	14
1/6/2016	0	34	10
1/7/2016	0	44	10
1/8/2016	0	53	16
1/9/2016	0.1	38	30
1/10/2016	0.53	43	37
1/11/2016	0.01	48	16
1/12/2016	0	34	16
1/13/2016	0	39	14
1/14/2016	0	36	13
1/15/2016	0	52	23
1/16/2016	0.46	45	23
1/17/2016	0	46	29
1/18/2016	0.08	34	12
1/19/2016	0	19	8
1/20/2016	0	21	7
1/21/2016	0.02	28	11
1/22/2016	0.18	36	17
1/23/2016	1.02	19	16
1/24/2016	0.02	22	16
1/25/2016	0	37	12
1/26/2016	0	47	12
1/27/2016	0.02	44	31
1/28/2016	0	40	13
1/29/2016	0	45	16
1/30/2016	0	37	17
1/31/2016	0	51	22
2/1/2016	0	61	24
2/2/2016	0.16	57	33
2/3/2016	0.03	46	40
2/4/2016	1.03	51	38
2/5/2016	0	44	26
2/6/2016	0	38	17
2/7/2016	0	40	19
2/8/2016	0	47	21
2/9/2016	0.1	41	21
2/10/2016	0	28	18
2/11/2016	0	22	12
2/12/2016	0	27	13
2/13/2016	0	30	12
2/14/2016	0	20	5
2/15/2016	0.57	23	6
2/16/2016	1.29	33	15
2/17/2016	0	40	29
2/18/2016	0	41	28
2/19/2016	0	40	22
2/20/2016	0	47	23
2/21/2016	0	61	37
2/22/2016	0.25	56	39
2/23/2016	0.55	46	37
2/24/2016	0.39	43	37
2/25/2016	0.33	64	33
2/26/2016	0	38	27
2/27/2016	0	33	27
2/28/2016	0	46	26
2/29/2016	0	65	28
3/1/2016	0	61	26
3/2/2016	0.51	66	27
3/3/2016	0	34	21
3/4/2016	0.1	39	24
3/5/2016	0	40	25
3/6/2016	0.1	49	25
3/7/2016	0	52	27
3/8/2016	0	68	28
3/9/2016	0	74	34
3/10/2016	0	73	35
3/11/2016	0	74	50
3/12/2016	0	70	55
3/13/2016	0	73	53
3/14/2016	0.5	62	53
3/15/2016	0.73	68	50
3/16/2016	0	71	44
3/17/2016	0	77	41
3/18/2016	0	66	33
3/19/2016	0	63	33
3/20/2016	0.31	48	34
3/21/2016	0	39	31
3/22/2016	0	48	28
3/23/2016	0	61	31
3/24/2016	0	73	35
3/25/2016	0	71	37
3/26/2016	0.13	63	34
3/27/2016	0	59	34
3/28/2016	0.17	57	46
3/29/2016	0.01	58	41
3/30/2016	0	59	30
3/31/2016	0	65	31
4/1/2016	0.36	63	54
4/2/2016	0.04	74	49
4/3/2016	0	57	28
4/4/2016	0	58	29
4/5/2016	0	71	28
4/6/2016	0	47	24
4/7/2016	0.19	53	25
4/8/2016	0.03	58	35
4/9/2016	0.1	49	27
4/10/2016	0	37	19
4/11/2016	0	59	19
4/12/2016	0	67	44
4/13/2016	0.01	61	31
4/14/2016	0	62	32
4/15/2016	0	64	34
4/16/2016	0	63	31
4/17/2016	0	67	31
4/18/2016	0	76	34
4/19/2016	0	83	38
4/20/2016	0	81	44
4/21/2016	0	72	47
4/22/2016	0.06	73	52
4/23/2016	0.35	63	49
4/24/2016	0	67	37
4/25/2016	0	76	37
4/26/2016	0	79	44
4/27/2016	0.13	80	51
4/28/2016	0.03	78	57
4/29/2016	0.26	81	53
4/30/2016	0	79	54
5/1/2016	0.56	58	51
5/2/2016	0.74	77	53
5/3/2016	0.61	78	55
5/4/2016	0.15	70	46
5/5/2016	0	63	46
5/6/2016	0.49	47	41
5/7/2016	0	61	47
5/8/2016	0.07	72	49
5/9/2016	0	68	46
5/10/2016	0.06	77	50
5/11/2016	0.4	77	56
5/12/2016	0.03	77	56
5/13/2016	0.16	79	58
5/14/2016	0.01	71	44
5/15/2016	0.07	69	39
5/16/2016	0	58	38
5/17/2016	0.01	61	39
5/18/2016	0.2	62	50
5/19/2016	0.07	54	50
5/20/2016	0.02	62	46
5/21/2016	0.69	61	49
5/22/2016	0.01	73	53
5/23/2016	0.04	68	46
